country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
AE,AEABU,Abu al Bukhoosh,Abu al Bukhoosh,,1-------,RL,,2529N 05308E,
AE,AEAUH,Abu Dhabi,Abu Dhabi,AZ,1-345---,AI,,2428N 05422E,
AE,AEAMU,Abu Musa,Abu Musa,,1-------,RL,,2552N 05501E,
AE,AEARP,Ahmed Bin Rashid Port,Ahmed Bin Rashid Port,AZ,1-------,RL,,2532N 05533E,
AE,AEAJM,Ajman,Ajman,,1-3-----,RL,QAJ,,
AE,AEAAN,Al Ain,Al Ain,,---4----,AI,,,
AE,AEALB,Al Barsha,Al Barsha,DU,--3-----,RL,,2506N 05511E,
AE,AEDHF,Al Dhafra,Al Dhafra,,--34----,AI,,2414N 05432E,
AE,AEFJR,Al Fujayrah,Al Fujayrah,FU,1--4----,AI,,2507N 05620E,
AE,AEHAM,Al Hamriyah,Al Hamriyah,,--3-----,RL,,2529N 05530E,
AE,AEJAZ,Al Jazeera Port,Al Jazeera Port,RK,1-------,RL,,2543N 05548E,
AE,AEAJP,Al Jeer Port,Al Jeer Port,RK,1-3-----,RL,,2602N 05603E,
AE,AEDBI,Al Mafraq,Al Mafraq,AZ,--3-----,RL,,2418N 05436E,
AE,AEALQ,Al Quoz,Al Quoz,DU,--3-----,RL,,2507N 05513E,
AE,AEALS,Al Sufouh,Al Sufouh,DU,--3-----,RL,,2507N 05511E,
AE,AERUW,Ar Ruways,Ar Ruways,,1-------,RL,,2407N 05244E,
AE,AEARZ,Arzanah Island,Arzanah Island,,0-------,RQ,,,
AE,AEDAS,Das Island,Das Island,,1-------,RL,,,
AE,AEDER,Deira,Deira,DU,--3-----,RL,,2516N 05519E,
AE,AEDBP,Dibba,Dibba,SH,1-3-----,RL,,2537N 05616E,
AE,AEDXB,Dubai,Dubai,DU,1-345---,AI,,2515N 05516E,
AE,AEDWC,Dubai World Central Apt,Dubai World Central Apt,,--34----,AI,,2453N 05510E,
AE,AEEND,Esnnad,Esnnad,AZ,1-------,RQ,,2419N 05427E,
AE,AEFAT,Fateh Terminal,Fateh Terminal,,1-------,QQ,,,
AE,AEFRP,Free Port,Free Port,DU,1-------,RL,,2515N 05515E,
AE,AEHAB,Habshan,Habshan,AZ,--3-----,RL,,2356N 05338E,
AE,AEHIL,Hail,Hail,AZ,------7-,RL,,3500N 03330E,
AE,AEHZP,Hamriya Free Zone Port,Hamriya Free Zone Port,DU,1-------,RL,,2518N 05519E,
AE,AEHSN,Hassyan,Hassyan,DU,1-3-----,AA,,2454N 05454E,
AE,AEHAT,Hatta,Hatta,DU,--3-----,RL,,2447N 05607E,
AE,AEHTL,Hulaylah Terminal,Hulaylah Terminal,,1-------,RQ,,2559N 05556E,
AE,AEIND,Indooroodilly,Indooroodilly,,--3-----,RQ,,,
AE,AEJEA,Jebel Ali,Jebel Ali,,1-------,QQ,,,
AE,AEQWE,Jebel Ali Free Zone,Jebel Ali Free Zone,DU,1-3-----,RL,,2500N 05503E,
AE,AEJED,Jebel Dhanna,Jebel Dhanna,,1-------,QQ,,,
AE,AEJYH,Jumayrah,Jumayrah,,--3-----,RL,,2510N 05513E,
AE,AEKLB,Kalba,Kalba,,1-3-----,RL,,2504N 05621E,
AE,AEKHA,Khalidia,Khalidia,,--3-----,RQ,,,
AE,AEKLF,Khor al Fakkan,Khor al Fakkan,,1-------,RL,,2520N 05621E,
AE,AEMAS,Masfut,Masfut,,0-------,RQ,,,
AE,AEMKH,Mina Khalid,Mina Khalid,SH,1-3-----,RL,,2521N 05522E,
AE,AEKHL,Mina Khalifa/Abu Dhabi,Mina Khalifa/Abu Dhabi,,1-------,RL,,2450N 05440E,
AE,AEMRP,Mina Rashid Port,Mina Rashid Port,AZ,1-------,RL,,2516N 05517E,
AE,AEMSA,Mina Saqr,Mina Saqr,RK,1-------,RQ,,2558N 05604E,
AE,AEMZD,Mina Zayed/Abu Dhabi,Mina Zayed/Abu Dhabi,AZ,1-------,RL,,2431N 05422E,
AE,AENHD,Minhad,Minhad,,---4----,AI,,,
AE,AERFA,Mirfa,Mirfa,AZ,1----6--,RQ,,2528N 05329E,
AE,AEMUB,Mubarek Terminal,Mubarek Terminal,,1-------,QQ,,,
AE,AEMBS,Mubarras Island,Mubarras Island,,1-------,RQ,,,
AE,AEFMZ,Musafa,Musafa,,0-------,RQ,,,
AE,AEAMF,Mussafah,Mussafah,AZ,1-------,RL,,2423N 05429E,Function is 1 and coordinates is 2423N 05429E
AE,AEOFJ,Offshore Fujairah,Offshore Fujairah,,------7-,RQ,,2515N 05640E,
AE,AEPRA,Port Rashid,Port Rashid,,1-------,RQ,,,
AE,AERKP,Rak Khor Port,Rak Khor Port,RK,1-------,RL,,2549N 05557E,
AE,AERMC,Rak Maritime City,Rak Maritime City,RK,1-------,RL,,2557N 05603E,
AE,AERKT,Ras al Khaimah,Ras al Khaimah,,1--4----,AI,,2547N 05557E,
AE,AERAK,Ras Al Khor,Ras Al Khor,DU,-----6--,RQ,,2517N 05534E,
AE,AEDUY,Ras Zubbaya (Ras Dubayyah),Ras Zubbaya (Ras Dubayyah),,0-------,RQ,,,
AE,AEREI,Reem Island,Reem Island,AZ,--3-----,RL,,2429N 05424E,
AE,AERWP,Ruwais Port,Ruwais Port,AZ,1-------,RL,,2406N 05243E,
AE,AESID,Sadiyat Island,Sadiyat Island,,1-------,RQ,,2432N 05424E,
AE,AESHJ,Sharjah,Sharjah,SH,1-34----,AI,,2521N 05523E,
AE,AESIL,Sila,Sila,AZ,--3-----,RL,,2404N 05145E,
AE,AESRT,Stevin Rock,Stevin Rock,RK,-----6--,RL,,2558N 05603E,
AE,AESWE,Swaihan,Swaihan,AZ,--3-----,RL,,2427N 05520E,
AE,AEDUJ,The Palm Jumeirah,The Palm Jumeirah,DU,1-------,RQ,,,
AE,AEULR,Umm Al Nar,Umm Al Nar,,1-------,RQ,,2426N 05430E,
AE,AEQIW,Umm al Quwain,Umm al Quwain,,1--4----,AI,,2535N 05535E,
AE,AEVHT,Vopak Horizion Terminal,Vopak Horizion Terminal,RK,-----6--,RL,,2537N 05616E,
AE,AEYAS,Yas Island,Yas Island,AZ,1-------,RL,,2419N 05236E,
AE,AEZUR,Zirku Island,Zirku Island,AZ,1-------,RL,,2453N 05304E,
