country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
AF,AFASH,Ali Shirzayi,Ali Shirzayi,URU,--3-----,RQ,,3252N 06603E,
AF,AFBAG,Bagram,Bagram,PAR,--3-----,RL,,3457N 06915E,
AF,AFBIN,Bamian,Bamian,,--34----,AI,,,
AF,AFBEP,Bazar-E-Panjwai,Bazar-E-Panjwai,KAN,--3-----,RQ,,3133N 06527E,
AF,AFBST,Bost,Bost,,---4----,AI,,,
AF,AFCBN,Camp Bastion,Camp Bastion,HEL,--34----,RQ,OAZ,3151N 06413E,
AF,AFCDW,Camp Dwyer,Camp Dwyer,HEL,--3-----,RQ,,3107N 06411E,
AF,AFCLN,Camp Leatherneck,Camp Leatherneck,HEL,--3-----,RL,,3153N 06411E,
AF,AFCSO,Camp Salerno,Camp Salerno,KHO,--3-----,RL,,3324N 07004E,
AF,AFCWO,Camp Wolverine,Camp Wolverine,ZAB,--3-----,RQ,,3204N 06712E,
AF,AFCCN,Chaghcharan,Chaghcharan,,---4----,AI,,3431N 06515E,
AF,AFDAZ,Darwaz,Darwaz,,---4----,AI,,,
AF,AFDHD,Dehdadi,Dehdadi,BAL,1----6--,RL,,3639N 06659E,
AF,AFISQ,Eslam Qal'eh,Eslam Qal'eh,,--3-----,RL,,3440N 06104E,
AF,AFFBD,Faizabad,Faizabad,,---4----,AI,,,
AF,AFFAH,Farah,Farah,,---4----,AI,,,
AF,AFFRO,FOB Frontenac,FOB Frontenac,KAN,--3-----,RQ,,3137N 06539E,
AF,AFRMD,FOB Ramrod,FOB Ramrod,KAN,--3-----,RQ,,3145N 06507E,
AF,AFSHK,FOB Shank,FOB Shank,LOG,--3-----,RQ,,3400N 06917E,
AF,AFGRG,Gardez,Gardez,,---4----,AI,,,
AF,AFGAR,Gardiz,Gardiz,PIA,--3-----,RL,,3335N 06913E,
AF,AFGZI,Ghazni,Ghazni,,---4----,AI,,,
AF,AFHRT,Hairatan,Hairatan,,0-------,RQ,,,
AF,AFHEA,Herat,Herat,,---4----,AI,,,
AF,AFJAA,Jalalabad,Jalalabad,,---4----,AI,,,
AF,AFKBL,Kabul,Kabul,,--345---,AI,,,
AF,AFKMU,Kamu,Kamu,KNR,--3-----,RQ,,3524N 07125E,
AF,AFKDH,Kandahar,Kandahar,,--34----,AI,,,
AF,AFKHT,Khost,Khost,,---4----,AI,,,
AF,AFKHO,Khowst,Khowst,KNR,--3-----,RL,,3512N 07050E,
AF,AFKWT,Khowst,Khowst,PIA,--3-----,RL,,3320N 06955E,
AF,AFKWH,Khwahan,Khwahan,,---4----,AI,,,
AF,AFUND,Kunduz,Kunduz,,---4----,AI,,,
AF,AFKUR,Kuran-O-Munjan,Kuran-O-Munjan,,---4----,AI,,,
AF,AFLAG,Lashkar Gah,Lashkar Gah,HEL,--3-----,RL,,3135N 06421E,
AF,AFMMZ,Maimana,Maimana,,---4----,AI,,,
AF,AFMWD,Maiwand,Maiwand,KAN,--3-----,RL,,3144N 06508E,
AF,AFMAS,Mashad,Mashad,,0-------,RQ,,,
AF,AFMZR,Mazar-i-Sharif,Mazar-i-Sharif,,---4----,AI,,3642N 06706E,
AF,AFMEH,Mehtar Lam,Mehtar Lam,LAG,--3-----,RL,,3440N 07012E,
AF,AFMEY,Meydan,Meydan,BAL,--3-----,RL,,3654N 06655E,
AF,AFIMZ,Nimroz,Nimroz,,---4----,AI,,,
AF,AFORG,Orgun-E Kalan,Orgun-E Kalan,PKA,--3-----,RL,,3254N 06913E,
AF,AFPSD,Pasaband,Pasaband,GHO,--3-----,RL,,3341N 06451E,
AF,AFPEC,Pol-e Charkhi,Pol-e Charkhi,KAB,--3-----,RL,,3432N 06920E,
AF,AFLQN,Qala Nau,Qala Nau,,---4----,AI,,,
AF,AFQLT,Qalat,Qalat,,1-3-----,RL,,3206N 06653E,
AF,AFQYN,Qal'Eh-Ye Now,Qal'Eh-Ye Now,BDG,--3-----,RQ,,3459N 06307E,
AF,AFQAM,Qasim,Qasim,,-----6--,RQ,,3502N 07132E,
AF,AFSBF,Sardeh Band,Sardeh Band,,---4----,AI,,,
AF,AFSRO,Sharona,Sharona,PKA,-----6--,RL,,3313N 06883E,
AF,AFSGA,Sheghnan,Sheghnan,,---4----,AI,,,
AF,AFSHE,Sherhan-Bandar,Sherhan-Bandar,,--3-----,RL,,3712N 06905E,
AF,AFSDD,Shindand,Shindand,HER,--3-----,RQ,,3318N 06208E,
AF,AFSBK,Spin Boldak,Spin Boldak,KAN,--3-----,RL,,3100N 06624E,
AF,AFTQN,Taluqan,Taluqan,,---4----,AI,,,
AF,AFTKO,Tarin Kowt,Tarin Kowt,URU,--3-----,RL,,3237N 06552E,
AF,AFTII,Tirinkot,Tirinkot,,---4----,AI,,,
AF,AFTGH,Torghundi,Torghundi,,0-------,RQ,,,
AF,AFRKH,Torkham,Torkham,NAN,1-------,RL,,3453N 07155E,
AF,AFTOW,Towraghondi,Towraghondi,HER,--3-----,RL,,3515N 06217E,
AF,AFURN,Urgoon,Urgoon,,---4----,AI,,,
AF,AFURZ,Uruzgan,Uruzgan,,---4----,AI,,,
AF,AFZAJ,Zaranj,Zaranj,,---4----,AI,,,
AF,AFZHA,Zhari Dasht,Zhari Dasht,KAN,--3-----,RQ,,3138N 06531E,
