country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
AI,AIAXA,Anguilla,Anguilla,,---45---,AI,,,
AI,AIBLP,Blowing Point,Blowing Point,,1-------,QQ,,,
AI,AICRH,Crocus Hill,Crocus Hill,,--3-----,RL,,1813N 06304W,
AI,AIMBB,Meads Bay Beach,Meads Bay Beach,,1-------,RL,,1810N 06308W,
AI,AIRBY,Road Bay,Road Bay,,--3-----,RL,,,
AI,AISOM,Sombrero,Sombrero,,1-------,RQ,,1836N 06328W,
AI,AIFOR,The Forest,The Forest,,1-------,QQ,,,
AI,AIROA,The Road,The Road,,1-------,QQ,,,
AI,AIVAL,The Valley,The Valley,,--3-----,RL,,1813N 06303W,
AI,AIWLL,Wall Blake,Wall Blake,,1--4----,RL,,,
