country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
AL,ALARG,Argyrokastro,Argyrokastro,,--3-----,RQ,,4007N 02013E,
AL,ALBRT,Berat,Berat,BR,--3--6--,RL,,4043N 01957E,
AL,ALBQE,Bulqizë,Bulqize,9,--3-----,RL,,4129N 02013E,
AL,ALBUT,Butrint,Butrint,SR,1-------,RQ,,3945N 02001E,
AL,ALDRZ,Durrës,Durres,,1-------,RL,,,
AL,ALNPP,Elbasan,Elbasan,EL,-23-----,RL,,4106N 02004E,
AL,ALFIE,Fier,Fier,,-23-----,RL,,4044N 01934E,
AL,ALFUS,Fushe Arrez,Fushe Arrez,SH,-----6--,RL,,4203N 02001E,
AL,ALGOK,Gjirokastër,Gjirokaster,GJ,--3--6--,RL,,4005N 02009E,
AL,ALHMR,Himare,Himare,SR,1-------,RQ,,4008N 01943E,
AL,ALKRC,Korçë,Korce,KO,--3-----,RL,,4037N 02046E,
AL,ALKKU,Kukës,Kukes,KU,--3--6--,RL,,4205N 02025E,
AL,ALLZE,Lezhe,Lezhe,LE,--3-----,RL,,4147N 01938E,
AL,ALLUS,Lushnjë,Lushnje,LU,--3-----,RL,,4056N 01942E,
AL,ALMBR,Mbreshtan,Mbreshtan,1,--3-----,RL,,4042N 01952E,
AL,ALMIL,Milot,Milot,8,--3-----,RL,,4140N 01943E,
AL,ALROM,Romano Port,Romano Port,2,1-3-----,RL,,4122N 01925E,
AL,ALSAR,Sarandë,Sarande,SR,1-------,RL,,3953N 02000E,
AL,ALSHG,Shëngjin,Shengjin,LE,1-------,RL,,4148N 01934E,
AL,ALSHK,Shkoder,Shkoder,,--3-----,RL,,4204N 01931E,
AL,ALSHZ,Shkozet,Shkozet,KA,-----6--,RL,,4162N 01934E,
AL,ALTEN,Tenes,Tenes,,0-------,RQ,,,
AL,ALTIA,Tirana,Tirana,,---45---,AI,,,
AL,ALVOA,Vlorë,Vlore,VL,1-------,RL,,4028N 01929E,
AL,ALVOR,Vore,Vore,TR,--3-----,RL,,4123N 01939E,
