country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
AM,AMABO,Abovyan,Abovyan,,-2------,RL,,4016N 04447E,
AM,AMAHU,Akhuryan,Akhuryan,,-2------,QQ,,,
AM,AMA3A,Aparan,Aparan,AG,--3-----,RL,,4035N 04421E,
AM,AMARG,Aragatsotn,Aragatsotn,,-----6--,RL,,4015N 04410E,
AM,AMARA,Ararat,Ararat,,-2------,RL,,3950N 04441E,
AM,AMARV,Armavir,Armavir,,-----6--,RL,,4009N 04401E,
AM,AMASH,Ashtarak,Ashtarak,ER,--3-----,RL,,4018N 04421E,
AM,AMBRD,Berd,Berd,,-----6--,RL,,4052N 04523E,
AM,AMBYU,Byureghavan,Byureghavan,KT,--3-----,RL,,4018N 04435E,
AM,AMDIL,Dilijan,Dilijan,,-----6--,RL,,4044N 04452E,
AM,AMEZN,Ecmiadzin,Ecmiadzin,,--3-----,RL,,4009N 04417E,
AM,AMGRS,Goris,Goris,,-----6--,RL,,3930N 04620E,
AM,AMLWN,Gyumri,Gyumri,,---4----,AI,,4048N 04350E,
AM,AMHRA,Hrazdan,Hrazdan,KT,-23-----,AM,,4032N 04446E,
AM,AMJER,Jermuk,Jermuk,VD,1----6--,RL,,,
AM,AMKJN,Kajaran,Kajaran,,-23-----,RL,,3909N 04609E,
AM,AMKPN,Kapan,Kapan,SU,--3-----,RL,,3912N 04624E,
AM,AMARM,Masis,Masis,AR,-23--6--,RL,,4001N 04429E,
AM,AMMMA,Mets Masrik,Mets Masrik,GR,--3-----,RL,,4013N 04546E,
AM,AMMTR,Metsamor,Metsamor,ER,-----6--,RL,,4004N 04417E,
AM,AMRN4,Rind,Rind,VD,--3-----,RL,,3945N 04510E,
AM,AMSPI,Spitak,Spitak,LO,--3-----,RL,,4050N 04416E,
AM,AMVZR,Vanadzor,Vanadzor,,--3-----,RL,,4048N 04428E,
AM,AMVED,Vedi,Vedi,AR,--3-----,RL,,3954N 04443E,
AM,AMEVN,Yerevan,Yerevan,ER,-2345---,AI,,4011N 04431E,
