country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
AO,AOAZZ,Ambriz,Ambriz,,1--4----,AI,,,
AO,AOANL,Andulo,Andulo,,---4----,AI,,,
AO,AOARO,Armada Olombendo FPSO,Armada Olombendo FPSO,ZAI,------7-,RL,,0604S 01121E,
AO,AOBAB,Baba,Baba,,1-------,RQ,,1450S 01214E,
AO,AOBDT,Baía dos Tigres,Baia dos Tigres,,1-------,RL,,1636S 01144E,
AO,AOBDD,Barra do Dande,Barra do Dande,,1-------,RL,,,
AO,AOBEL,Belas,Belas,LUA,--3-----,RL,,0855S 01310E,
AO,AOBUG,Benguela,Benguela,,1--4----,AI,,,
AO,AOCAB,Cabinda,Cabinda,,1--4----,AI,,,
AO,AOCFF,Cafunfo,Cafunfo,,---4----,AI,,,
AO,AOCNZ,Cangamba,Cangamba,,---4----,AI,,,
AO,AOKNP,Capanda,Capanda,,---4----,AI,,,
AO,AOCPO,Capulo,Capulo,,1-------,RQ,,0759S 01310E,
AO,AOCBT,Catumbela,Catumbela,,---4----,AI,,,
AO,AOCAV,Cazombo,Cazombo,,---4----,AI,,,
AO,AOPGI,Chitato,Chitato,,---4----,AI,,,
AO,AOCLV,CLOV FPSO,CLOV FPSO,,------7-,RL,,0727S 01134E,
AO,AOCUI,Cuio,Cuio,,1-------,RQ,,1259S 01259E,
AO,AOCTI,Cuito Cuanavale,Cuito Cuanavale,,---4----,AI,,,
AO,AODAL,Dalia,Dalia,,1-------,RQ,,0741S 01147E,
AO,AODRC,Dirico,Dirico,,---4----,AI,,,
AO,AODGR,Dombe Grande,Dombe Grande,,1-------,RL,,,
AO,AODUE,Dundo,Dundo,,---4----,AI,,,
AO,AOETN,Essungo Terminal,Essungo Terminal,,1-------,RQ,,0620S 01210E,
AO,AOFBY,Farta Bay,Farta Bay,,1-------,RQ,,1237S 01312E,
AO,AOFLT,Futila Terminal,Futila Terminal,,1-------,RQ,,0527S 01211E,
AO,AOGIM,Gimboa,Gimboa,,1-------,RL,,0732S 01210E,
AO,AOGIR,Girassol Terminal,Girassol Terminal,,1-------,RL,,0738S 01141E,
AO,AOGPO,Greater Plutonio,Greater Plutonio,,1-------,RL,,0750S 01207E,
AO,AONOV,Huambo,Huambo,,---4----,AI,,,
AO,AOJMB,Jamba,Jamba,,---4----,AI,,,
AO,AOKTI,Kiame Terminal,Kiame Terminal,,1-------,RQ,,,
AO,AOSVP,Kuito,Kuito,,---4----,AI,,,
AO,AOKOT,Kuito Terminal,Kuito Terminal,,1-------,RQ,,0526S 01129E,
AO,AOLAA,Landana (Cacongo),Landana (Cacongo),,1-------,RL,,,
AO,AOLIE,Lieura,Lieura,,1-------,QQ,,,
AO,AOLOB,Lobito,Lobito,,1---5---,RL,,,
AO,AOLBT,Lombo Terminal,Lombo Terminal,,1-------,RQ,,0659S 01221E,
AO,AOLAD,Luanda,Luanda,,1--45---,AI,,,
AO,AOUAL,Luau,Luau,,---4----,AI,,,
AO,AOSDD,Lubango,Lubango,,---4----,AI,,,
AO,AOLUC,Lucira,Lucira,,1-3-----,RL,,,
AO,AOLUO,Luena,Luena,,---4----,AI,,,
AO,AOLBZ,Lukapa,Lukapa,,---4----,AI,,,
AO,AOGGC,Lumbala,Lumbala,,---4----,AI,,,
AO,AOLZM,Luzamba,Luzamba,,---4----,AI,,,
AO,AOMEG,Malange,Malange,,---4----,AI,,,
AO,AOMLO,Malembo,Malembo,,--3-----,RL,,,
AO,AOMAL,Malongo,Malongo,,0-------,RQ,,,
AO,AOMDZ,Maquela Do Zombo,Maquela Do Zombo,UIG,--3-----,RL,,0604S 01506E,
AO,AOMTL,Matala,Matala,HUI,--3-----,RL,,1444S 01502E,
AO,AOSSY,M'banza Congo,M'banza Congo,,---4----,AI,,,
AO,AOSPP,Menongue,Menongue,,---4----,AI,,,
AO,AOMOS,Mocamedes,Mocamedes,,--3-----,RQ,,1510S 01209E,
AO,AOMSZ,Namibe,Namibe,,1--4----,AI,,,
AO,AONDF,N'dalatando,N'dalatando,CNO,---4----,AI,,0918S 01455E,
