country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
AQ,AQABA,Aboa,Aboa,,1-------,RL,,7303S 01325W,
AQ,AQAMS,Amundsen-Scott,Amundsen-Scott,,--3-----,RL,,8959S 13916E,
AQ,AQARC,Arctowski,Arctowski,,1-------,RL,,6209S 05828W,
AQ,AQART,Artigas,Artigas,,1-------,RL,,6211S 05854W,
AQ,AQAPT,Arturo Prat,Arturo Prat,,1-------,RL,,6230S 05941W,
AQ,AQBEL,Belgrano II,Belgrano II,,--3-----,RL,,7752S 03437W,
AQ,AQBHN,Bellingshausen,Bellingshausen,,1-------,RL,,6211S 05857W,
AQ,AQCAS,Casey Station,Casey Station,,1-------,RL,,6617S 11031E,
AQ,AQCFZ,Comandante Ferraz,Comandante Ferraz,,1-------,RL,,6205S 05823W,
AQ,AQCON,Concordia,Concordia,,--3-----,RL,,7506S 12323E,
AQ,AQDAV,Davis Station,Davis Station,,1-------,RL,,6834S 07758E,
AQ,AQDMF,Dome Fuji,Dome Fuji,,--3-----,RL,,7719S 03942E,
AQ,AQDRZ,Druzhnaya 4,Druzhnaya 4,,--3-----,RL,,6944S 07342E,
AQ,AQDDU,Dumont d'Urville Station,Dumont d'Urville Station,,1-------,RL,,6639S 14000E,
AQ,AQESC,Escudero,Escudero,,1-------,RL,,6212S 05857W,
AQ,AQESP,Esperanza,Esperanza,,1-------,RL,,6323S 05659W,
AQ,AQGDC,Gabriel de Castilla,Gabriel de Castilla,,--3-----,RL,,6259S 06041W,
AQ,AQOHG,General Bernardo O'higgins,General Bernardo O'higgins,,1-------,RL,,6319S 05754W,
AQ,AQGWL,Great Wall,Great Wall,,1-------,RL,,6213S 05858W,
AQ,AQHLY,Halley,Halley,,1-------,RL,,7534S 02632W,
AQ,AQJBS,Jang Bogo Station,Jang Bogo Station,,1-------,RL,,7436S 16412E,
AQ,AQJCP,Juan Carlos Primero,Juan Carlos Primero,,1-------,RL,,6239S 06023W,
AQ,AQJUB,Jubany,Jubany,,1-------,RL,,6214S 05839W,
AQ,AQKSG,King Sejong,King Sejong,,1-------,RL,,6213S 05847W,
AQ,AQKHN,Kohnen,Kohnen,,1-------,RL,,7500S 00004E,
AQ,AQLAW,Law Base,Law Base,,1-------,RL,,6923S 07623E,
AQ,AQMTR,Maitri,Maitri,,--3-----,RL,,7045S 01144E,
AQ,AQMRB,Marambio,Marambio,,1-------,RL,,6414S 05639W,
AQ,AQMZU,Mario Zucchelli,Mario Zucchelli,,1-------,RL,,7441S 16407E,ex Terra Nova Bay Station
AQ,AQMAW,Mawson Station,Mawson Station,,1-------,RL,,6736S 06252E,
AQ,AQMCM,McMurdo,McMurdo,,1--4----,RL,,7750S 16640E,
AQ,AQMIR,Mirny,Mirny,,1-------,RL,,6633S 09300E,
AQ,AQNEU,Neumayer,Neumayer,,--3-----,RL,,7038S 00815W,
AQ,AQNOV,Novolazarevskaya,Novolazarevskaya,,--3-----,RL,,7046S 01151E,
AQ,AQORC,Orcadas,Orcadas,,1-------,RL,,6044S 04444W,
AQ,AQPLM,Palmer,Palmer,,1-------,RL,,6446S 06403W,
AQ,AQPFS,Port Foster,Port Foster,,1-------,RL,,6300S 06034W,
AQ,AQPRO,Progress,Progress,,1-------,RL,,6924S 07623E,
AQ,AQROT,Rothera,Rothera,,1-------,RL,,6734S 06807W,
AQ,AQSMT,San Martín,San Martin,,1-------,RL,,6807S 06706W,
AQ,AQSNA,SANAE IV,SANAE IV,,--3-----,RL,,7140S 00249W,
AQ,AQSBA,Scott Base,Scott Base,,--3-----,RL,,7751S 16645E,
AQ,AQSGN,Signy,Signy,,1-------,RL,,6043S 04536W,
AQ,AQSYW,Syowa,Syowa,,1-------,RL,,6900S 03935E,
AQ,AQTNM,Teniente R. Marsh,Teniente R. Marsh,,---4----,AI,,6213S 05855W,
AQ,AQTOR,Tor,Tor,,--3-----,RL,,7153S 00509E,
AQ,AQTRL,Troll,Troll,,--3-----,RL,,7200S 00232E,
AQ,AQVKY,Vernadsky,Vernadsky,,1-------,RL,,6514S 06415W,
AQ,AQVOS,Vostok,Vostok,,--3-----,RL,,7828S 10648E,
AQ,AQWSA,Wasa,Wasa,,1-------,RL,,7303S 01325W,
AQ,AQZGN,Zhongshan,Zhongshan,,1-------,RL,,6922S 07623E,
