country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
AR,ARABA,Abasto,Abasto,,--3-----,RQ,,3458S 05805W,
AR,ARACA,Acaraguá,Acaragua,N,--3-----,RL,,2728S 05507W,
AR,ARACS,Acassuso,Acassuso,B,--3-----,RL,,3429S 05831W,
AR,ARAVD,Acevedo,Acevedo,B,--3-----,RL,,3344S 06027W,
AR,ARAC5,Acheral,Acheral,T,--3-----,RL,,2707S 06527W,
AR,ARAMA,Adelia María,Adelia Maria,X,--3-----,RL,,3337S 06402W,
AR,ARGEO,Agrelo,Agrelo,M,1-------,RL,,3307S 06853W,
AR,ARAGS,Aguilares,Aguilares,T,--3-----,RL,,2726S 06537W,
AR,ARAIM,Aimogasta,Aimogasta,F,--3-----,RL,,2843S 06649W,
AR,ARALN,Albardón,Albardon,J,--3-----,RL,,3126S 06831W,
AR,ARALI,Alberti,Alberti,B,-23-----,RL,,3502S 06017W,
AR,ARAEA,Aldea Escolar,Aldea Escolar,U,--3-----,RL,,4308S 07133W,
AR,ARADS,Alderetes,Alderetes,T,--3-----,RL,,2649S 06508W,
AR,ARALL,Allen,Allen,R,-23-----,RL,,3859S 06749W,
AR,ARALE,Almafuerte,Almafuerte,X,--3-----,RL,,3212S 06415W,
AR,ARALS,Alsina,Alsina,,--3-----,RQ,,3354S 05923W,
AR,ARASL,Alto de Sierra,Alto de Sierra,J,--3-----,RL,,3131S 06825W,
AR,ARARR,Alto Río Senguerr,Alto Rio Senguerr,U,--34----,AI,,4502S 07050W,
AR,ARLTV,Alto Verde,Alto Verde,M,--3-----,RQ,,3309S 06721W,
AR,ARALZ,Alvarez,Alvarez,S,--3-----,RL,,3307S 06048W,
AR,ARAVR,Alvear,Alvear,S,-----6--,RQ,,3340S 06037W,
AR,ARANA,Añatuya,Anatuya,G,-23-----,RL,,2828S 06250W,
AR,ARANC,Ancón,Ancon,B,--3-----,RL,,3534S 06151W,
AR,ARADC,Andacollo,Andacollo,Q,--3-----,RL,,3711S 07041W,
AR,ARAND,Andalgalá,Andalgala,K,-23-----,RL,,2736S 06619W,
AR,ARALO,Añelo,Anelo,Q,-----6--,RL,,3821S 06847W,
AR,ARANO,Angaco,Angaco,J,--3-----,RL,,3113S 06802W,
AR,ARASA,Apolinario Saravia,Apolinario Saravia,A,-----6--,RL,,2425S 06402W,
AR,ARAPO,Apostoles,Apostoles,N,--3-----,RQ,,2755S 05546W,
AR,ARARN,Aranguren,Aranguren,E,--3-----,RL,,3214S 06009W,
AR,ARARI,Arias,Arias,X,-----6--,RL,,3338S 06225W,
AR,ARAVO,Aristóbulo del Valle,Aristobulo del Valle,N,--3-----,RL,,2707S 05455W,
AR,ARARG,Armstrong,Armstrong,S,--3-----,RL,,3246S 06136W,
AR,ARACF,Arrecifes,Arrecifes,B,123-----,RL,,3405S 06007W,
AR,ARAYO,Arroyito,Arroyito,X,--3-----,RQ,,3125S 06303W,
AR,ARASO,Arroyo Seco,Arroyo Seco,,1-------,RQ,,3308S 06026W,
AR,ARAST,Asturias,Asturias,,--3-----,RL,,3610S 06153W,
AR,ARATU,Atucha,Atucha,B,--3-----,RL,,,
AR,ARAVE,Avellaneda,Avellaneda,C,--3-----,RL,,3439S 05822W,
