country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
AT,ATABC,Abfaltersbach,Abfaltersbach,7,--3-----,RL,,4645N 01232E,
AT,ATABS,Absam,Absam,7,--3-----,RL,,4718N 01130E,
AT,ATABT,Abtenau,Abtenau,5,--3-----,RQ,,4733N 01321E,
AT,ATAWD,Abwinden,Abwinden,4,-23-----,RL,,4816N 01426E,
AT,ATFG7,Achau,Achau,,1----6--,RQ,,4840N 16230W,
AT,ATACK,Achenkirch,Achenkirch,7,--3-----,RL,,4731N 01142E,
AT,ATAND,Aderklaa,Aderklaa,3,--3-----,RL,,4817N 01632E,
AT,ATAWG,Adlwang,Adlwang,,--3-----,RL,,4759N 01413E,
AT,ATADO,Admont,Admont,6,-23-----,RL,,4734N 01427E,
AT,ATSAD,Adnet,Adnet,5,-----6--,RL,,4741N 01308E,
AT,ATAFR,Afritz,Afritz,,--3-----,RL,,4643N 01348E,
AT,ATAGG,Aggsbach Dorf,Aggsbach Dorf,3,--3-----,RL,,4817N 01525E,
AT,ATAGM,Aggsbach Markt,Aggsbach Markt,3,--3-----,RL,,4818N 01524E,
AT,ATACH,Aich,Aich,2,--3-----,RL,,4635N 01402E,
AT,ATAIN,Aigen,Aigen,4,-----6--,RQ,,4830N 01354E,
AT,ATAIG,Aigen im Mühlkreis,Aigen im Muhlkreis,,--3-----,RL,,4838N 01357E,
AT,ATARO,Albersdorf,Albersdorf,6,--3-----,RL,,4707N 01541E,
AT,ATAKV,Alkoven,Alkoven,4,--3-----,RL,,4817N 01406E,
AT,ATALE,Allentsteig,Allentsteig,,--3-----,RL,,4841N 01519E,
AT,ATALH,Allerheiligen,Allerheiligen,6,--3-----,RL,,4654N 01533E,
AT,ATALL,Allhaming,Allhaming,4,--3-----,RL,,4809N 01410E,
AT,ATNAL,Allhartsberg,Allhartsberg,3,--3--6--,RL,,4801N 01447E,
AT,ATAL9,Alpbach,Alpbach,7,--3-----,RL,,4724N 01157E,
AT,ATATH,Altach,Altach,8,-23--6--,RL,,4721N 00939E,
AT,ATATS,Altaussee,Altaussee,6,-----6--,RL,,4738N 01346E,
AT,ATAL4,Altenberg,Altenberg,3,--3-----,RL,,4820N 01614E,
AT,ATAGZ,Altenberg bei Linz,Altenberg bei Linz,4,--3-----,RL,,4822N 01420E,
AT,ATRUG,Altenburg,Altenburg,3,--3-----,RL,,4838N 01535E,
AT,ATAMK,Altenmarkt,Altenmarkt,,--3-----,RQ,,,
AT,ATALK,Altenmarkt im Pongau,Altenmarkt im Pongau,,--3-----,RL,,4722N 01325E,
AT,ATAWH,Altenwörth,Altenworth,3,1-3-----,RL,,4823N 01551E,
AT,ATAHI,Altheim,Altheim,4,--3-----,RL,,4815N 01314E,
AT,ATAHO,Althofen,Althofen,,-23-----,RL,,4652N 01429E,
AT,ATALT,Althofen,Althofen,,--3-----,RL,,4709N 01414E,
AT,ATATG,Altlengbach,Altlengbach,,--3-----,RL,,4809N 01555E,
AT,ATAMU,Altmuenster,Altmuenster,4,--3-----,RL,,4754N 01345E,
AT,ATAMS,Ameis,Ameis,3,--3-----,RL,,4840N 01632E,
AT,ATZAD,Ampflwang im Hausruckwald,Ampflwang im Hausruckwald,4,-23--6--,RL,,4806N 01334E,
AT,ATATT,Amstetten,Amstetten,3,--3-----,RL,,4807N 01452E,
AT,ATADU,Andau,Andau,,--3-----,RL,,4746N 01702E,
AT,ATABU,Andelsbuch,Andelsbuch,8,--3-----,RL,,4724N 00953E,
AT,ATRCH,Andrichsfurt,Andrichsfurt,4,--3-----,RL,,4815N 01331E,
AT,ATANR,Anger,Anger,6,--3-----,RL,,4716N 01541E,
AT,ATERG,Angerberg,Angerberg,7,--3-----,RL,,4730N 01202E,
AT,ATANF,Anif,Anif,,--3-----,RQ,,,
AT,ATANS,Ansfelden,Ansfelden,4,-23-----,RL,,4812N 01417E,
AT,ATTNU,Antau,Antau,1,--3-----,RL,,4746N 01629E,
AT,ATARG,Anthering,Anthering,,-23-----,RL,,4752N 01301E,
AT,ATAHN,Antiesenhofen,Antiesenhofen,,0-------,RQ,,,
AT,ATAPT,Apetlon,Apetlon,1,--3-----,RQ,,4745N 01650E,
AT,ATARB,Arbesthal,Arbesthal,3,--3-----,RL,,4804N 01642E,
AT,ATARI,Arbing,Arbing,4,-----6--,RL,,4813N 01442E,
AT,ATADG,Ardagger,Ardagger,3,--3-----,RL,,4810N 01449E,
AT,ATAOT,Arnoldstein,Arnoldstein,,--3-----,RL,,4633N 01342E,
AT,ATASC,Aschach an der Donau,Aschach an der Donau,4,--3-----,RL,,4822N 01402E,
AT,ATADS,Aschach an der Steyr,Aschach an der Steyr,4,-----6--,RL,,4800N 01420E,
AT,ATABM,Aschbach Markt,Aschbach Markt,3,-23-----,RL,,4804N 01445E,
AT,ATAPG,Aspang,Aspang,3,-23-----,RL,,4733N 01605E,
AT,ATASP,Aspern,Aspern,,0-------,RQ,,,
AT,ATATN,Asten,Asten,4,123-----,RL,,4813N 01424E,
AT,ATATP,Attnang-Puchheim,Attnang-Puchheim,4,-23-----,RL,,4800N 01343E,
AT,ATATB,Atzbach,Atzbach,4,--3-----,RL,,4805N 01342E,
AT,ATATZ,Atzenbrugg,Atzenbrugg,3,-----6--,RL,,4817N 01554E,
AT,ATADD,Au an der Donau,Au an der Donau,,--3-----,RQ,,4813N 01434E,
AT,ATARN,Auern,Auern,4,--3-----,RQ,,4759N 01407E,
AT,ATUER,Auersthal,Auersthal,,-23-----,RL,,4822N 01638E,
AT,ATABK,Aurach Bei Kitzbuhel,Aurach Bei Kitzbuhel,7,-----6--,RQ,,4744N 01230W,
AT,ATALZ,Aurolzmünster,Aurolzmunster,,-23-----,RL,,4815N 01327E,
AT,ATAUE,Bad Aussee,Bad Aussee,6,--3-----,RL,,4735N 01346E,
AT,ATBDG,Bad Deutsch-Altenburg,Bad Deutsch-Altenburg,3,--3-----,RL,,4808N 01654E,
AT,ATBRH,Bad Erlach,Bad Erlach,3,--3-----,RL,,4744N 01612E,
AT,ATBFI,Bad Fischau,Bad Fischau,,-23-----,RL,,4750N 01610E,
AT,ATBGC,Bad Gleichenberg,Bad Gleichenberg,,--3-----,RL,,,
AT,ATBGM,Bad Goisern,Bad Goisern,4,--3-----,RQ,,4738N 01337E,
AT,ATBHL,Bad Hall,Bad Hall,,--3-----,RL,,4802N 01412E,
AT,ATICH,Bad Ischl,Bad Ischl,,--3-----,RL,,4742N 01336E,
AT,ATBKZ,Bad Kreuzen,Bad Kreuzen,,--3-----,RQ,,,
