country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
AU,AUABP,Abbot Point,Abbot Point,QLD,1-------,AC,,1954S 14805E,
AU,AUABA,Abbotsford,Abbotsford,VIC,--3-----,RL,,3748S 14500E,
AU,AUALP,Abell Point,Abell Point,QLD,1-3-----,AC,,2016S 14843E,
AU,AUABD,Aberdeen,Aberdeen,NSW,--3-----,RL,,3210S 15054E,
AU,AUS4A,Aberfoyle Park,Aberfoyle Park,SA,--3-----,RL,,3504S 13836E,
AU,AUABG,Abingdon,Abingdon,QLD,---4----,AI,,,
AU,AUACA,Acacia Ridge,Acacia Ridge,QLD,--3-----,RL,,2735S 15301E,
AU,AUMST,Adamstown,Adamstown,NSW,--3-----,RL,,3256S 15143E,
AU,AUADL,Adelaide,Adelaide,SA,12345---,AC,,3455S 13835E,
AU,AUADA,Adelaide Apt,Adelaide Apt,SA,---4----,AC,,,
AU,AUALO,Adelong,Adelong,NSW,--3-----,RL,,3519S 14804E,
AU,AUANB,Agnes Bank,Agnes Bank,NSW,--3-----,RL,,3336S 15042E,
AU,AUAGW,Agnew,Agnew,QLD,---4----,AI,,,
AU,AUWSY,Airlie Beach,Airlie Beach,QLD,---4----,AI,,,
AU,AUAIR,Airlie Terminal,Airlie Terminal,WA,1-------,RL,,2120S 11510E,Airlie Island
AU,AUAPW,Airport West,Airport West,VIC,--3-----,RL,,3744S 14453E,
AU,AUALH,Albany,Albany,WA,1--4----,AC,,,
AU,AUACK,Albany Creek,Albany Creek,QLD,-----6--,RL,,2721S 15259E,
AU,AUABO,Alberton,Alberton,QLD,--3-----,RL,,2742S 15315E,
AU,AUAPK,Albion Park,Albion Park,NSW,--3-----,RL,,3434S 15047E,
AU,AUABX,Albury,Albury,NSW,-234----,AI,,3605S 14655E,
AU,AUALD,Aldgate,Aldgate,SA,1----6--,RL,,3501S 13844E,
AU,AUADG,Aldinga,Aldinga,SA,--3-----,RL,,3517S 13829E,
AU,AUAVA,Alexandra,Alexandra,VIC,-----6--,RL,,3711S 14542E,
AU,AUALX,Alexandria,Alexandria,NSW,--3-----,RL,,3354S 15113E,
AU,AUAXL,Alexandria,Alexandria,NT,---4----,AI,,,
AU,AUASP,Alice Springs,Alice Springs,NT,---4----,AI,,,
AU,AUALB,Allambie Heights,Allambie Heights,NSW,--3-----,RL,,3345S 15115E,
AU,AUAFD,Allansford,Allansford,VIC,--3-----,RQ,,3824S 14235E,
