country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
AZ,AZABN,Agcabadi,Agcabadi,AGC,--3-----,RL,,4003N 04727E,
AZ,AZAGS,Agstafa,Agstafa,AGA,--3-----,RL,,4107N 04527E,
AZ,AZAST,Astara,Astara,,-----6--,RL,,3827N 04852E,
AZ,AZBAK,Baku,Baku,,12-45---,AI,,,
AZ,AZDAM,Dalimammadli,Dalimammadli,GOR,--3-----,RL,,4041N 04634E,
AZ,AZDJU,Djulfa,Djulfa,,-2------,AI,,,
AZ,AZGAN,Ganja,Ganja,,-----6--,RL,,4040N 04621E,
AZ,AZKVD,Gyandzha,Gyandzha,,---4----,AI,,,
AZ,AZGYD,Heydar Aliyev International Apt.,Heydar Aliyev International Apt.,BA,---4----,RL,,4028N 05002E,
AZ,AZIMI,Imisli,Imisli,,--3-----,RL,,3952N 04803E,
AZ,AZKMZ,Khachmaz,Khachmaz,XAC,1----6--,RL,,4159N 04735E,
AZ,AZKHA,Khanlar,Khanlar,,--3-----,RL,,4020N 04949E,
AZ,AZKBD,Kirovabad,Kirovabad,GA,-23-----,RQ,,,
AZ,AZLAN,Lankaran,Lankaran,,--3-----,RL,,3845N 04851E,
AZ,AZMGC,Mingechaur,Mingechaur,,--3-----,RL,,4045N 04703E,
AZ,AZNAJ,Naxcivan,Naxcivan,NX,--3--6--,RL,,3912N 04514E,
AZ,AZQDG,Qaradag,Qaradag,,123-----,RL,,4015N 04936E,
AZ,AZKAZ,Qazax,Qazax,QAZ,-23-----,RL,,4106N 04521E,
AZ,AZQUB,Quba,Quba,,-----6--,RL,,4010N 04825E,
AZ,AZQUS,Qusqara,Qusqara,GA,--3-----,RL,,4043N 04617E,
AZ,AZSAM,Samaxi,Samaxi,SMI,--3-----,RL,,4037N 04838E,
AZ,AZSAN,Sangachal,Sangachal,BA,-23-----,RL,,4012N 04929E,
AZ,AZSHI,Shirvan,Shirvan,AGU,1-3-----,RL,,3955N 04855E,
AZ,AZSY9,Siyazan,Siyazan,SIY,-23-----,RL,,4104N 04906E,
AZ,AZSUM,Sumgait,Sumgait,,--3-----,RL,,4035N 04938E,
AZ,AZSUQ,Sumqayit,Sumqayit,SM,1-3-----,RL,,4035N 04940E,
AZ,AZTOV,Tovuz,Tovuz,TOV,--3-----,RL,,4059N 04537E,
AZ,AZXIR,Xirdalan,Xirdalan,ABS,--3-----,RL,,4015N 04945E,
AZ,AZYAL,Yalama,Yalama,,-23-----,RL,,4145N 04834E,
AZ,AZZAQ,Zaqatala,Zaqatala,,--3-----,RL,,4138N 04638E,
