country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
BA,BABNX,Banja Luka,Banja Luka,SRP,--34----,AI,,4446N 01711E,
BA,BABER,Berkovici,Berkovici,SRP,--3-----,RL,,4305N 01810E,
BA,BABHC,Bihac,Bihac,BIH,--3-----,RL,,4449N 01552E,
BA,BABJA,Bijeljina,Bijeljina,SRP,-23-----,RL,,4445N 01912E,
BA,BABIR,Biracevac,Biracevac,,1-3-----,RQ,,,
BA,BABZJ,"Blazuj, Sarajevo","Blazuj, Sarajevo",BIH,--3-----,RL,,4350N 01815E,
BA,BABKR,Bosanska Krupa,Bosanska Krupa,,-23-----,RL,,4453N 01609E,
BA,BABBR,Bosanski Brod (Srpski Brod),Bosanski Brod (Srpski Brod),SRP,-23-----,RL,,4508N 01759E,
BA,BABPE,Bosanski Petrovac,Bosanski Petrovac,BIH,--3-----,RL,,4433N 01622E,
BA,BABKO,Brcko,Brcko,SRP,-23-----,RL,,4452N 01848E,
BA,BABUD,Budinscina,Budinscina,,--3-----,RL,,4607N 01612E,
BA,BABUG,Bugojno,Bugojno,,-23-----,RL,,4403N 01726E,
BA,BABAA,Busovaca,Busovaca,6,--3-----,RL,,4405N 01752E,
BA,BA4CA,Cazin,Cazin,BIH,1-3-----,RL,,4458N 01556E,
BA,BACEL,Celinac,Celinac,SRP,--3-----,RL,,4443N 01719E,
BA,BACIT,Citluk,Citluk,,-----6--,RL,,4331N 01744E,
BA,BADVA,Derventa,Derventa,SRP,--3-----,RL,,4458N 01754E,
BA,BADBJ,Doboj,Doboj,BIH,--3-----,RL,,4407N 01806E,
BA,BADOJ,Domaljevac,Domaljevac,,1----6--,RL,,4503N 01834E,
BA,BADOV,Donji Vakuf,Donji Vakuf,BIH,-23-----,RL,,4408N 01724E,
BA,BADBA,Dubica,Dubica,,--3-----,RL,,4431N 01659E,
BA,BADUK,Durdevik,Durdevik,BIH,--3-----,RL,,4424N 01839E,
BA,BAFOJ,Fojnica,Fojnica,,1----6--,RL,,4357N 01754E,
BA,BAGOZ,Gorazde,Gorazde,,--3-----,RL,,4340N 01859E,
BA,BABGV,Gornji Vakuf-Uskoplje,Gornji Vakuf-Uskoplje,6,--3-----,RL,,4356N 01735E,
BA,BAC6G,Gracanica,Gracanica,BIH,--3-----,RL,,4442N 01818E,
BA,BAGDC,Gradacac,Gradacac,10,--3-----,RL,,4452N 01825E,
BA,BAGDA,Gradiska,Gradiska,SRP,--3-----,RL,,4508N 01715E,
BA,BAGRU,Grude,Grude,,--3-----,RL,,4321N 01725E,
BA,BAHDC,Hadzici,Hadzici,,--3-----,RL,,4424N 01850E,
BA,BAHRE,Hresa,Hresa,SRP,--3-----,RL,,4352N 01829E,
BA,BAJBA,Jablanica,Jablanica,,1----6--,RL,,4339N 01745E,
BA,BAJAJ,Jajce,Jajce,,-----6--,RL,,4020N 01715E,
BA,BAKAC,Kacuni,Kacuni,7,--3-----,RL,,4403N 01756E,
BA,BAKAJ,Kakanj,Kakanj,BIH,--3-----,RL,,4407N 01807E,
BA,BAKSA,Kalesija,Kalesija,BIH,--3-----,RL,,4426N 01854E,
BA,BAKJK,Kiseljak,Kiseljak,BIH,--3-----,RL,,4356N 01804E,
BA,BAKDJ,Kladanj,Kladanj,BIH,--3-----,RL,,4413N 01841E,
BA,BAKLJ,Kljuc,Kljuc,,--3-----,RL,,4357N 01805E,
BA,BAKJC,Konjic,Konjic,BIH,-23-----,RL,,4337N 01758E,
BA,BAKSO,Kresevo,Kresevo,BIH,--3-----,RL,,4351N 01802E,
BA,BAKNU,Krupa na Uni,Krupa na Uni,,--3-----,RQ,,4452N 01609E,
BA,BALTI,Laktasi,Laktasi,SRP,--3-----,RL,,4454N 01718E,
BA,BALVO,Livno,Livno,BIH,--3-----,RL,,4349N 01700E,
BA,BALBS,Ljubuski,Ljubuski,BIH,--3-----,RL,,4311N 01732E,
BA,BALKV,Lukavac,Lukavac,,--3-----,RL,,4446N 01853E,
BA,BAMAG,Maglaj,Maglaj,BIH,123-----,RL,,4432N 01805E,
BA,BAMZI,Matuzici,Matuzici,BIH,-23-----,RL,,4441N 01803E,
BA,BAMGE,Medugorje,Medugorje,BIH,--3-----,RL,,4311N 01740E,
BA,BAMOD,Modrica,Modrica,,-23-----,RL,,4457N 01817E,
BA,BAOMO,Mostar,Mostar,,---4----,AI,,,
BA,BAMRA,Mravnjac,Mravnjac,,-23-----,RL,,4338N 01856E,
BA,BAMGR,Mrkonji Grad,Mrkonji Grad,SRP,--3-----,RL,,4424N 01705E,
BA,BANEM,Neum,Neum,,1----6--,RL,,4255N 01737E,
BA,BANEV,Nevesinje,Nevesinje,SRP,--3-----,RL,,4315N 01806E,
BA,BAORA,Orasje,Orasje,,-----6--,RQ,,4502N 01842E,
BA,BAOSM,Osmaci,Osmaci,BIH,--3-----,RL,,4424N 01854E,
BA,BAOZM,Ozimica,Ozimica,BIH,--3-----,RL,,4428N 01802E,
BA,BAPAL,Pale,Pale,SRP,--3-----,RL,,4348N 01834E,
BA,BAPER,Perduhovo Selo,Perduhovo Selo,BIH,--3-----,RL,,4410N 01648E,
BA,BAPSE,Posusje,Posusje,BIH,--3-----,RL,,4328N 01719E,
