country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
BB,BBBGI,Bridgetown,Bridgetown,,1--45---,AI,,,
BB,BBG5B,Brighton,Brighton,10,--3-----,RL,,1307N 05931W,
BB,BBCCH,Christ Church,Christ Church,1,--3-----,RL,,1305N 05932W,
BB,BBH9G,Edge Hill,Edge Hill,8,--3-----,RL,,1309N 05936W,
BB,BBHLT,Holetown,Holetown,4,--3-----,RL,,1311N 05938W,
BB,BBJCK,Jackson,Jackson,8,-----6--,RL,,1309N 05936W,
BB,BBNES,Nesfield,Nesfield,7,--3-----,RL,,1317N 05937W,
BB,BBOST,Oistins,Oistins,,--3-----,RL,,1304N 05932W,
BB,BBSTM,Saint Michael,Saint Michael,8,1----6--,RL,,1307N 05936W,
BB,BBSPR,Saint Peter,Saint Peter,9,-23-----,RL,,1315N 05937W,
BB,BBSAP,Saint Philip,Saint Philip,10,-----6--,RL,,,
BB,BBSLC,Sam Lords Castle,Sam Lords Castle,,--3-----,RL,,1307N 05926W,
BB,BBSPT,Speightstown,Speightstown,,--3-----,RQ,,1315N 05939W,
