country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
BD,BDAKH,Akhaura,Akhaura,,----5---,AI,,,
BD,BDASJ,Ashuganj,Ashuganj,4,1-------,RL,,2402N 09101E,
BD,BDBZL,Barisal,Barisal,,1--4----,AI,,,
BD,BDBNP,Benapole,Benapole,,1-------,RL,,2303N 08854E,
BD,BDBHL,Bhola,Bhola,13,--3-----,RL,,2347N 09025E,
BD,BDBRG,Bogura,Bogura,,-----6--,RL,,2451N 08922E,
BD,BDCHL,Chalna,Chalna,,1-------,QQ,,,
BD,BDCGP,Chattogram,Chattogram,10,1--45---,AI,,2220N 09150E,
BD,BDCDG,Chuadanga,Chuadanga,27,-----6--,RQ,,2360N 08870E,
BD,BDCXB,Cox's Bazar,Cox's Bazar,,---4----,AI,,2126N 09159E,
BD,BDCLA,Cumilla,Cumilla,,---4----,AI,,,
BD,BDDAC,Dhaka,Dhaka,13,---45---,AI,,2410N 09025E,
BD,BDFNI,Feni,Feni,10,--3-----,RL,,2301N 09124E,
BD,BDGAZ,Gazipur,Gazipur,,--3-----,RL,,2342N 09057E,
BD,BDGPG,Gopalganj,Gopalganj,13,--3-----,RL,,2313N 09003E,
BD,BDIRD,Ishurdi,Ishurdi,,---4----,AI,,,
BD,BDJSR,Jashore,Jashore,,---4----,AI,,,
BD,BDKAM,Kamalapur/Dhaka,Kamalapur/Dhaka,,--3-----,RQ,,,
BD,BDKHL,Khulna,Khulna,,1-------,AI,,,
BD,BDKUS,Kushtia,Kushtia,,-----6--,RL,,2545N 08950E,
BD,BDLAK,Laksham,Laksham,,----5---,AI,,,
BD,BDMNK,Manikganj,Manikganj,13,--3-----,RL,,2351N 09000E,
BD,BDMON,Monella,Monella,,0-------,RQ,,,
BD,BDMGL,Mongla,Mongla,,1-------,RQ,,,
BD,BDMBB,Moulvi Bazar,Moulvi Bazar,60,-----6--,RL,,2429N 09147E,
BD,BDMUN,Munshiganj,Munshiganj,35,1-------,RL,,2333N 09032W,
BD,BDMYM,Mymensingh,Mymensingh,,----5---,AI,,,
BD,BDNAR,Narayanganj,Narayanganj,,123-----,QQ,,,
BD,BDDHA,Narsingdi,Narsingdi,13,-----6--,RL,,2355N 09043E,
BD,BDPAN,Pabna,Pabna,,--3-----,RL,,,
BD,BDPGN,Pangaon,Pangaon,13,1-3-----,RL,,2339N 09027E,
BD,BDPAR,Parbatipur,Parbatipur,,----5---,AI,,,
BD,BDPAY,Payra Port,Payra Port,6,1-------,AA,,2156N 09016E,
BD,BDRJH,Rajshahi,Rajshahi,,---4----,AI,,,
BD,BDRAU,Rangpur,Rangpur,,---4----,AI,,,
BD,BDSPD,Saidpur,Saidpur,,---4----,AI,,,
BD,BDSDW,Sandwip,Sandwip,,---4----,AI,,,
BD,BDSAV,Savar,Savar,13,-----6--,RL,,2350N 09015E,
BD,BDZHM,Shamshernagar,Shamshernagar,,---4----,AI,,,
BD,BDSSU,Sherpur Sadar Upazila,Sherpur Sadar Upazila,13,--3-----,RL,,2500N 09001E,
BD,BDSAJ,Sirajganj,Sirajganj,,---4----,AI,,,
BD,BDZYL,Sylhet,Sylhet,,---4----,AI,,,
BD,BDTEJ,Tejgaon,Tejgaon,,-----6--,RL,,2346N 09024E,
BD,BDTKR,Thakurgaon,Thakurgaon,,---4----,AI,,,BD,BDMTB,Matarbari Port,Matarbari Port,11,1.0,RQ,,2179N 91659E,"(HLAG) new port, name with Matarbari only",UN-2022-66182
BD,BDMTB,Matarbari Port,Matarbari Port,11,1.0,RQ,,2179N 91659E,"(HLAG) new port, name with Matarbari only",UN-2022-66182
BD,BDMTB,Matarbari Port,Matarbari Port,11,1.0,RQ,,2179N 91659E,"(HLAG) new port, name with Matarbari only",UN-2022-66182
BD,BDMTB,Matarbari Port,Matarbari Port,11,1.0,RQ,,2179N 91659E,"(HLAG) new port, name with Matarbari only",UN-2022-66182
BD,BDMTB,Matarbari Port,Matarbari Port,11,1.0,RQ,,2179N 91659E,"(HLAG) new port, name with Matarbari only",UN-2022-66182
BD,BDMTB,Matarbari Port,Matarbari Port,11,1.0,RQ,,2179N 91659E,"(HLAG) new port, name with Matarbari only",UN-2022-66182
BD,BDMTB,Matarbari Port,Matarbari Port,11,1.0,RQ,,2179N 91659E,"(HLAG) new port, name with Matarbari only",UN-2022-66182
BD,BDMTB,Matarbari Port,Matarbari Port,11,1.0,RQ,,2179N 91659E,"(HLAG) new port, name with Matarbari only",UN-2022-66182
BD,BDMTB,Matarbari Port,Matarbari Port,11,1.0,RQ,,2179N 91659E,"(HLAG) new port, name with Matarbari only",UN-2022-66182
