country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
BE,BEALB,Aalbeke,Aalbeke,VWV,-----6--,RL,,5046N 00313E,
BE,BEAAB,Aalst,Aalst,VOV,1-3-----,RN,,5056N 00402E,
BE,BEAAL,Aalter,Aalter,VOV,1-3-----,RN,,5105N 00327E,
BE,BEAAS,Aarschot,Aarschot,VBR,--3-----,RN,,5059N 00450E,
BE,BEARS,Aarsele,Aarsele,VWV,--3-----,RN,,5100N 00325E,
BE,BEART,Aartrijke,Aartrijke,VWV,--3-----,RN,,5107N 00305E,
BE,BEAAR,Aartselaar,Aartselaar,VAN,--3-----,RN,,5108N 00423E,
BE,BEAHL,Achel,Achel,VLI,-23-----,RL,,5115N 00529E,
BE,BEACE,Achet,Achet,WNA,--3-----,RN,,5020N 00511E,
BE,BEACH,Achouffe,Achouffe,WLX,--3-----,RN,,5009N 00545E,
BE,BEAGE,Adegem,Adegem,VOV,--3-----,RN,,5112N 00329E,
BE,BEADK,Adinkerke,Adinkerke,VWV,1-3-----,RN,,5104N 00236E,
BE,BEAFF,Affligem,Affligem,VBR,--3-----,RN,,5053N 00405E,
BE,BEAFN,Afsnee,Afsnee,VOV,1-3-----,RN,,5102N 00340E,
BE,BEAGI,Agimont,Agimont,WNA,--3-----,RN,,5010N 00448E,
BE,BEAPE,Aiseau-Presles,Aiseau-Presles,WHT,--3-----,RN,,5025N 00435E,
BE,BEABK,Albertkanaal ports,Albertkanaal ports,,1-------,AI,,,Collective entry reqd by EUROSTAT
BE,BEAKN,Alken,Alken,VLI,--3-----,RL,,5052N 00518E,
BE,BEAEL,Alleur,Alleur,WLG,--3-----,RN,,5041N 00530E,
BE,BEASB,Alsemberg,Alsemberg,VBR,--3-----,RN,,5044N 00419E,
BE,BEAVR,Alveringem,Alveringem,VWV,--3-----,RN,,5101N 00243E,
BE,BEAMY,Amay,Amay,WLG,1-3-----,RN,,5033N 00519E,
BE,BEAME,Amblève,Ambleve,WLG,--3-----,RN,,5021N 00609E,
BE,BEABY,Ambly,Ambly,WLX,--3-----,RN,,5009N 00519E,
