country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
BF,BFABD,Aribinda,Aribinda,,---4----,AI,XAR,,
BF,BFARL,Arly,Arly,,---4----,AI,,,
BF,BFBNR,Banfora,Banfora,,---4----,AI,,,
BF,BFBER,Bérégadougou,Beregadougou,,-23-----,RL,,1046N 00445W,
BF,BFBOY,Bobo-Dioulasso,Bobo-Dioulasso,HOU,---4----,AI,,1112N 00418W,
BF,BFBOG,Bogandé,Bogande,,---4----,AI,XBG,1259N 00008W,
BF,BFBRO,Boromo,Boromo,BAL,--3-----,RL,,1145N 00256W,
BF,BFBOU,Boulsa,Boulsa,,---4----,AI,XBO,,
BF,BFBUS,Bousse,Bousse,OUB,--3-----,RL,,1239N 00153W,
BF,BFDGU,Dédougou,Dedougou,,---4----,AI,,1228N 00328W,
BF,BFDIP,Diapaga,Diapaga,,---4----,AI,,,
BF,BFDBG,Diébougou,Diebougou,,---4----,AI,XDE,1058N 00315W,
BF,BFDJI,Djibo,Djibo,,---4----,AI,XDJ,,
BF,BFDOR,Dori,Dori,,---4----,AI,,,
BF,BFFNG,Fada-Ngourma,Fada-Ngourma,,---4----,AI,,1204N 00021E,
BF,BFGAO,Gaoua,Gaoua,,---4----,AI,XGA,,
BF,BFGOG,Gorom-Gorom,Gorom-Gorom,,---4----,AI,XGG,,
BF,BFHOU,Houndé,Hounde,TUI,--3-----,RL,,1130N 00331W,
BF,BFKAN,Kantchari,Kantchari,,---4----,AI,XKA,,
BF,BFKAY,Kaya,Kaya,,---4----,AI,XKY,,
BF,BFKOS,Kossodo,Kossodo,,--3-----,RL,,1225N 00128W,
BF,BFKOU,Koudougou,Koudougou,,-23-----,RL,,1214N 00222W,
BF,BFKOR,Kourouma,Kourouma,,--3-----,RL,,1137N 00448W,
BF,BFLEO,Léo,Leo,,---4----,AI,XLU,1106N 00206W,
BF,BFMAN,Mana,Mana,BAL,--3-----,RL,,1152N 00322W,
BF,BFNAT,Natougou,Natougou,TAP,--3-----,RL,,1237N 00141E,
BF,BFNOU,Nouna,Nouna,,---4----,AI,XNU,,
BF,BFORO,Orodara,Orodara,KEN,--3-----,RL,,1059N 00455W,
BF,BFOUA,Ouagadougou,Ouagadougou,,---45---,AI,,,
BF,BFOUG,Ouahigouya,Ouahigouya,,---4----,AI,,,
BF,BFPAM,Pama,Pama,,---4----,AI,XPA,,
BF,BFPEN,Péni,Peni,HOU,--3-----,RL,,1057N 00429W,
BF,BFPUP,Po,Po,,---4----,AI,,,
BF,BFPOU,Poura,Poura,,--3-----,RL,,1039N 00305W,
BF,BFSAP,Saponé,Sapone,BAZ,--3-----,RL,,1206N 00133W,
BF,BFSEB,Sebba,Sebba,,---4----,AI,XSE,,
BF,BFTMQ,Tambao,Tambao,,---4----,AI,,,
BF,BFTEM,Tema,Tema,PAS,--3-----,RL,,1305N 00147W,
BF,BFTEG,Tenkodogo,Tenkodogo,,---4----,AI,,,
BF,BFTUQ,Tougan,Tougan,,---4----,AI,,,
BF,BFWON,Wona (Ouona),Wona (Ouona),TUI,--3-----,RL,,1158N 00325W,
BF,BFYKP,Yako,Yako,PAS,--3-----,RL,,1258N 00216W,
BF,BFLIG,Yaramoko,Yaramoko,MOU,--3-----,RL,,1148N 00317W,
BF,BFZAB,Zabré,Zabre,,---4----,AI,XZA,1110N 00038W,
BF,BFZIG,Ziga,Ziga,,--3-----,RL,,1237N 00049W,
BF,BFOB2,Ziniaré,Ziniare,OUB,1-3-----,RL,,1235N 00118W,
