country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
BG,BGAIO,Aitos,Aitos,2,-----6--,RL,,4243N 02715E,
BG,BGAKH,Akhtopol,Akhtopol,,1-------,RL,,4206N 02757E,
BG,BGASA,Aksakovo,Aksakovo,3,--3-----,RL,,4315N 02749E,
BG,BGATL,Altimir,Altimir,6,--3-----,RL,,4332N 02349E,
BG,BGAPI,Apriltsi,Apriltsi,,--3-----,RL,,4219N 02417E,
BG,BGARD,Ardino,Ardino,21,--3-----,RL,,4135N 02508E,
BG,BGAND,Asenovgrad,Asenovgrad,,--3-----,RL,,,
BG,BGAYT,Aytos,Aytos,2,--3-----,RL,,4242N 02715E,
BG,BGBAL,Balchik,Balchik,,1-------,RL,,4325N 02810E,
BG,BGBVO,Banevo,Banevo,2,--3-----,RL,,4238N 02724E,
BG,BGBTE,Banite,Banite,21,--3-----,RL,,4137N 02501E,
BG,BGBAN,Bankya,Bankya,14,-----6--,RQ,,4251N 02240E,
BG,BGBAK,Bankya,Bankya,23,-----6--,RQ,,4242N 02308E,
BG,BGBAO,Bansko,Bansko,23,-23-----,RL,,4150N 02330E,
BG,BGBBA,Bata,Bata,2,-----6--,RL,,4244N 02730E,
BG,BGBAT,Batak,Batak,13,-----6--,RL,,4157N 02413E,
BG,BGBLE,Belene,Belene,15,-----6--,RL,,4339N 02507E,
BG,BGBEL,Belitsa,Belitsa,,--3-----,RL,,4157N 02333E,
BG,BGBBK,Belogradchik,Belogradchik,5,--3-----,RL,,4337N 02241E,
BG,BGBDK,Belogradchik,Belogradchik,5,--3-----,RL,,4337N 02241E,
BG,BGBEV,Beloslav,Beloslav,3,--3-----,RL,,4311N 02742E,
BG,BGBPK,Belovo,Belovo,13,--3-----,RL,,4213N 02401E,
BG,BGBYK,Belyakovets,Belyakovets,4,--3-----,RL,,4306N 02535E,
BG,BGBEN,Benkovski,Benkovski,16,--3-----,RL,,4213N 02439E,
BG,BGBRK,Berkovitza,Berkovitza,,-23-----,RQ,,,
BG,BGVBS,Bjala Slatina,Bjala Slatina,6,--3--6--,RL,,,
BG,BGBLN,Blagoevgrad,Blagoevgrad,,--3-----,RL,,4201N 02306E,
BG,BGBRV,Borovo,Borovo,,--3-----,RL,,4330N 02548E,
BG,BGBRF,Botevgrad,Botevgrad,,--3-----,RL,,,
BG,BGBOZ,Bozhurishte,Bozhurishte,22,--3-----,RL,,4245N 02312E,
BG,BGVTG,Bratsigovo,Bratsigovo,13,--3-----,RL,,4201N 02422E,
BG,BGBRE,Bregovo,Bregovo,,--3-----,QQ,,,
BG,BGBRS,Brestak,Brestak,3,--3-----,RL,,4327N 02732E,
BG,BGBTV,Brestovets,Brestovets,,--3-----,RL,,4321N 02436E,
BG,BGBRZ,Breznik,Breznik,2,--3-----,RQ,,,
BG,BGBDB,Bulgarevo,Bulgarevo,8,--3-----,RL,,4324N 02825E,
BG,BGBOJ,Burgas,Burgas,,1-------,AC,,,
BG,BGBUZ,Buzovgrad,Buzovgrad,24,--3-----,RL,,4234N 02522E,
BG,BGBYL,Byala,Byala,3,--3-----,RL,,,
BG,BGBYA,Byala,Byala,18,--3-----,RL,,4327N 02544E,
BG,BGVT4,Byala Cherkva,Byala Cherkva,4,1-3-----,RL,,4312N 02518E,
BG,BGBSL,Byala Slatina,Byala Slatina,,123-----,RL,,4328N 02357E,
BG,BGCHR,Chakalarevo,Chakalarevo,,--3-----,RL,,4117N 02517E,
BG,BGOCH,Chelopech,Chelopech,23,-----6--,RQ,,4242N 02405E,
BG,BGCHL,Chelopechene,Chelopechene,8,--3-----,RL,,4333N 02819E,
BG,BGCPA,Chepelare,Chepelare,,--3-----,RL,,,
BG,BGCHE,Chepintsi,Chepintsi,,-23-----,RL,,4246N 02326E,
BG,BGVCA,Chernook,Chernook,3,--3-----,RL,,4308N 02713E,
BG,BGCHV,Cherven Bryag,Cherven Bryag,15,--3-----,RL,,4316N 02404E,
BG,BGCPW,Chirpan,Chirpan,,--3-----,RL,,,
BG,BGBCP,Chomakovtsi,Chomakovtsi,15,--3-----,RL,,4319N 02404E,
BG,BGCHU,Churukovo,Churukovo,21,--3-----,RL,,4151N 02426E,
BG,BGDBD,Damyanitsa,Damyanitsa,1,--3-----,RL,,4131N 02316E,
BG,BGDBS,Debelec,Debelec,,--3-----,RL,,,
BG,BGDEL,Debelt,Debelt,2,-----6--,RL,,4224N 02716E,
BG,BGDLC,Delchevo,Delchevo,,--3-----,RL,,4133N 02342E,
BG,BGDEV,Devin,Devin,21,--3-----,RL,,4144N 02424E,
BG,BGDNJ,Devnya,Devnya,,--3-----,RL,,,
BG,BGDTG,Dimitrovgrad,Dimitrovgrad,,--3-----,RL,,,
BG,BGDOD,Dobrich,Dobrich,,--3-----,RL,,,
BG,BGDBR,Dobroslavtsi,Dobroslavtsi,23,--3-----,RL,,4249N 02317E,
BG,BGDOB,Dolna Banya,Dolna Banya,,--3-----,RL,,4218N 02346E,
BG,BGYMP,Dolna Mitropoliya,Dolna Mitropoliya,15,--3-----,RL,,4328N 02432E,
BG,BGDKC,Dolna Oryakhovitsa,Dolna Oryakhovitsa,,--3-----,RL,,4310N 02544E,
BG,BGDOC,Dolni Chiflik,Dolni Chiflik,3,--3-----,RL,,4259N 02743E,
BG,BGKBD,Dolni Dabnik,Dolni Dabnik,15,--3-----,RL,,4324N 02426E,
BG,BGDSP,Dospat,Dospat,,--3-----,RQ,,,
BG,BGDAO,Draginovo,Draginovo,13,--3-----,RL,,4204N 02401E,
BG,BGDMN,Dragoman,Dragoman,,--3-----,RL,,,
BG,BGVRN,Drenov,Drenov,11,--3-----,RL,,4317N 02451E,
BG,BGDRV,Drenovets,Drenovets,5,--3-----,RL,,4341N 02258E,
BG,BGDNV,Dryanovo,Dryanovo,,-23-----,RL,,4259N 02529E,
BG,BGDLV,Dulovo,Dulovo,,--3-----,RL,,,
BG,BGDNI,Dunavtsi,Dunavtsi,24,-23-----,AM,,4239N 02518E,
BG,BGDUP,Dupnica,Dupnica,,-23-----,AA,,4216N 02307E,
BG,BGDKO,Durankulak,Durankulak,,--3-----,AC,,4342N 02831E,
BG,BGELE,Elena,Elena,4,--3-----,RL,,4256N 02553E,
BG,BGELH,Elhovo,Elhovo,28,--3-----,RL,,4210N 02634E,
BG,BGEPE,Elin Pelin,Elin Pelin,23,--3-----,RL,,4240N 02336E,
BG,BGEHO,Elkhovo,Elkhovo,28,-23-----,RL,,4210N 02634E,
BG,BGETS,Etropole,Etropole,,--3-----,RL,,,
BG,BGFOT,Fotinovo,Fotinovo,13,--3-----,RL,,4153N 02421E,
BG,BGGAV,Gabrovo,Gabrovo,,--3-----,RL,,,
BG,BGGAL,Galabovo,Galabovo,24,--3-----,RL,,4208N 02551E,
BG,BGDA3,Garmen,Garmen,1,--3-----,RL,,4136N 02349E,
BG,BGGTB,General-Toshevo,General-Toshevo,8,--3-----,RL,,4342N 02802E,
BG,BGTOS,General-Toshevo,General-Toshevo,8,--3-----,RL,,4342N 02802E,
BG,BGGOD,Godech,Godech,22,-----6--,RL,,,
BG,BGGOL,Golyamo Chochoveni,Golyamo Chochoveni,,--3-----,RL,,4240N 02609E,
BG,BGGOV,Gorna Oryahovica,Gorna Oryahovica,4,--3-----,AA,,,
BG,BGGOZ,Gorna Oryakhovitsa,Gorna Oryakhovitsa,,---4----,AI,,4308N 02542E,
BG,BGGB4,Gorublyane,Gorublyane,23,-23-----,RL,,4238N 02324E,
BG,BGGDU,Gotse Delchev,Gotse Delchev,,--3-----,RL,,4135N 02344E,
BG,BGRAN,Grancharovo,Grancharovo,19,--3-----,RL,,4343N 02707E,
BG,BGGRU,Gruevo,Gruevo,9,--3-----,RL,,4134N 02525E,
BG,BGGUR,Gurkovo,Gurkovo,24,123-----,RL,,4239N 02547E,
BG,BGGJE,Gyueshevo,Gyueshevo,,#NAME?,RL,,4214N 02229E,
BG,BGHRM,Harmanli,Harmanli,26,--3-----,RL,,4156N 02554E,
BG,BGHKV,Haskovo,Haskovo,,---4----,AI,,,
BG,BGXCR,Hisarya,Hisarya,16,--3-----,RL,,4230N 02442E,
BG,BGIAB,Iablanitsa,Iablanitsa,,--3-----,RL,,4303N 02411E,
BG,BG4IG,Ignatievo,Ignatievo,3,1-3-----,RL,,4315N 02746E,
BG,BGIHT,Ikhtiman,Ikhtiman,23,--3-----,RL,,4226N 02349E,
BG,BGIOV,Iovkovo,Iovkovo,,--3-----,QQ,,,
BG,BGISK,Iskar,Iskar,3,--3-----,RL,,4323N 02729E,
BG,BGISP,Isperih,Isperih,17,-----6--,RL,,4371N 02683E,
BG,BGIPR,Isperikh,Isperikh,,--3-----,RL,,,
BG,BGIVL,Ivailovgrad,Ivailovgrad,,--3-----,RL,,,
BG,BGJAM,Jambol,Jambol,,---4----,AI,,,
BG,BGKAV,Kalipetrovo,Kalipetrovo,19,--3-----,RL,,4405N 02714E,
BG,BGKAL,Kalotina,Kalotina,,--3-----,QQ,,,
BG,BGKAN,Kapitan-Andreevo,Kapitan-Andreevo,,--3-----,RL,,4143N 02619E,
BG,BGKAP,Kapitanovtsi,Kapitanovtsi,5,--3-----,RL,,4402N 02252E,
BG,BGBKR,Karabunar,Karabunar,13,--3-----,RL,,4216N 02410E,
BG,BGKAR,Kardam,Kardam,,-2------,QQ,,,
BG,BGKRM,Kardzali,Kardzali,26,--3-----,RL,,4138N 02522E,
BG,BGKVO,Karlovo,Karlovo,,--3-----,RL,,,
