country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
BI,BIBBZ,Bubanza,Bubanza,BB,--3-----,RL,,0305S 02923E,
BI,BIBJM,Bujumbura,Bujumbura,,---45---,AI,,,
BI,BIBRR,Bururi,Bururi,BR,--3-----,RL,,0357S 02937E,
BI,BICKZ,Cankuzo,Cankuzo,CA,--3-----,RL,,0313S 03033E,
BI,BICBK,Cibitoke,Cibitoke,BM,1-3-----,RL,,0320S 02922E,
BI,BIGID,Gitega,Gitega,,---4----,AI,,,
BI,BIKKB,Karuzi,Karuzi,KR,--3-----,RL,,0306S 03009E,
BI,BIKYZ,Kayanza,Kayanza,KY,--3-----,RL,,0255S 02937E,
BI,BIKRE,Kirundo,Kirundo,,---4----,AI,,,
BI,BIMMB,Makamba,Makamba,MA,--3-----,RL,,0408S 02948E,
BI,BIMUR,Muramvya,Muramvya,MU,--3-----,RL,,0316S 02937E,
BI,BIMYG,Muyinga,Muyinga,MY,--3-----,RL,,0250S 03020E,
BI,BIMWM,Mwaro,Mwaro,MU,--3-----,RL,,0331S 02942E,
BI,BINGZ,Ngozi,Ngozi,NG,--3-----,RL,,0254S 02949E,
BI,BIRUM,Rumonge,Rumonge,RM,--3-----,RL,,0358S 02926E,
BI,BIRUT,Rutana,Rutana,RT,--3-----,RL,,0355S 03000E,
BI,BIRUY,Ruyigi,Ruyigi,RY,--3-----,RL,,0328S 03014E,
