country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
BJ,BJAMV,Abomey-Calavi,Abomey-Calavi,AQ,--3-----,RL,,0627N 00221E,
BJ,BJAGT,Agbanta,Agbanta,,--3-----,RL,,0637N 00227E,
BJ,BJBOH,Bohicon,Bohicon,,-23-----,RL,,0712N 00204E,
BJ,BJCOO,Cotonou,Cotonou,,1--45---,AI,,,
BJ,BJDDJ,Djidja,Djidja,ZO,--3-----,RL,,0720N 00156E,
BJ,BJDJA,Djougou,Djougou,,---4----,AI,,,
BJ,BJGLA,Glazoué,Glazoue,,-23-----,RL,,0758N 00218E,
BJ,BJKDC,Kandi,Kandi,,---4----,AI,,,
BJ,BJLKS,Lokossa,Lokossa,MO,--3-----,RL,,0638N 00143E,
BJ,BJNAE,Natitingou,Natitingou,,---4----,AI,,,
BJ,BJDA3,Ndali,Ndali,BO,--3-----,RL,,0951N 00243E,
BJ,BJOIH,Ouidah,Ouidah,AQ,--3-----,RL,,0622N 00205E,
BJ,BJPKO,Parakou,Parakou,,---4----,AI,,,
BJ,BJPTN,Porto-Novo,Porto-Novo,OU,123-----,RL,,0629N 00237E,
BJ,BJSVF,Savé,Save,,---4----,AI,,0802N 00229E,
BJ,BJSEM,Seme Terminal,Seme Terminal,,1-------,RQ,,,
BJ,BJTAN,Tanguiéta,Tanguieta,,--3-----,RL,,1037N 00116E,
