country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
BO,BOACH,Achacachi,Achacachi,L,--3-----,RL,,1603S 06841W,
BO,BOACL,Achocalla,Achocalla,L,--3-----,RL,,1635S 06810W,
BO,BOAQL,Aiquile,Aiquile,C,-----6--,RL,,1810S 06510W,
BO,BOALC,Alcalá,Alcala,H,--3-----,RL,,1922S 06425W,
BO,BOANC,Ancoraimes,Ancoraimes,L,--3-----,RL,,1554S 06858W,
BO,BOAPB,Apolo,Apolo,L,--34----,AI,,1443S 06825W,
BO,BOARC,Arica,Arica,N,--3-----,RL,,0946S 06553W,
BO,BOASC,Ascensión,Ascension,S,--34----,AI,,1542S 06305W,
BO,BOAUC,Aucapata,Aucapata,L,--3-----,RL,,1522S 06839W,
BO,BOABA,Avaroa,Avaroa,P,-2------,RL,,2120S 06821W,
BO,BOAYT,Ayata,Ayata,L,--3-----,RL,,1521S 06845W,
BO,BOAYO,Ayo Ayo,Ayo Ayo,L,--3-----,AC,,1705S 06800W,
BO,BOAZY,Azurduy,Azurduy,H,--3-----,RL,,2006S 06425W,
BO,BOBAT,Batallas,Batallas,L,--3-----,AC,,1620S 06830W,
BO,BOBVL,Baures,Baures,B,--34----,AI,,1335S 06335W,
BO,BOBEF,Bella Flor,Bella Flor,N,--3-----,RL,,1106S 06738W,
BO,BOBJO,Bermejo,Bermejo,T,--34----,AI,,2239S 06422W,
BO,BOBPB,Bolpebra,Bolpebra,N,--3-----,RL,,1056S 06935W,
BO,BOCJT,Cajuata,Cajuata,L,--3-----,AC,,1649S 06715W,
BO,BOCAO,Calacoto,Calacoto,L,--3-----,RL,,1718S 06839W,
BO,BOCCM,Calacoto,Calacoto,L,--3-----,RL,,1632S 06806W,
BO,BOCCO,Calacoto,Calacoto,L,--3-----,RL,,1717S 06748W,
BO,BOCAL,Calamarca,Calamarca,L,--3-----,AC,,1654S 06806W,
BO,BOCMR,Camargo,Camargo,H,--3-----,RL,,2039S 06513W,
BO,BOCAM,Camiri,Camiri,S,--34----,AI,,2006S 06332W,
BO,BOCNO,Cañada Oruro,Canada Oruro,T,#NAME?,RL,,2140S 06227W,
BO,BOCAQ,Caquiaviri,Caquiaviri,L,--3-----,RL,,1701S 06837W,
BO,BOCRN,Caranavi,Caranavi,L,--3-----,AC,,1549S 06733W,
BO,BOCAI,Carapari,Carapari,T,--3-----,RL,,2140S 06513W,
BO,BOCAR,Carrasco,Carrasco,,--3-----,RL,,1540S 06733W,
BO,BOCTC,Catacora,Catacora,L,--3-----,AC,,1617S 06829W,
BO,BOCHR,Chacarilla,Chacarilla,L,--3-----,AC,,1734S 06813W,
BO,BOCHA,Charaña,Charana,L,--3-----,RL,,1736S 06928W,
BO,BOCHU,Chulumani,Chulumani,L,--3-----,AC,,1624S 06731W,
BO,BOCHM,Chuma,Chuma,L,--3-----,RL,,1529S 06854W,
BO,BOCIJ,Cobija,Cobija,N,--34----,AI,,1102S 06844W,
BO,BOCBB,Cochabamba,Cochabamba,C,--345---,AI,,1723S 06609W,
BO,BOCLL,Collana,Collana,L,--3-----,AC,,1654S 06817W,
BO,BOCOL,Collpani,Collpani,L,--3-----,RL,,1709S 06738W,
BO,BOCLN,Collpani,Collpani,P,--3-----,RL,,2055S 06701W,
BO,BOCLQ,Colquencha,Colquencha,L,--3-----,AC,,1656S 06815W,
BO,BOCME,Comanche,Comanche,L,--3-----,AC,,1657S 06825W,
BO,BOCOM,Combaya,Combaya,L,--3-----,RL,,1547S 06846W,
BO,BOCEP,Concepción,Concepcion,S,--34----,AI,,1608S 06202W,
BO,BOCPB,Copacabana,Copacabana,L,1-3-----,AC,,1609S 06905W,
BO,BOCRP,Coripata,Coripata,L,--3-----,AC,,1618S 06736W,
BO,BOCCR,Coro Coro,Coro Coro,L,--3-----,RL,,1710S 06827W,
BO,BOCOR,Coroico,Coroico,L,--3-----,AC,,1611S 06744W,
BO,BOCUL,Culpina,Culpina,H,--3-----,RL,,2050S 06458W,
BO,BOCUR,Curva,Curva,L,--3-----,AC,,1507S 06903W,
BO,BODES,Desaguadero,Desaguadero,L,--3-----,RL,,1634S 06902W,
BO,BOALT,El Alto,El Alto,L,-23-----,RL,,1630S 06810W,
BO,BOENT,Entre Ríos,Entre Rios,T,--3-----,RL,,2132S 06412W,
BO,BOESC,Escoma,Escoma,L,--3-----,RL,,1540S 06908W,
BO,BOEXA,Exaltación,Exaltacion,B,--3-----,RL,,1316S 06515W,
BO,BOFIL,Filadelfia,Filadelfia,N,--3-----,RL,,1120S 06846W,
BO,BOGUA,Guanay,Guanay,L,--3-----,RL,,1529S 06753W,
BO,BOGUQ,Guaqui,Guaqui,L,1-3-----,AI,,1635S 06852W,
BO,BOGYA,Guayaramerín,Guayaramerin,B,---4----,AI,,1048S 06523W,
BO,BOHIT,Hito Cajones,Hito Cajones,P,--3-----,RL,,2252S 06747W,
BO,BOBVK,Huacaraje,Huacaraje,B,--34----,AI,,1333S 06345W,
BO,BOHUA,Huacaya,Huacaya,H,--3-----,RL,,2045S 06343W,
BO,BOHUR,Huarina,Huarina,L,--3-----,RL,,1612S 06838W,
BO,BOHTJ,Huatajata,Huatajata,L,1-3-----,RL,,1610S 06844W,
BO,BOHMT,Humaitá,Humaita,N,--3-----,RL,,1201S 06813W,
BO,BOHUM,Humanata,Humanata,L,--3-----,RL,,1527S 06908W,
BO,BOICH,Ichoca,Ichoca,L,--3-----,AC,,1712S 06717W,
BO,BOINQ,Inquisivi,Inquisivi,L,--3-----,AC,,1655S 06709W,
BO,BOIRU,Irupana,Irupana,L,--3-----,AC,,1628S 06728W,
BO,BOIXM,Ixiamas,Ixiamas,L,--3-----,AC,,1345S 06809W,
BO,BOJMC,Jesús de Machaca,Jesus de Machaca,L,--3-----,RL,,1645S 06850W,
BO,BOASN,La Asunta,La Asunta,L,-2------,AC,,1602S 06710W,
BO,BOLPB,La Paz,La Paz,L,-2345---,AI,,1630S 06809W,
BO,BOLAJ,Laja,Laja,L,--3-----,AC,,1632S 06823W,
BO,BOLOR,Loreto,Loreto,B,--3-----,RL,,1511S 06446W,
BO,BOLUR,Luribay,Luribay,L,--3-----,RL,,1703S 06740W,
BO,BOMCH,Macharetí,Machareti,H,--3-----,RL,,2049S 06324W,
BO,BOMGD,Magdalena,Magdalena,B,--34----,AI,,1314S 06412W,
BO,BOMLL,Malla,Malla,L,--3-----,RL,,1705S 06729W,
BO,BOMAP,Mapiri,Mapiri,L,--3-----,RL,,1515S 06810W,
BO,BOMEC,Mecapaca,Mecapaca,L,--3-----,RL,,1641S 06802W,
BO,BOMOC,Moco Moco,Moco Moco,L,--3-----,RL,,1658S 06849W,
BO,BOMOJ,Mojocoya,Mojocoya,H,--3-----,RL,,1845S 06437W,
BO,BOMHW,Monteagudo,Monteagudo,H,---4----,RL,,1949S 06358W,
BO,BONES,Nueva Esperanza,Nueva Esperanza,N,--3-----,RL,,1056S 06653W,
BO,BOOBS,Obrajes,Obrajes,L,--3-----,RL,,1632S 06807W,
BO,BOORU,Oruro,Oruro,O,-234----,AI,,1759S 06709W,
BO,BOPDC,Padcaya,Padcaya,T,--3-----,RL,,2153S 06443W,
BO,BOPAD,Padilla,Padilla,H,--3-----,RL,,1918S 06418W,
BO,BOPAL,Palca,Palca,L,--3-----,RL,,1633S 06757W,
BO,BOPPM,Papel Pampa,Papel Pampa,L,--3-----,AC,,1749S 06746W,
BO,BOPAT,Patacamaya,Patacamaya,L,--3-----,AC,,1714S 06755W,
BO,BOPEL,Pelechuco,Pelechuco,L,--3-----,RL,,1448S 06905W,
BO,BOPIS,Pisiga,Pisiga,O,--3-----,RL,,1917S 06838W,
BO,BOPOR,Poroma,Poroma,H,--3-----,RL,,1829S 06530W,
BO,BOPRV,Porvenir,Porvenir,N,--3-----,RL,,1031S 06719W,
BO,BOPOI,Potosí,Potosi,P,--34----,AI,,1935S 06545W,
BO,BOPRE,Presto,Presto,H,--3-----,RL,,1855S 06456W,
BO,BOPUC,Pucarani,Pucarani,L,--3-----,AC,,1624S 06829W,
BO,BOPTA,Puerto Acosta,Puerto Acosta,L,--3-----,RL,,1532S 06915W,
BO,BOPBU,Puerto Busch,Puerto Busch,S,1-3-----,AI,,2002S 05758W,
BO,BOPTC,Puerto Carabuco,Puerto Carabuco,L,1-3-----,RQ,,1545S 06904W,
BO,BOPGM,Puerto Gonzalo Moreno,Puerto Gonzalo Moreno,N,--3-----,RL,,1104S 06611W,
BO,BOPPR,Puerto Pérez,Puerto Perez,L,1-3-----,AC,,1616S 06838W,
BO,BOQJR,Puerto Quijarro,Puerto Quijarro,S,1-3-----,AI,,1747S 05746W,
BO,BOPUR,Puerto Rico,Puerto Rico,N,1-34----,RL,,1105S 06738W,
BO,BOPTS,Puerto Siles,Puerto Siles,B,--3-----,RL,,1248S 06505W,
BO,BOPSZ,Puerto Suárez,Puerto Suarez,S,1--4----,AI,,1857S 05748W,
BO,BOQBA,Quiabaya,Quiabaya,L,--3-----,RL,,1537S 06846W,
BO,BOQUO,Quillacollo,Quillacollo,C,--3-----,RL,,1724S 06617W,
BO,BOQME,Quime,Quime,L,--3-----,AC,,1702S 06715W,
BO,BOREY,Reyes,Reyes,B,--34----,AI,,1419S 06723W,
BO,BORIB,Riberalta,Riberalta,B,1-34----,AI,,1059S 06606W,
BO,BORBO,Roboré,Robore,S,--34----,AI,,1820S 05945W,
BO,BORBQ,Rurrenabaque,Rurrenabaque,B,1-34----,AI,,1428S 06734W,
BO,BOSAM,San Andrés de Machaca,San Andres de Machaca,L,--3-----,RL,,1657S 06858W,
BO,BOSRJ,San Borja,San Borja,B,--34----,AI,,1449S 06651W,
BO,BOSBV,San Buenaventura,San Buenaventura,L,--3-----,AC,,1428S 06735W,
BO,BOSNM,San Ignacio de Moxo,San Ignacio de Moxo,B,---4----,AI,,1500S 06539W,
BO,BOSNG,San Ignacio de Velasco,San Ignacio de Velasco,S,--34----,AI,,1622S 06057W,
BO,BOSJV,San Javier,San Javier,S,--34----,AI,,1620S 06238W,
BO,BOSJB,San Joaquín,San Joaquin,B,--34----,AI,,1304S 06449W,
BO,BOSJS,San José,San Jose,S,--34----,AI,,1751S 06045W,
BO,BOSLR,San Lorenzo,San Lorenzo,N,--3-----,RL,,1153S 06651W,
BO,BOSLO,San Lorenzo,San Lorenzo,T,--3-----,RL,,2126S 06447W,
BO,BOSLC,San Lucas,San Lucas,H,--3-----,RL,,2006S 06507W,
BO,BOMQK,San Matias,San Matias,B,---4----,RL,,1141S 06639W,
BO,BOSPH,San Pablo de Huacareta,San Pablo de Huacareta,H,--3-----,RL,,2018S 06401W,
BO,BOSPD,San Pedro,San Pedro,N,--3-----,RL,,1111S 06614W,
BO,BOSCH,San Pedro de Curahuara,San Pedro de Curahuara,L,--3-----,AC,,1739S 06803W,
BO,BOSRD,San Ramón,San Ramon,B,--34----,AI,,1317S 06443W,
BO,BOSBL,Santa Ana,Santa Ana,B,--34----,AI,,1345S 06526W,
BO,BOSRZ,Santa Cruz,Santa Cruz,L,-2345---,AI,,1747S 06311W,
BO,BOSCS,Santa Cruz de la Sierra,Santa Cruz de la Sierra,S,--3-----,RL,,1748N 06311W,
BO,BOSRB,Santa Rosa,Santa Rosa,,---4----,AI,,,
BO,BOSRA,Santa Rosa del Abuná,Santa Rosa del Abuna,N,--3-----,RL,,1036S 06725W,
BO,BOSDH,Santiago de Huari,Santiago de Huari,O,--3-----,RL,,1900S 06646W,
BO,BOSTH,Santiago de Huata,Santiago de Huata,L,--3-----,RL,,1606S 06853W,
BO,BOSMC,Santiago de Machaca,Santiago de Machaca,L,--3-----,AC,,1705S 06916W,
BO,BOSAN,Santiváñez,Santivanez,,--3-----,RL,,1733S 06615W,
BO,BOSME,Santos Mercado,Santos Mercado,N,--3-----,RL,,0957S 06637W,
BO,BOSAP,Sapahaqui,Sapahaqui,L,--3-----,RL,,1654S 06755W,
BO,BOSIC,Sica Sica,Sica Sica,L,--3-----,AC,,1720S 06744W,
