country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
BR,BRADG,Abadia de Goiás,Abadia de Goias,GO,--3-----,AA,,1645S 04926W,
BR,BRADU,Abadia dos Dourados,Abadia dos Dourados,MG,--3-----,AA,,1829S 04723W,
BR,BRAII,Abadiânia,Abadiania,GO,--3-----,AA,,1610S 04843W,
BR,BRABT,Abaeté,Abaete,MG,--3-----,AA,,1909S 04526W,@Fun@Sta@Coo
BR,BRATB,Abaetetuba,Abaetetuba,PA,--3-----,AA,,0143S 04853W,@Fun@Sta@Coo
BR,BRAAY,Abaiara,Abaiara,CE,--3-----,AA,,0721S 03902W,
BR,BRAYR,Abaíra,Abaira,BA,--3-----,AA,,1315S 04139W,
BR,BRABR,Abaré,Abare,BA,--3-----,AA,,0843S 03906W,@Fun@Sta@Coo
BR,BRAYA,Abatiá,Abatia,PR,--3-----,AA,,2318S 05018W,
BR,BRABB,Abdon Batista,Abdon Batista,SC,--3-----,AA,,2736S 05101W,
BR,BRAFD,Abel Figueiredo,Abel Figueiredo,PA,--3-----,AA,,0457S 04823W,
BR,BRADL,Abelardo Luz,Abelardo Luz,SC,--3-----,AA,,2633S 05220W,@Fun@Sta@Coo
BR,BRACM,Abre Campo,Abre Campo,MG,--3-----,AA,,2018S 04228W,
BR,BRALM,Abreu e Lima,Abreu e Lima,PE,--3-----,AA,,0754S 03453W,@Sta@Coo
BR,BRABD,Abreulândia,Abreulandia,TO,--3-----,AA,,0937S 04909W,
BR,BRAKK,Acaiaca,Acaiaca,MG,--3-----,AA,,2021S 04308W,
BR,BRACL,Açailândia,Acailandia,MA,-23-----,AA,,0457S 04730W,@Fun@Sta@Coo
BR,BRAJB,Acajutiba,Acajutiba,BA,--3-----,AA,,1139S 03801W,
BR,BRAAR,Acará,Acara,PA,1-3-----,AA,,0157S 04812W,
BR,BRACE,Acarape,Acarape,CE,--3-----,AA,,0413S 03842W,
BR,BRACA,Acaraú,Acarau,CE,--3-----,AA,,0253S 04007W,@Sta@Sub@Coo
BR,BRACR,Acari,Acari,RN,--3-----,AA,,0626S 03638W,@Sta
BR,BRAKA,Acauã,Acaua,PI,--3-----,AA,,0813S 04105W,
BR,BRAEU,Aceguá,Acegua,RS,--3--6--,AA,,3151S 05409W,
BR,BRAOA,Acopiara,Acopiara,CE,--3-----,AA,,0605S 03927W,
BR,BRAZL,Acorizal,Acorizal,MT,--3-----,AA,,1511S 05622W,
BR,BRALI,Acrelândia,Acrelandia,AC,--3-----,AA,,1004S 06703W,
BR,BRACN,Acreúna,Acreuna,GO,--3-----,AA,,1723S 05022W,@Sta@Coo
BR,BRACU,Açu,Acu,RN,--34----,AA,,0534S 03655W,@Fun@Sta@Sub@Coo
BR,BRACX,Açu Pt / São João da Barra,Acu Pt / Sao Joao da Barra,RJ,1-------,AA,,2149S 04101W,CF BR SDBCf BR SDB@Fun@Coo
BR,BRAUC,Açucena,Acucena,MG,--3-----,AA,,1904S 04232W,@Fun@Sta
BR,BRAMT,Adamantina,Adamantina,SP,--34----,AA,,2141S 05104W,@Fun@Sta
BR,BRDLN,Adelândia,Adelandia,GO,--3-----,AA,,1624S 05009W,
BR,BRADF,Adolfo,Adolfo,SP,--3-----,AA,,2113S 04938W,
BR,BRAPZ,Adrianópolis,Adrianopolis,PR,--3-----,AA,,2439S 04859W,
