country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
BS,BSASD,"Andros Town, Andros Island","Andros Town, Andros Island",,1--4----,AI,,,
BS,BSATC,"Arthur's Town, Cat Island","Arthur's Town, Cat Island",CI,--34----,AI,,2438N 07542W,
BS,BSBIM,Bimini,Bimini,,---4----,AI,,,
BS,BSBKC,Bock Cay,Bock Cay,EX,1-------,RL,,2349N 07610W,
BS,BSCEL,Cape Eleuthera,Cape Eleuthera,SE,1--4----,AI,,2449N 07621W,
BS,BSCXY,Cat Cays,Cat Cays,,---4----,AI,,,
BS,BSCAT,Cat Island,Cat Island,,---4----,AI,,,
BS,BSCCZ,"Chub Cay, Berry Islands","Chub Cay, Berry Islands",,1--4----,AI,,,
BS,BSCLP,Clifton Point,Clifton Point,,1-------,RQ,,,
BS,BSCBT,Cockburn Town,Cockburn Town,SS,1-------,RQ,,2402N 07431W,
BS,BSCOX,Congo Town,Congo Town,SA,1--4----,AI,,2409N 07732W,
BS,BSCRI,Crooked Island,Crooked Island,,1--4----,AI,,,
BS,BSLGI,Deadmans Cay,Deadmans Cay,LI,---4----,AI,,2310N 07505W,Long Island
BS,BSDCT,Duncan Town,Duncan Town,,---4----,AI,,,
BS,BSELE,Eleuthera Island,Eleuthera Island,,1-------,RQ,,,
BS,BSFPO,"Freeport, Grand Bahama","Freeport, Grand Bahama",,1--4----,AI,,,
BS,BSGGT,"George Town, Great Exuma Island","George Town, Great Exuma Island",,1--4----,AI,,,
BS,BSGOC,Gorda Cay,Gorda Cay,,1-------,RL,,2605N 07732W,
BS,BSGHB,"Governors Harbour, Eleuthera","Governors Harbour, Eleuthera",,1--4----,AI,,,
BS,BSGBI,Grand Bahama,Grand Bahama,,---4----,AI,,,
BS,BSEXU,Great Exuma Island,Great Exuma Island,EX,1-------,RL,,2332N 07550W,
BS,BSGHC,Great Harbour Cay,Great Harbour Cay,BY,1--4----,AI,,2545N 07750W,
BS,BSGSC,Great Stirrup Cay,Great Stirrup Cay,BY,1-------,RQ,,2550N 07754W,
BS,BSGTC,Green Turtle Cay,Green Turtle Cay,HT,1--4----,AI,,2645N 07720W,
BS,BSHBI,Harbour Island,Harbour Island,HI,1--4----,AI,,2530N 07638W,
BS,BSIGA,Inagua,Inagua,,1--4----,AI,,,
BS,BSHMC,Little San Salvador,Little San Salvador,,1-------,RL,,2435N 07555W,
BS,BSCOC,Little Stirrup Cay,Little Stirrup Cay,BY,1-------,RQ,,2549N 07756W,
BS,BSLUC,Lucaya,Lucaya,FP,1-------,RQ,,2631N 07838W,
BS,BSLYC,Lyford Cay,Lyford Cay,,--3-----,RL,,2502N 07734W,
BS,BSMAY,Mangrove Cay Apt,Mangrove Cay Apt,,--34----,RL,,2417N 07740W,
BS,BSMHH,Marsh Harbour,Marsh Harbour,CO,1--4----,AI,,2632N 07658W,
BS,BSMSK,Mastic Point Apt,Mastic Point Apt,,--34----,RL,,2501N 07800W,
BS,BSMAT,Matthew Town,Matthew Town,,1-------,RQ,,,
BS,BSMYG,Mayaguana Island,Mayaguana Island,,1--4----,AI,,,
BS,BSNAS,Nassau,Nassau,,1--45---,AI,,2505N 07721W,
BS,BSNET,New Bight,New Bight,CI,--34----,AI,,2418N 07525W,
BS,BSNMC,Norman's Cay,Norman's Cay,,---4----,AI,,,
BS,BSELH,North Eleuthera,North Eleuthera,,---4----,AI,,,
BS,BSOCE,Ocean Cay,Ocean Cay,,1-------,RQ,,,
BS,BSPID,Paradise Island,Paradise Island,,---4----,AI,,,
BS,BSPWN,Pitts Town,Pitts Town,,---4----,AI,,,
BS,BSPPO,Powell Point,Powell Point,,---4----,AI,,,
BS,BSRSD,Rock Sound,Rock Sound,SE,1--4----,AI,,2454N 07612W,
BS,BSRCY,Rum Cay,Rum Cay,,---4----,AI,,,
BS,BSSAQ,San Andros,San Andros,NS,1--4----,AI,,2504N 07803W,
BS,BSZSA,San Salvador Island,San Salvador Island,,1--4----,AI,,,
BS,BSWZY,Seaplane Base,Seaplane Base,,---4----,AI,,,
BS,BSTZN,South Andros,South Andros,,---4----,AI,,,
BS,BSSRP,South Riding Point,South Riding Point,,1-------,RQ,,,
BS,BSSWL,Spanish Wells,Spanish Wells,HI,---4----,RL,,2533N 07645W,
BS,BSAXP,Spring Point,Spring Point,,---4----,AI,,,
BS,BSTYM,Staniel Cay,Staniel Cay,,---4----,AI,,,
BS,BSSML,Stella Maris,Stella Maris,LI,1--4----,AI,,2336N 07518W,
BS,BSTBI,The Bight,The Bight,CI,1--4----,AI,,2419N 07524W,
BS,BSTCB,"Treasure Cay, Great Abaco Island","Treasure Cay, Great Abaco Island",,1--4----,AI,,,
BS,BSWKR,Walker's Cay,Walker's Cay,,1--4----,AI,,,
BS,BSWTD,West End,West End,FP,1--4----,AI,,2641N 07858W,
