country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
BW,BWDUK,Dukwi,Dukwi,CE,1----6--,RL,,2035S 02632E,
BW,BWFRW,Francistown,Francistown,NE,-234-6--,AI,,2110S 02731E,
BW,BWGAB,Gaberones Camp,Gaberones Camp,,-----6--,RL,,2440S 02555E,
BW,BWGBE,Gaborone,Gaborone,,--3456--,AI,,2440S 02555E,
BW,BWGNZ,Ghanzi,Ghanzi,,--34----,RL,,,
BW,BWHUK,Hukuntsi,Hukuntsi,,---4----,AI,,,
BW,BWJWA,Jwaneng,Jwaneng,,---4----,AI,,,
BW,BWBBK,Kasane,Kasane,,---4----,AI,,,
BW,BWKHW,Khwai River Lodge,Khwai River Lodge,,---4----,AI,,,
BW,BWLET,Letlhakane,Letlhakane,,--3-----,RL,,2125S 02535E,
BW,BWLOQ,Lobatse,Lobatse,,---4----,AI,,,
BW,BWMAH,Mahalapye,Mahalapye,,123-----,RL,,2306S 02650E,
BW,BWMUB,Maun,Maun,,---4----,AI,,,
BW,BWMGS,Mogoditshane,Mogoditshane,KW,--3-----,RL,,2437S 02551E,
BW,BWORP,Orapa,Orapa,,---4----,AI,,,
BW,BWPAL,Palapye,Palapye,,-23-----,RL,,2234S 02708E,
BW,BWRSA,Ramotswa,Ramotswa,,-23-----,RL,,2452S 02549E,
BW,BWSVT,Savuti,Savuti,,---4----,AI,,,
BW,BWPKW,Selebi-Phikwe,Selebi-Phikwe,,---4----,AI,,,
BW,BWSER,Serowe,Serowe,,--3-----,RL,,2223S 02642E,
BW,BWSWX,Shakawe,Shakawe,,---4----,AI,,,
BW,BWSXN,Suapan,Suapan,,---4----,AI,,,
BW,BWSUN,Sunnyside,Sunnyside,,0-------,RL,,,
BW,BWTBY,Tsabong,Tsabong,,---4----,AI,,,
BW,BWTLD,Tuli Lodge,Tuli Lodge,,---4----,AI,,,
