country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
BY,BYASH,Ashmyany,Ashmyany,HR,--3-----,AM,,5425N 02555E,
BY,BYBNV,Baranovichi,Baranovichi,HR,--3-----,RL,,5340N 02343E,
BY,BYBAR,Barysaw,Barysaw,MI,-23-----,RL,,5413N 02829E,
BY,BYBER,Berëza,Bereza,BR,--3-----,RL,,5218N 02422E,
BY,BYBZA,Berëzovka,Berezovka,,--3-----,RL,,5346N 02531E,
BY,BYBOB,Bobruysk,Bobruysk,,--3-----,RL,,5309N 02914E,
BY,BYBMO,Bol'shiye Motykaly,Bol'shiye Motykaly,BR,-23-----,RL,,5212N 02335E,
BY,BYMBV,Borisov,Borisov,,-----6--,RL,,5413N 02831E,
BY,BYBOR,Borovlyany,Borovlyany,MI,--3-----,RL,,5518N 03006E,
BY,BYBQT,Brest,Brest,,-23-----,AI,,,
BY,BYCHK,Chashniki,Chashniki,VI,--3-----,AM,,5451N 02909E,
BY,BYCHV,Chavusi,Chavusi,MA,--3-----,RL,,5348N 03059E,
BY,BYDEM,Demidov,Demidov,HO,--3-----,RL,,5139N 02916E,
BY,BYDRS,Dobrush,Dobrush,HO,--3-----,RL,,5224N 03119E,
BY,BYDRH,Drahichyn,Drahichyn,BR,--3-----,RL,,5211N 02509E,
BY,BYDZK,Dzerzhinsk,Dzerzhinsk,,--3-----,RL,,,
BY,BYFAN,Fanipol,Fanipol,MI,--3-----,RQ,,5341N 02712E,
BY,BYGAT,Gatovo,Gatovo,,-23-----,RL,,5347N 02737E,
BY,BYGME,Gomel,Gomel,,---4----,AI,,,
BY,BYGRK,Gorodok,Gorodok,VI,-23-----,RL,,5527N 02959E,
BY,BYGNA,Grodna,Grodna,,---4----,AI,,,
BY,BYGDO,Grodno,Grodno,HR,-23-----,RL,,5340N 02350E,
BY,BYKHO,Khoyniki,Khoyniki,,-23-----,RL,,5153N 02958E,
BY,BYKLK,Kletsk,Kletsk,,1-3-----,RL,,5303N 02637E,
