country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
BZ,BZBAR,Barranco,Barranco,,1-------,RL,,1600N 08855W,
BZ,BZBZE,Belize City,Belize City,,1--45---,AI,,,
BZ,BZTZA,Belize City Municipal Airport,Belize City Municipal Airport,BZ,---4----,RL,,1732N 08818W,
BZ,BZBMP,Belmopan,Belmopan,,--3-----,RL,,1716N 08847W,
BZ,BZBVJ,Benque Viejo,Benque Viejo,CZL,-----6--,RL,,1816N 08827W,
BZ,BZBVC,Benque Viejo del Carmen,Benque Viejo del Carmen,CY,--3-----,RL,,1704N 08908W,
BZ,BZBGK,Big Creek,Big Creek,SC,1-34----,RL,,1631N 08824W,
BZ,BZCUK,Caye Caulker,Caye Caulker,BZ,---4----,RL,,1745N 08803W,
BZ,BZCYC,Caye Chapel,Caye Chapel,BZ,---4----,RL,,1742N 08802W,
BZ,BZCOL,Colinto,Colinto,,1-------,QQ,,,
BZ,BZCZH,Corozal,Corozal,,---4----,AI,,,
BZ,BZCRR,Crooked Tree,Crooked Tree,BZ,--3-----,RL,,1746N 08832W,
BZ,BZDGA,Dangriga,Dangriga,,1-3-----,RL,,1658N 08813W,
BZ,BZINB,Independence Apt,Independence Apt,TOL,--34----,RL,,1732N 08818W,
BZ,BZMZE,Manatee Apt,Manatee Apt,,--34----,RL,,1704N 08935W,
BZ,BZMDB,Melinda,Melinda,,---4----,AI,,,
BZ,BZORZ,Orange Walk,Orange Walk,,---4----,AI,,,
BZ,BZPLJ,Placencia,Placencia,SC,---4----,RL,,1631N 08822W,
BZ,BZPND,Punta Gorda,Punta Gorda,,---4----,AI,,,
BZ,BZSQS,San Ignacio,San Ignacio,CY,---4----,RL,,1709N 08904W,
BZ,BZSPR,San Pedro,San Pedro,,---4----,AI,,,
BZ,BZSTU,Santa Cruz,Santa Cruz,CZL,---4----,RL,,1816N 08827W,
BZ,BZ4SA,Santa Elena,Santa Elena,CY,--3-----,RL,,1709N 08903W,
BZ,BZSJX,Sartaneja,Sartaneja,CZL,---4----,RL,,1821N 08807W,
BZ,BZSVK,Silver Creek,Silver Creek,,---4----,AI,,,
