country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
CD,CDANG,Ango,Ango,,--3-----,RL,,0401N 02552E,
CD,CDARU,Aru,Aru,OR,--3-----,RL,,0252N 03050E,
CD,CDBNW,Banana,Banana,,1-3-----,RL,,0601N 01224E,
CD,CDFDU,Bandundu,Bandundu,,---4----,AI,,,
CD,CDBSU,Basankusu,Basankusu,,---4----,AI,,,
CD,CDBAN,Basongo,Basongo,,---4----,AI,,,
CD,CDBNC,Beni,Beni,,---4----,AI,,,
CD,CDBNB,Boende,Boende,,---4----,AI,,,
CD,CDBOA,Boma,Boma,,1--4----,AI,,,
CD,CDBKY,Bukavu,Bukavu,,---4----,AI,,,
CD,CDBMB,Bumba,Bumba,,---4----,AI,,,
CD,CDBUX,Bunia,Bunia,,---4----,AI,,,
CD,CDBZU,Buta,Buta,,---4----,AI,,,
CD,CDBUT,Butembo,Butembo,NK,--3-----,RL,,0009N 02917E,
CD,CDDIC,Dili,Dili,,---4----,AI,,,
CD,CDGDJ,Gandajika,Gandajika,,---4----,AI,,,
CD,CDBDT,Gbadolite,Gbadolite,,---4----,AI,,,
CD,CDGMA,Gemena,Gemena,,---4----,AI,,,
CD,CDGOM,Goma,Goma,,---4----,AI,,,
CD,CDIDF,Idiofa,Idiofa,,---4----,AI,,,
CD,CDIKL,Ikela,Ikela,,---4----,AI,,,
CD,CDPFR,Ilebo,Ilebo,,---4----,AI,,,
CD,CDINO,Inongo,Inongo,,---4----,AI,,,
CD,CDIRP,Isiro,Isiro,,---4----,AI,,,
CD,CDKBO,Kabalo,Kabalo,,---4----,AI,,,
CD,CDKBN,Kabinda,Kabinda,,---4----,AI,,,
CD,CDFMI,Kalemie,Kalemie,,---4----,AI,,,
CD,CDKLY,Kalima,Kalima,,---4----,AI,,,
CD,CDKMN,Kamina,Kamina,,---4----,AI,,,
CD,CDKGA,Kananga,Kananga,,---4----,AI,,,
CD,CDKNM,Kaniama,Kaniama,,---4----,AI,,,
CD,CDKAP,Kapanga,Kapanga,,---4----,AI,,,
CD,CDKEC,Kasenga,Kasenga,,---4----,AI,,,
CD,CDKSI,Kasindi,Kasindi,NK,--3-----,RL,,0030N 02941E,
CD,CDKGN,Kasongo-Lunda,Kasongo-Lunda,,---4----,AI,,0628S 01649E,
CD,CDKAS,Kasumbalesa,Kasumbalesa,KA,----5---,RL,,1211S 02747E,
CD,CDKKW,Kikwit,Kikwit,,---4----,AI,,,
CD,CDKIL,Kilwa,Kilwa,,---4----,AI,,,
CD,CDKND,Kindu,Kindu,,---4----,AI,,,
CD,CDFIH,Kinshasa,Kinshasa,,1--45---,AI,,,
CD,CDKPU,Kipushi,Kipushi,,-23-----,RL,,1145S 02714E,
CD,CDKRZ,Kiri,Kiri,,---4----,AI,,,
CD,CDFKI,Kisangani,Kisangani,,---4----,AI,,,
CD,CDKWZ,Kolwezi,Kolwezi,,---4----,AI,,,
CD,CDKOO,Kongolo,Kongolo,,---4----,AI,,,
CD,CDKLI,Kota Koli,Kota Koli,,---4----,AI,,,
CD,CDLIE,Libenge,Libenge,,---4----,AI,,,
CD,CDLKS,Likasi,Likasi,KA,-23-----,RL,,1059S 02644E,
CD,CDLIQ,Lisala,Lisala,,---4----,AI,,,
CD,CDLJA,Lodja,Lodja,,---4----,AI,,,
CD,CDFBM,Lubumbashi,Lubumbashi,,-2-45---,AI,,,
CD,CDLZA,Luiza,Luiza,,---4----,AI,,,
CD,CDLZI,Luozi,Luozi,,---4----,AI,,,
CD,CDLBO,Lusambo,Lusambo,,---4----,AI,,,
CD,CDLUS,Lusanga,Lusanga,,---4----,AI,,,
CD,CDMGH,Mahagi,Mahagi,OR,--3-----,RL,,0218N 03059E,
CD,CDMKL,Makala,Makala,,123-----,RL,,0249N 02443E,
CD,CDMNO,Manono,Manono,,---4----,AI,,,
CD,CDMSM,Masi-Manimba,Masi-Manimba,,---4----,AI,,0446S 01755E,
CD,CDMAT,Matadi,Matadi,,1--4----,AI,,,
CD,CDMDK,Mbandaka,Mbandaka,,---4----,AI,,,
CD,CDMJM,Mbuji-Mayi,Mbuji-Mayi,,---4----,AI,,0609S 02336E,
CD,CDMNB,Moanda,Moanda,,---4----,AI,,,
CD,CDBDV,Moba,Moba,,---4----,AI,,,
CD,CDMHB,Moho Bilondo,Moho Bilondo,,1----6--,RQ,,0555S 01015E,
CD,CDMWG,Mwadingusha,Mwadingusha,KA,--34----,RL,,1045S 02714E,
CD,CDMEW,Mweka,Mweka,,---4----,AI,,,
CD,CDNLO,N'dolo,N'dolo,,---4----,AI,,,
CD,CDNIO,Nioki,Nioki,,---4----,AI,,,
CD,CDNKL,Nkolo,Nkolo,,---4----,AI,,,
CD,CDNYN,Nyunzu,Nyunzu,TA,--3-----,AM,,0557S 02801E,
CD,CDRR3,Patra,Patra,BC,--3-----,RL,,0443S 01157E,
CD,CDPUN,Punia,Punia,,---4----,AI,,,
CD,CDPWO,Pweto,Pweto,,---4----,AI,,,
CD,CDSKA,Sakania,Sakania,KA,-23-----,RL,,1245S 02833E,
CD,CDTNK,Tenke,Tenke,KA,--3-----,RL,,1122S 02642E,
CD,CDTSH,Tshikapa,Tshikapa,,---4----,AI,,,
CD,CDUVI,Uvira,Uvira,,----5---,AI,,,
CD,CDWAL,Walikale,Walikale,NK,--3-----,AM,,0124S 02803E,
CD,CDWAT,Watsa,Watsa,OR,--3-----,RL,,0303N 02932E,
CD,CDYAN,Yangambi,Yangambi,,---4----,AI,,,
CD,CDZGQ,Zongo,Zongo,EQ,-----6--,RQ,,0421N 01836E,
