country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
CF,CFALI,Alindao,Alindao,,----5---,AI,,,
CF,CFBAB,Baboua,Baboua,,----5---,AI,,,
CF,CFBMF,Bakouma,Bakouma,,---4----,AI,,,
CF,CFBBY,Bambari,Bambari,,---45---,AI,,,
CF,CFBGU,Bangassou,Bangassou,,---4----,AI,,,
CF,CFBGF,Bangui,Bangui,,---45---,AI,,,
CF,CFBAO,Baoro,Baoro,,----5---,AI,,,
CF,CFBTG,Batangafo,Batangafo,,---45---,AI,,,
CF,CFBBT,Berbérati,Berberati,,---4----,AI,,0416N 01547E,
CF,CFIRO,Birao,Birao,,---45---,AI,,,
CF,CFBOC,Bocaranga,Bocaranga,,----5---,RL,,0658N 01538E,
CF,CFBOD,Boda,Boda,,----5---,AI,,,
CF,CFBOG,Bogoto,Bogoto,,--3-----,RL,,0457N 01703E,
CF,CFBSN,Bossangoa,Bossangoa,,--345---,AI,,,
CF,CFBEM,Bossembélé,Bossembele,,---45---,AI,,0516N 01739E,
CF,CFBOP,Bouar,Bouar,,---45---,AI,,,
CF,CFBCF,Bouca,Bouca,,---4----,AI,,,
CF,CFBOZ,Bozoum,Bozoum,,---45---,AI,,,
CF,CFBIV,Bria,Bria,,---45---,AI,,,
CF,CFCRF,Carnot,Carnot,,---45---,AI,,,
CF,CFDEK,Dekoa,Dekoa,,----5---,AI,,,
CF,CFGDI,Gordil,Gordil,,---4----,AI,,,
CF,CFGDA,Gounda,Gounda,,---4----,AI,,,
CF,CFGRI,Grimari,Grimari,,----5---,AI,,,
CF,CFKAB,Kaga Bandoro,Kaga Bandoro,,----5---,AI,,,
CF,CFKWD,Kawadjia,Kawadjia,,---4----,AI,,,
CF,CFKEM,Kembé,Kembe,,----5---,AI,,,
CF,CFKOL,Koumala,Koumala,,---4----,AI,,,
CF,CFMKI,Mboki,Mboki,HM,--345---,AI,,0519N 02558E,
CF,CFMOB,Mobaye,Mobaye,,----5---,AI,,,
CF,CFMON,Mongoumba,Mongoumba,,----5---,AI,,,
CF,CFNDL,Ndélé,Ndele,,---45---,AI,,,
CF,CFNOL,Nola,Nola,,----5---,AI,,,
CF,CFOBO,Obo,Obo,,----5---,AI,,,
CF,CFODA,Ouadda,Ouadda,,---4----,AI,,,
CF,CFODJ,Ouanda Djallé,Ouanda Djalle,,---4----,AI,,0854N 02248E,
CF,CFPAO,Paoua,Paoua,,----5---,AI,,,
CF,CFRFA,Rafai,Rafai,,---4----,AI,,,
CF,CFSIB,Sibut,Sibut,,----5---,AI,,,
CF,CFTOG,Togo,Togo,,1234----,RL,,0530N 02143E,
CF,CFAIG,Yalinga,Yalinga,,---4----,AI,,,
CF,CFIMO,Zemio,Zemio,,---4----,AI,,,
