country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
CG,CGAZR,Azurite,Azurite,,------7-,RQ,,0538S 01059E,
CG,CGBTB,Betou,Betou,,---4----,AI,,,
CG,CGBOE,Boundji,Boundji,,---4----,AI,,,
CG,CGBZV,Brazzaville,Brazzaville,,---45---,AI,,,
CG,CGDJM,Djambala,Djambala,,---4----,AI,,,
CG,CGDJE,Djeno Terminal,Djeno Terminal,,1-------,RQ,,,
CG,CGDOL,Dolisie,Dolisie,9,-----6--,RQ,,0411S 01240E,
CG,CGEPN,Epéna,Epena,,---4----,AI,,0121N 01727E,
CG,CGEWO,Ewo,Ewo,,---4----,AI,,,
CG,CGGMM,Gamboma,Gamboma,,---4----,AI,,,
CG,CGION,Impfondo,Impfondo,,---4----,AI,,,
CG,CGKEE,Kéllé,Kelle,,---4----,AI,,0004S 01430E,
CG,CGKNJ,Kindamba,Kindamba,,---4----,AI,,,
CG,CGLCO,Lague,Lague,,---4----,AI,,,
CG,CGLKC,Lekana,Lekana,,---4----,AI,,,
CG,CGDIS,Loubomo,Loubomo,,---4----,AI,,,
CG,CGKMK,Makabana,Makabana,,-2-4----,AI,,,
CG,CGMKJ,Makoua,Makoua,,---4----,AI,,,
CG,CGMBI,Mbinda,Mbinda,,-23-----,RL,,0206S 01252E,
CG,CGMOS,Mossaka,Mossaka,,1-3-----,RL,,0113S 01648E,
CG,CGMSX,Mossendjo,Mossendjo,,---4----,AI,,,
CG,CGMUY,Mouyondzi,Mouyondzi,,---4----,AI,,,
CG,CGNKY,Nkayi,Nkayi,,---4----,AI,,,
CG,CGNKO,N'Kossa Terminal,N'Kossa Terminal,,1-------,RQ,,0514S 01136E,Country: CG
CG,CGOKG,Okoyo,Okoyo,,---4----,AI,,,
CG,CGOUE,Ouesso,Ouesso,,1--4----,AI,,,
CG,CGFTX,Owando Apt,Owando Apt,,--34----,RQ,,0058S 01600E,
CG,CGOYO,Oyo,Oyo,,1-3-----,RL,,0100N 01554E,
CG,CGPNR,Pointe Noire,Pointe Noire,16,1--45---,AI,,0448S 01151E,
CG,CGSIB,Sibiti,Sibiti,2,---4----,RL,,0341S 01320E,
CG,CGSOE,Souanké,Souanke,,---4----,AI,,0205N 01408E,
CG,CGYOM,Yombo,Yombo,9,1-------,RL,,0256S 01242E,
CG,CGANJ,Zanaga,Zanaga,,---4----,AI,,,
