country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
CH,CHARF,Aadorf,Aadorf,TG,--3-----,RL,,4729N 00854E,
CH,CHAAR,Aarau,Aarau,AG,--3-----,RQ,ZDA,,
CH,CHABG,Aarberg,Aarberg,BE,--3-----,RL,,4703N 00717E,
CH,CHAAB,Aarburg,Aarburg,AG,--3-----,RL,,4718N 00753E,
CH,CHAWG,Aarwangen,Aarwangen,BE,--3-----,RL,,4714N 00745E,
CH,CHABT,Abtwil,Abtwil,SG,--3-----,RL,,4725N 00919E,
CH,CHACL,Aclens,Aclens,VD,--3-----,RL,,4634N 00631E,
CH,CHACQ,Acquarossa,Acquarossa,TI,--3-----,RL,,4627N 00857E,
CH,CHADL,Adelboden,Adelboden,BE,--3-----,RL,ZDB,4629N 00734E,
CH,CHADI,Adligenswil,Adligenswil,LU,--3-----,RL,,4704N 00822E,
CH,CHADW,Adliswil,Adliswil,ZH,-23-----,RL,,4719N 00831E,
CH,CHAES,Aesch,Aesch,BL,--3-----,RL,,4728N 00736E,
CH,CHABL,Aesch,Aesch,LU,-23-----,RL,,4716N 00815E,
CH,CHAEH,Aesch bei Birmensdorf,Aesch bei Birmensdorf,ZH,--3-----,RL,,4720N 00826E,
CH,CHXRE,Aeugst am Albis,Aeugst am Albis,ZH,1-3-----,RL,,4716N 00829E,
CH,CHAFF,Affeltrangen,Affeltrangen,TG,-23-----,RL,,4731N 00902E,
CH,CHAFT,Affoltern am Albis,Affoltern am Albis,ZH,--3-----,RL,,4717N 00826E,
CH,CHAIE,Affoltern im Emmental,Affoltern im Emmental,BE,-23-----,RL,,4704N 00744E,
CH,CHAGO,Agno,Agno,TI,--3-----,RQ,,4559N 00851E,
CH,CHAIG,Aigle,Aigle,VD,--3-----,RL,ZDC,4619N 00658E,
CH,CHAIR,Airolo,Airolo,TI,-23-----,RL,,4632N 00836E,
CH,CHALZ,Alberswil,Alberswil,LU,-----6--,RL,,4709N 00800E,
CH,CHAFH,Alchenflueh,Alchenflueh,BE,--3-----,RQ,,4704N 00734E,
CH,CHALL,Allaman,Allaman,VD,--3-----,RL,,4628N 00624E,
CH,CHALE,Alle,Alle,JU,--3--6--,RL,,4726N 00708E,
CH,CHASW,Allschwil,Allschwil,BL,--3-----,RL,,4732N 00732E,
CH,CHAPD,Alpnach Dorf,Alpnach Dorf,OW,--3-----,RL,,4656N 00816E,
CH,CHATH,Alpthal,Alpthal,SZ,-----6--,RL,,4704N 00842E,
CH,CHARB,Altdorf,Altdorf,,--3-----,RQ,,,SH? UR?
CH,CHALT,Altendorf,Altendorf,SZ,--3-----,RL,,4711N 00850E,
CH,CHATR,Altenrhein,Altenrhein,SG,-234----,RL,ACH,4729N 00933E,
CH,CHAHF,Altishofen,Altishofen,LU,--3-----,RL,,4712N 00758E,
CH,CHATN,Altnau,Altnau,TG,--3-----,RL,,4707N 00915E,
CH,CHASN,Altstätten,Altstatten,SG,--3-----,RL,,4723N 00932E,
CH,CHBEG,Amlikon-Bissegg,Amlikon-Bissegg,TG,--3-----,RL,,4733N 00902E,
CH,CHAWL,Amriswil,Amriswil,TG,-23-----,RL,,4732N 00918E,
CH,CHLFI,Andelfingen,Andelfingen,ZH,-----6--,RQ,,4735N 00841E,
CH,CHAND,Andwil,Andwil,SG,--3-----,RL,,4726N 00916E,
CH,CHAGE,Anieres,Anieres,GE,--3--6--,RL,,4617N 00613E,
CH,CHANW,Anwil,Anwil,BL,--3-----,RL,,4727N 00756E,
CH,CHAPP,Appenzell,Appenzell,AI,--3-----,RL,ZAP,4720N 00924E,
CH,CHAPL,Apples,Apples,VD,-23-----,RL,,4633N 00626E,
CH,CH3JK,Arbaz,Arbaz,VS,--3-----,RL,,4617N 00723E,
CH,CHABD,Arbedo,Arbedo,TI,--3-----,RL,,4612N 00903E,
CH,CHZDD,Arbon,Arbon,TG,--3-----,RL,,4730N 00925E,
CH,CHARC,Arch,Arch,BE,--3-----,RL,,4709N 00725E,
CH,CHAOC,Arconciel,Arconciel,FR,--3-----,RL,,4645N 00707E,
CH,CHADO,Ardon,Ardon,VS,-23-----,RL,,4613N 00715E,
