country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
CI,CIOGO,Abengourou,Abengourou,,---4----,AI,,,
CI,CIABJ,Abidjan,Abidjan,AB,1--45---,AI,,0520N 00401W,
CI,CIABO,Aboisso,Aboisso,,---4----,RQ,,0528N 00312W,
CI,CIADZ,Adzopé,Adzope,,--3-----,RL,,0606N 00351W,
CI,CIAGB,Agboville,Agboville,,-23-----,RL,,0556N 00413W,
CI,CIAFI,Amalfi,Amalfi,,---4----,RQ,,,
CI,CIASS,Assinie-Mafia,Assinie-Mafia,,1-3-----,RL,,0507N 00317W,
CI,CIBAO,Baobab Terminal,Baobab Terminal,,1-3-----,RL,,0457N 00433W,
CI,CIBGV,Bingerville,Bingerville,1,--3-----,RL,,0521N 00354W,
CI,CIBDK,Bondoukou,Bondoukou,,---4----,AI,,,
CI,CIBGG,Bongouanou,Bongouanou,,---4----,RQ,,0639N 00412W,
CI,CIBON,Bonoua,Bonoua,,--3-----,RL,,0516N 00336W,
CI,CIBRZ,Borotou,Borotou,,---4----,RQ,,0844N 00729W,
CI,CIBYK,Bouaké,Bouake,,---4----,AI,,,
CI,CIBQO,Bouna,Bouna,,---4----,RQ,,0916N 00300W,
CI,CIBXI,Boundiali,Boundiali,,---4----,RQ,,0931N 00629W,
CI,CIBUU,Buyo,Buyo,,---4----,RQ,,0616N 00703W,
CI,CICOD,Cocody,Cocody,,-----6--,RL,,0521N 00400W,
CI,CIDAB,Dabou,Dabou,,1-3-----,RL,,0519N 00422W,
CI,CIDJO,Daloa,Daloa,,---4----,AI,,,
CI,CIDNC,Danane,Danane,,---4----,RQ,,0715N 00809W,
CI,CIDIM,Dimbokro,Dimbokro,,---4----,RL,,0639N 00440W,
CI,CIDIV,Divo,Divo,,---4----,RL,,0550N 00521W,
CI,CIDJB,Djibi,Djibi,1,--3-----,RL,,0527N 00359W,
CI,CIESP,Espoir,Espoir,,1-------,RQ,,0504N 00423W,
CI,CIFEK,Ferkessédougou,Ferkessedougou,,---45---,AI,,0936N 00512W,
CI,CIFRE,Fresco,Fresco,,1-3-----,RL,,0505N 00534W,
CI,CIGGN,Gagnoa,Gagnoa,,--34----,AI,,0608N 00556W,
CI,CIGBA,Gbabam,Gbabam,,1-------,RL,,0528N 00535W,
CI,CIGLU,Grand Lahou,Grand Lahou,,1-3-----,RL,,0508N 00501W,
CI,CIBBV,Grand-Béréby,Grand-Bereby,9,---4----,RL,,0440N 00704W,
CI,CIGUI,Guiembé,Guiembe,SV,-23-----,RL,,0914N 00543W,
CI,CIGGO,Guiglo,Guiglo,,--34----,AI,,0632N 00729W,
CI,CIJAC,Jacqueville,Jacqueville,,1-------,RL,,0512N 00425W,
CI,CIKTC,Katiola,Katiola,,---4----,RL,,0939N 00737W,
CI,CIHGO,Korhogo,Korhogo,,---4----,AI,,,
CI,CIKOS,Kosagi,Kosagi,,1-------,RL,,0813N 00806W,
CI,CIKOU,Koumassi,Koumassi,1,--3-----,RL,,0517N 00358W,
CI,CILKT,Lakota,Lakota,,---4----,RL,,0551N 00541W,
CI,CIMJC,Man,Man,,---4----,AI,,,
CI,CIMOK,Mankono,Mankono,,---4----,RQ,,0801N 00609W,
CI,CIXMB,M'Bahiakro,M'Bahiakro,,---4----,RL,,0727N 00420W,
CI,CINKL,Nakala,Nakala,,--3-----,RL,,0828N 00416W,
CI,CIKEO,Odienné,Odienne,,---4----,AI,,0930N 00734W,
CI,CIOFI,Ouango Fitni,Ouango Fitni,,---4----,RQ,,0936N 00401W,
CI,CIPBT,Port-Bouët,Port-Bouet,,1-------,RL,,0515N 00358W,
CI,CISPY,San-Pédro,San-Pedro,9,1-34----,AI,,0444N 00637W,
CI,CIZSS,Sassandra,Sassandra,,1--4----,AI,,,
CI,CISEQ,Seguela,Seguela,,---4----,RQ,,,
CI,CISGL,Séguéla,Seguela,,--3-----,RL,,0757N 00640W,
CI,CISFR,Sinfra,Sinfra,,--3-----,RL,,0637N 00555W,
CI,CITBX,Taabo,Taabo,,---4----,RL,,0613N 00507W,
CI,CITXU,Tabou,Tabou,,---4----,AI,,,
CI,CITIA,Tiassalé,Tiassale,,--3-----,RL,,0553N 00449W,
CI,CITGX,Tingrela,Tingrela,,---4----,RL,,1029N 00624W,
CI,CITOZ,Touba,Touba,,---4----,RQ,,0816N 00740W,
CI,CIVRD,Vridi,Vridi,10,-----6--,RL,,0515N 00359W,
CI,CIASK,Yamoussoukro,Yamoussoukro,,---4----,AI,,,
CI,CIYGN,Yopougon,Yopougon,1,--3-----,RL,,0520N 00404W,
CI,CIYOA,Yopougon-Attie,Yopougon-Attie,16,--3-----,RL,,0521N 00404W,
CI,CIZUE,Zuenoula,Zuenoula,,---4----,RL,,0725N 00602W,
