country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks,UNLogNumber
CL,CLACH,Achao,Achao,LL,1-------,RN,,4227S 07331W,,
CL,CLALG,Algarrobo,Algarrobo,VS,--3-----,RN,,3322S 07140W,,
CL,CLALH,Alhué,Alhue,RM,--3-----,RN,,3402S 07106W,,
CL,CLABB,Alto Bío Bío,Alto Bio Bio,BI,--3-----,RN,,3843S 07108W,,
CL,CLADC,Alto del Carmen,Alto del Carmen,AT,--3-----,RN,,2846S 07030W,,
CL,CLAHP,Alto Hospicio,Alto Hospicio,TA,--3-----,RL,,2015S 07007W,,
CL,CLWAP,Alto Palena Apt,Alto Palena Apt,AI,--34----,RL,,4338S 07149W,,
CL,CLM9Z,Ancoa,Ancoa,ML,--3-----,RL,,3555S 07126W,,
CL,CLZUD,Ancud,Ancud,LL,1-34----,AI,,4151S 07350W,,
CL,CLAND,Andacollo,Andacollo,CO,--3-----,RN,,3013S 07105W,,
CL,CLANG,Angol,Angol,AR,-23-----,RL,,3748S 07243W,,
CL,CLANF,Antofagasta,Antofagasta,AN,1--4----,AI,,2338S 07023W,,
CL,CLANT,Antuco,Antuco,BI,--3-----,RN,,3720S 07141W,,
CL,CLARA,Arauco,Arauco,BI,1-3-----,RN,,3715S 07319W,,
CL,CLARI,Arica,Arica,AP,1-34----,AI,,1829S 07019W,,
CL,CLAYA,Ayacara,Ayacara,LL,1-------,RN,,4218S 07247W,,
CL,CLBLR,Bahia Laredo,Bahia Laredo,MA,1-3-----,RL,,5258S 07048W,,
CL,CLBAG,Bahía San Gregorio,Bahia San Gregorio,MA,1-------,AI,,5237S 07008W,,
CL,CLBBA,Balmaceda,Balmaceda,AI,--34----,AI,,4554S 07141W,,
CL,CLBAQ,Baquedano,Baquedano,AN,--3-----,RL,,2320S 06951W,,
CL,CLBAR,Barquito,Barquito,AT,1-------,RL,,2621S 07038W,,
CL,CLBUI,Buin,Buin,RM,--3-----,RL,,3344S 07045W,,
CL,CLBUL,Bulnes,Bulnes,BI,--3-----,RN,,3644S 07218W,,
CL,CLCBD,Cabildo,Cabildo,VS,--3-----,RN,,3225S 07108W,,
CL,CLCHR,Cabo de Hornos,Cabo de Hornos,MA,1-------,RN,,5558S 06712W,,
CL,CLCNX,Cabo Negro,Cabo Negro,MA,1-------,AI,,5258S 07051W,,
CL,CLCAB,Cabrero,Cabrero,BI,-23-----,RL,,3702S 07224W,,
CL,CLCJC,Calama,Calama,AN,-234----,AI,,2227S 06855W,,
CL,CLCBC,Calbuco,Calbuco,LL,1-3-----,RL,,4145S 07308W,,
CL,CLCLD,Caldera,Caldera,AT,1-------,AI,,2702S 07048W,,
CL,CLCAA,Calderilla,Calderilla,AT,123-----,RN,,2705S 07051W,,
CL,CLCDT,Calera de Tango,Calera de Tango,RM,--3-----,RN,,3337S 07048W,,
CL,CLCLR,Caleta Clarencia,Caleta Clarencia,MA,1-------,AI,,5253S 07006W,,
CL,CLCOL,Caleta Coloso,Caleta Coloso,AN,1-------,RL,,2345S 07028W,,
CL,CLCAL,Caleta Patillos,Caleta Patillos,,1-------,RQ,,2045S 07012W,Use CL PTI,
CL,CLCLL,Calle Larga,Calle Larga,VS,--3-----,RN,,3251S 07038W,,
CL,CLCAM,Camarones,Camarones,AP,--3-----,RN,,1901S 06952W,,
CL,CLCMA,Camiña,Camina,TA,--3-----,RN,,1918S 06925W,,
CL,CLBBH,Campamento Barahona,Campamento Barahona,LI,-----6--,RL,,3406S 07031W,,
CL,CLCMP,Campanario,Campanario,BI,-----6--,RL,,3707S 07211W,,
CL,CLCAN,Canela,Canela,CO,--3-----,RN,,3124S 07127W,,
CL,CLCTE,Cañete,Canete,BI,--3-----,RN,,3748S 07324W,,
CL,CLCAR,Carahue,Carahue,AR,-23-----,RN,,3842S 07310W,,
CL,CLCRH,Carahue,Carahue,LL,1-3-----,RN,,4300S 07333W,,
CL,CLCGN,Cartagena,Cartagena,VS,--3-----,RN,,3333S 07136W,,
CL,CLCAS,Casablanca,Casablanca,VS,--3-----,RL,,3319S 07124W,Valparaiso,
CL,CLWCA,Castro,Castro,LL,1-34----,AI,,4228S 07346W,,
CL,CLCAT,Catemu,Catemu,VS,--3-----,RN,,3238S 07102W,,
CL,CLCAU,Cauquenes,Cauquenes,ML,--3-----,RN,,3558S 07221W,,
CL,CLCER,Cerrillos,Cerrillos,RM,--3-----,RL,,3329S 07043W,,
