country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
CM,CMBFX,Bafoussam,Bafoussam,,--34----,AI,,,
CM,CMBLC,Bali,Bali,,---4----,AI,,,
CM,CMBPC,Bamenda,Bamenda,,---4----,RQ,,0556N 01010E,
CM,CMOUR,Batouri,Batouri,,---4----,AI,,,
CM,CMBEL,Bélabo,Belabo,ES,-23-----,RL,,0456N 01318E,
CM,CMBTA,Bertoua,Bertoua,,---4----,RQ,,0435N 01341E,
CM,CMBNB,Bonabéri,Bonaberi,LT,--3-----,RL,,0405N 00939E,
CM,CMBUA,Buea,Buea,,--3-----,RL,,,
CM,CMCMO,Campo,Campo,,0-------,RQ,,,
CM,CMDLA,Douala,Douala,,1--45---,AI,,,
CM,CMDSC,Dschang,Dschang,,---4----,AI,,,
CM,CMEBW,Ebolowa,Ebolowa,,---4----,RQ,,,
CM,CMEBT,Ebomé Terminal,Ebome Terminal,,-23-----,RL,,0248N 00949E,
CM,CMEDA,Edéa,Edea,,-23-----,RL,,0346N 01007E,
CM,CMEKO,Ekok,Ekok,SW,----5---,RL,,0548N 00853E,
CM,CMFOM,Foumban,Foumban,,---4----,RQ,,0543N 01055E,
CM,CMGOU,Garoua,Garoua,NO,1-34----,AI,,0918N 01324E,
CM,CMGRB,Garoua Boulaï,Garoua Boulai,ES,--3-5---,AI,,0553N 01433E,
CM,CMKLE,Kaele,Kaele,,---4----,RQ,,1007N 01426E,
CM,CMKOL,Kole Terminal,Kole Terminal,,1-------,RQ,,,
CM,CMKSI,Kousséri,Kousseri,EN,----5---,AI,,1204N 01501E,
CM,CMKOB,Koutaba,Koutaba,,---4----,AI,,,
CM,CMKBI,Kribi,Kribi,,1--4----,AI,,,
CM,CMKUM,Kumba,Kumba,SW,1----6--,RL,,0438N 00926E,
CM,CMKYE,Kye-Ossi,Kye-Ossi,SU,----5---,AI,,0215N 01115E,
CM,CMLIM,Limbe,Limbe,,123-----,RL,,0401N 00913E,
CM,CMLIT,Limboh Terminal,Limboh Terminal,,1-------,RQ,,,
CM,CMMMF,Mamfe,Mamfe,,---4----,AI,,,
CM,CMMVR,Maroua,Maroua,,---4----,AI,,,
CM,CMMSG,Massongo Terminal,Massongo Terminal,,------7-,RL,,0413N 00847E,
CM,CMMBA,Mbalmayo,Mbalmayo,CE,--3-----,RL,,0331N 01130E,
CM,CMMGA,Meiganga,Meiganga,AD,--3-----,AM,,0631N 01418E,
CM,CMMOR,Mora,Mora,EN,----5---,AI,,1102N 01408E,
CM,CMMOU,Moudi Terminal,Moudi Terminal,,1-3-----,RL,,0407N 00829E,
CM,CMNDP,Ndop,Ndop,NW,--3-----,RL,,0600N 01025E,
CM,CMNGE,Ngaoundéré,Ngaoundere,AD,-23-----,RL,,0719N 01335E,
CM,CMNKS,Nkongsamba,Nkongsamba,,-234----,RL,,0456N 00956E,
CM,CMTKC,Tiko,Tiko,,1--4----,AI,,,
CM,CMVIC,Victoria,Victoria,SW,--3-----,RQ,,0400N 00911E,
CM,CMGXX,Yagoua,Yagoua,,---4----,RQ,,1021N 01514E,
CM,CMYAO,Yaoundé,Yaounde,CE,---45---,AI,NSI,0352N 01131E,
13,CM,CMNSI,Yaoundé Nsimalen International Apt,Yaoundé Nsimalen International Apt,CE,4.0,RQ,,0343N 01133E,"(HLAG) No UN/LOCODE for airport, use IATA Code. City is CMYAO",UN-2022-66080
