country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
CN,CNARS,Aershan,Aershan,NM,--3-----,AS,,,
CN,CNAHK,Aheitubieke,Aheitubieke,XJ,--3-----,AS,,,
CN,CNAID,Aidian,Aidian,GX,--3-----,AS,,2149N 10701E,
CN,CNAKU,Aksu,Aksu,XJ,---4----,RL,,3840N 07540E,
CN,CNAKL,Alatawshankou,Alatawshankou,XJ,-23---7-,AS,,4511N 08226E,
CN,CNAAT,Altay,Altay,XJ,-234----,RL,,4752N 08807E,@Fun
CN,CNANJ,Anji,Anji,ZJ,--3--6--,AS,,3038N 11940E,
CN,CNAKA,Ankang,Ankang,SN,-234----,RL,,,@Fun
CN,CNANN,Anning,Anning,YN,-23-----,RL,,2454N 10229E,
CN,CNANP,Anping,Anping,LN,-2------,RL,,4109N 12305E,
CN,CNAPP,Anpu,Anpu,GD,1-------,RL,,2123N 10950E,
CN,CNAQG,Anqing,Anqing,AH,123-----,AS,,3031N 11702E,@Fun
CN,CNANQ,Anqiu,Anqiu,SD,1-3-----,RL,,3625N 11911E,
CN,CNASN,Anshan,Anshan,LN,-2------,AS,,4107N 12300E,
CN,CNAOG,Anshan Teng'ao Apt,Anshan Teng'ao Apt,LN,---4-6--,RL,,4110N 12302E,
CN,CNANS,Anshun,Anshun,GZ,-23-----,RL,,2615N 10556E,
CN,CNANT,Anting,Anting,SH,1----6--,RL,,3118N 12109E,
CN,CNAYS,Anyang,Anyang,HA,-----6--,AS,,,
CN,CNAJG,Aojiang Pt,Aojiang Pt,ZJ,1-------,AS,,2735N 12027E,
CN,CNASW,Aoshanwei,Aoshanwei,SD,1----6--,RQ,,3621N 12040E,
CN,CNART,Arhaxat,Arhaxat,NM,--3-----,AS,,,
CN,CNASM,Asjman,Asjman,11,--3-----,RQ,,,
CN,CNBCO,Bacao,Bacao,GZ,1-------,RL,,2528N 10547E,
CN,CNBDG,Badong,Badong,HB,1-------,RL,,3102N 11023E,
CN,CNBGG,Bagong,Bagong,GZ,--3-----,RL,,2658N 10840E,
CN,CNBAH,Bahe,Bahe,HB,1-------,RL,,,
CN,CNBCG,Baiceng,Baiceng,GZ,1-------,RL,,2526N 10548E,
CN,CNBAI,Baicheng,Baicheng,JL,-23-----,RL,,4636N 12250E,
CN,CNBLO,Bailuo,Bailuo,HB,1-------,RL,,,
CN,CNBMJ,Baimajing,Baimajing,HI,1-3-----,RL,,1942N 10913E,
CN,CNIMA,Baimao,Baimao,SD,1-------,RL,,3501N 11836E,
CN,CNBSE,Baise,Baise,GX,1-------,RL,,,
CN,CNBSH,Baishan,Baishan,22,--3-----,RL,,4606N 12805E,
CN,CNBSI,Baishi,Baishi,HL,1-------,RL,,,
CN,CNBYG,Baiyang,Baiyang,HB,1-------,RL,,3026N 11131E,
CN,CNBYU,Baiyun,Baiyun,GD,--3-----,RL,,2515N 11404E,
CN,CNBKT,Baketu,Baketu,XJ,--3-----,AS,,,
CN,CNBLI,Bali,Bali,HB,1-------,RL,,,
CN,CNBPX,Bangda,Bangda,XZ,---4----,RL,,3033N 09707E,
CN,CNBON,Bao'an,Bao'an,GD,--3-----,RL,,2455N 11223E,
CN,CNBDZ,Baoding,Baoding,HE,-----6--,AS,,3851N 11530E,
CN,CNBOJ,Baoji,Baoji,SN,-----6--,AS,,3422N 10709E,
CN,CNBQI,Baoqing,Baoqing,HL,-----6--,RL,,4619N 13212E,
CN,CNBAN,Baoshan,Baoshan,YN,--3-----,AS,,2507N 09909E,
CN,CNBSD,Baoshan Pt,Baoshan Pt,SH,1-------,AS,,3125N 12129E,
CN,CNBOT,Baotou,Baotou,NM,-----6--,AS,,4039N 10949E,
CN,CNBYI,Baoying,Baoying,32,--3-----,RL,,3313N 11918E,
CN,CNBSP,Basuo Pt,Basuo Pt,HI,1-------,AS,,1900N 10837E,
CN,CNBAU,Baxu,Baxu,JS,1-------,RL,,,
CN,CNBYA,Bayan,Bayan,HL,1-------,RL,,4605N 12724E,
CN,CNBYO,Bayan Obo,Bayan Obo,NM,-2------,RL,,4146N 10958E,
CN,CNBSX,Bayin,Bayin,NM,-23-----,RL,,3633N 10412E,
CN,CNBYQ,Bayuquan,Bayuquan,LN,1-------,AS,,,
CN,CNBAZ,Bazhou,Bazhou,13,--3-----,RL,,3906N 11623E,
CN,CNBIC,Beicun,Beicun,GD,1-------,AS,,,
CN,CNBHY,Beihai,Beihai,GX,-234----,AS,,2132N 10917E,@Fun
CN,CNBIH,Beihai Pt,Beihai Pt,GX,1-------,AS,,2128N 10907E,
CN,CNBJO,Beijiao,Beijiao,FJ,--3-----,RL,,2621N 11955E,
CN,CNBIJ,Beijiao,Beijiao,GD,1-------,AS,,2255N 11312E,
CN,CNBJS,Beijing,Beijing,BJ,-23456--,AS,,3955N 11624E,
CN,CNBJZ,Beijing Railway Station,Beijing Railway Station,BJ,-2------,AS,,,
CN,CNPEK,Beijing Shoudu International Apt,Beijing Shoudu International Apt,BJ,---4----,AS,,,
CN,CNBJD,Beijingdong Railway Station,Beijingdong Railway Station,BJ,-2------,AS,,,
CN,CNBJX,Beijingxi Railway Station,Beijingxi Railway Station,BJ,-2------,AS,,,
CN,CNBLU,Beiliu,Beiliu,SX,--3-----,RL,,3529N 11233E,
CN,CNBEI,Beilun,Beilun,ZJ,1-3-----,RQ,,2956N 12153E,
CN,CNBLG,Beilun Pt,Beilun Pt,ZJ,1-------,AS,,,
CN,CNSXB,Beitan,Beitan,GD,1-------,AS,,2122N 11015E,
CN,CNBIY,Beiyao,Beiyao,GD,1-------,RL,,,
CN,CNBZN,Beizhen,Beizhen,21,-----6--,RL,,4126N 12143E,
CN,CNBBU,Bengbu,Bengbu,AH,-----6--,AS,,3256N 11721E,
CN,CNBXS,Benxi,Benxi,LN,-----6--,AS,,,
CN,CNPHB,Bijia,Bijia,GD,1-------,AS,,2237N 11451E,
CN,CNBCA,Binchuan,Binchuan,YN,--3-----,RL,,2549N 10034E,
CN,CNBHX,Binhai,Binhai,JS,1-------,AS,,3343N 11937E,
CN,CNBYN,Binyang,Binyang,FJ,123-----,RL,,2715N 12020E,
CN,CNBIN,Binzhou,Binzhou,SD,--3-----,RL,,,
CN,CNBOA,Boao,Boao,HI,1-------,RL,,,
CN,CNBOB,Bobai,Bobai,45,--3-----,RL,,2216N 10958E,
CN,CNDBX,Bohe,Bohe,GD,1-------,AS,,2131N 11100E,
CN,CNBOO,Boluo,Boluo,GD,-23-----,RL,,2310N 11416E,
CN,CNBOS,Bose,Bose,45,--3-----,RL,,2353N 10636E,
CN,CNBXI,Boxing,Boxing,37,--3-----,RL,,3708N 11805E,
CN,CNBZG,Bozhong,Bozhong,TJ,1-----7-,AS,,3827N 11826E,
CN,CNBOZ,Bozhou,Bozhou,34,--3-----,RL,,3352N 11546E,
CN,CNBHE,Buhe,Buhe,HB,1-------,RL,,,
CN,CNBUJ,Buji,Buji,GD,-23-----,RL,,,
CN,CNBUR,Burang,Burang,XZ,--3-----,AS,,,
CN,CNBRJ,Burqin,Burqin,XJ,--3-----,RL,,4743N 08653E,
CN,CNCYB,Caiyuanba,Caiyuanba,CQ,--3-----,RL,,,
CN,CNCGN,Cangnan,Cangnan,ZJ,--3-----,RQ,,2730N 12023E,
CN,CNGSA,Cangshan,Cangshan,SD,1-3-----,RL,,3451N 11803E,
CN,CNCGW,Cangwu,Cangwu,GX,1-3-----,RL,,2329N 11119E,
CN,CNCGX,Cangxi,Cangxi,51,--3-----,RL,,3143N 10555E,
CN,CNCGY,Cangyuan,Cangyuan,YN,--3-----,AS,,2310N 09913E,
CN,CNCZZ,Cangzhou,Cangzhou,HE,-----6--,AS,,3818N 11652E,
CN,CNCFD,Caofeidian Pt,Caofeidian Pt,HE,1-------,AS,,3857N 11832E,
CN,CNCJG,Caojing,Caojing,SH,1-3-----,RL,,3047N 12124E,
CN,CNCEK,Ceke,Ceke,NM,--3-----,AS,,4228N 10109E,
CN,CNCEX,Cenxi,Cenxi,45,--3-----,RL,,2254N 11049E,
CN,CNCAW,Chaiwan,Chaiwan,JS,--3-----,RL,,3228N 12033E,
CN,CNCHO,Chang on,Chang on,GD,0-------,RQ,,,
CN,CNFKC,Changan,Changan,GD,-----6--,RQ,,2353N 11154E,
CN,CNCHN,Chang'an,Chang'an,SN,--3-----,RQ,,,
CN,CNCGB,Changbai,Changbai,JL,--3-----,AS,,4126N 12821E,
CN,CNCGP,Changbang,Changbang,SH,--3-----,RL,,3055N 12101E,
CN,CNCGC,Changchun,Changchun,JL,-2-45---,AS,,4354N 12519E,
CN,CNCGQ,Changchun Longjia International Apt,Changchun Longjia International Apt,JL,---4----,AS,,,
CN,CNCCD,Changchun Xinglong,Changchun Xinglong,JL,-23-56--,AS,,,
CN,CNCDO,Changdao,Changdao,SD,--3-----,RL,,3755N 12044E,
CN,CNCGD,Changde,Changde,HN,-----6--,AS,,2902N 11151E,
CN,CNCDH,Changdianhekou,Changdianhekou,LN,1-------,AS,,4025N 12448E,
CN,CNCNI,Changhai Dachangshandao Apt,Changhai Dachangshandao Apt,LN,---4----,RL,,,
CN,CNCAH,Changhua,Changhua,HI,1-------,RL,,,
CN,CNCJS,Changji,Changji,XJ,--3--6--,AS,,,
CN,CNCLZ,Changjiang Lizu Zizhixian,Changjiang Lizu Zizhixian,HI,--3-----,RL,,,
CN,CNCGJ,Changjing,Changjing,JS,1-------,RL,,,
CN,CNCHA,Changle,Changle,FJ,--3-----,RL,,2419N 11655E,
CN,CNCGI,Changliu,Changliu,HI,--3-----,RL,,2001N 11012E,
CN,CNCPI,Changping,Changping,GD,-2------,AS,,2259N 11359E,
CN,CNCNA,Changsha,Changsha,GD,--3--6--,RL,,2412N 11609E,
CN,CNCSH,Changsha,Changsha,HN,12-45---,AS,,2812N 11259E,
CN,CNCSX,Changsha Huanghua International Apt,Changsha Huanghua International Apt,HN,---4----,AS,,,
CN,CNCSD,Changshadibg Railway Station,Changshadibg Railway Station,HN,-2------,AS,,,
CN,CNCSO,Changshou,Changshou,CQ,1-------,RL,,,
CN,CNCSJ,Changshou,Changshou,JS,1-------,RL,,,
CN,CNCGS,Changshu Pt,Changshu Pt,JS,1-------,AS,,3139N 12043E,
CN,CNCNT,Changtu,Changtu,21,-----6--,RL,,1246N 12406E,
CN,CNCIH,Changzhi,Changzhi,SX,---4----,RL,,3611N 11308E,
CN,CNCZX,Changzhou,Changzhou,JS,1234----,AS,,3147N 11958E,@Fun
CN,CNCON,Chaoan,Chaoan,GD,--3-----,RL,,,
CN,CNCHU,Chaohu,Chaohu,AH,123-----,RL,,3136N 11751E,
CN,CNCTM,Chaotianmen,Chaotianmen,CQ,--3-----,RL,,,
CN,CNCYN,Chaoyang,Chaoyang,LN,-234----,RL,,,
CN,CNCHY,Chaoyang Pt,Chaoyang Pt,GD,1-------,AS,,2316N 11636E,
CN,CNCOZ,Chaozhou,Chaozhou,GD,123-----,AS,,2340N 11638E,@Fun
CN,CNCBG,Chen Barag,Chen Barag,NM,1-------,RL,,,
CN,CNCUN,Chencun,Chencun,GD,1-3-----,RL,,2257N 11314E,
CN,CNCHE,Chengaogang,Chengaogang,FJ,1-------,AS,,,
CN,CNCHH,Chengcheng,Chengcheng,14,--3-----,RL,,3511N 10955E,
CN,CNCNG,Chengde,Chengde,HE,123-----,RL,,4058N 11756E,
CN,CNCDU,Chengdu,Chengdu,SC,-2-45---,AS,,3040N 10404E,
CN,CNCDZ,Chengdu Railway Station,Chengdu Railway Station,SC,-2------,AS,,,
CN,CNCTU,Chengdu Shuangliu International Apt,Chengdu Shuangliu International Apt,SC,---4----,AS,,,
CN,CNCHG,Chenghai,Chenghai,GD,--3-----,RQ,,,
CN,CNCJI,Chengjiang,Chengjiang,JS,1-------,RL,,,
CN,CNCLJ,Chenglingji Pt,Chenglingji Pt,HN,1-------,AS,,2926N 11309E,
CN,CNCHX,Chengxi,Chengxi,SH,1-------,RL,,3155N 12014E,
CN,CNCIG,Chenjiagang,Chenjiagang,JS,1-------,RL,,,
CN,CNCJN,Chenjian,Chenjian,44,--3-----,RQ,,,
CN,CNCJP,Chenjiaping,Chenjiaping,CQ,--3-----,RL,,,
CN,CNCNZ,Chenzhou,Chenzhou,HN,--3-----,AS,,,
CN,CNCBI,Chibi,Chibi,HB,1-------,RL,,,
CN,CNCFS,Chifeng,Chifeng,NM,-----6--,AS,,,
CN,CNCKA,Chikan,Chikan,GD,-23--6--,RL,,2116N 11020E,
CN,CNCWN,Chiwan Pt,Chiwan Pt,GD,1-------,AS,,2229N 11353E,
CN,CNCHI,Chizhou,Chizhou,AH,123-----,AS,,3039N 11728E,@Fun
CN,CNCGM,Chongming,Chongming,SH,1-------,AS,,3138N 12124E,
CN,CNCQI,Chongqing,Chongqing,CQ,12-45---,AS,,2935N 10633E,
CN,CNCKG,Chongqing Jiangbei International Apt,Chongqing Jiangbei International Apt,CQ,---4----,AS,,,
CN,CNCHQ,Chongqing Pt,Chongqing Pt,CQ,1-------,AS,,,
CN,CNCQD,Chongqingdong Railway Station,Chongqingdong Railway Station,CQ,-2------,AS,,,
CN,CNQZC,Chongwu,Chongwu,FJ,1-------,AS,,,
CN,CNCXN,Chongxing,Chongxing,HI,--3-----,RL,,1924N 11036E,
CN,CNCGH,Chongzhou,Chongzhou,SC,--3-----,RQ,,3043N 10333E,
CN,CNCGZ,Chongzuo,Chongzuo,GX,1-------,RL,,,
CN,CNCHS,Chuanshan,Chuanshan,ZJ,1-------,RL,,,
CN,CNCUM,Chumen,Chumen,ZJ,1-3-----,RL,,,
CN,CNUNA,Chunan,Chunan,33,--3-----,RL,,2936N 11902E,
CN,CNCUA,Chunhua,Chunhua,SN,--3-----,RQ,,3448N 10834E,
CN,CNCXI,Chuxiong,Chuxiong,YN,--3-----,RL,,2502N 10132E,
CN,CNCHZ,Chuzhou,Chuzhou,AH,123-----,RL,,3219N 11817E,
CN,CNCUZ,Chuzhuangsi,Chuzhuangsi,AH,--3-----,RL,,3352N 11702E,
CN,CNCCH,Cicheng,Cicheng,ZJ,--3-----,RL,,2959N 12127E,
CN,CNCIV,Civet / Guandong,Civet / Guandong,GD,1----6--,RQ,,2216N 11304E,
CN,CNCIX,Cixi,Cixi,ZJ,1-3--6--,RL,,3010N 12114E,
CN,CNCNH,Conghua,Conghua,GD,--3-----,RL,,,
