country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
CO,COAAS,Acacías,Acacias,MET,-----6--,RL,,0359N 07345W,
CO,COACD,Acandi,Acandi,ANT,---4----,RQ,,0832N 07714W,
CO,COARF,Acaricuara,Acaricuara,VAU,---4----,RL,,0042N 07014W,
CO,COAGD,Agrado,Agrado,,--3-----,RQ,,0215N 07556W,
CO,COAGC,Aguachica,Aguachica,CES,--3-----,RL,,0818N 07337W,
CO,COACL,Aguaclara,Aguaclara,NAR,---4----,RQ,,0143N 07847W,
CO,COAGU,Aguadas,Aguadas,CAL,--3-----,RL,,0536N 07527W,
CO,COABL,Aguasblancas,Aguasblancas,CES,--3-----,RL,,1013N 07329W,
CO,COAFI,Amalfi,Amalfi,ANT,---4----,RL,,0655N 07504W,
CO,COAND,Andalucia,Andalucia,,--3-----,RQ,,0513N 07407W,
CO,COADN,Andes,Andes,ANT,---4----,RQ,,0539N 07552W,
CO,COAQA,Antioquia,Antioquia,ANT,-----6--,RQ,,0633N 07549W,
CO,COAPO,Apartado,Apartado,,---4----,AI,,,
CO,COLAP,Apartadó,Apartado,ANT,--3-----,RL,,0753N 07638W,
CO,COAPI,Apiay,Apiay,MET,---4----,RL,,0405N 07334W,
CO,COARA,Aracataca,Aracataca,MAG,--3-----,RL,,1035N 07411W,
CO,COACR,Araracuara,Araracuara,MET,---4----,RQ,,0410N 07258W,
CO,COAUC,Arauca,Arauca,,---4----,AI,,,
CO,COARQ,Arauquita,Arauquita,ARA,---4----,RQ,,0701N 07126W,
CO,COARO,Arboletas,Arboletas,ANT,---4----,RQ,,0850N 07625W,
CO,COARE,Arenal,Arenal,BOL,--3-----,RL,,0828N 07357W,
CO,COACM,Arica,Arica,,1-3-----,RL,,0207S 07144W,
CO,COARI,Ariguani,Ariguani,CES,--3-----,RL,,1015N 07400W,
CO,COARJ,Arjona,Arjona,CES,--3-----,RL,,0932N 07354W,
CO,COAXM,Armenia,Armenia,,---4----,AI,,,
CO,COAGY,Armero Guayabal,Armero Guayabal,TOL,--3-----,AM,,0502N 07453W,
CO,COASR,Astrea,Astrea,,--3-----,RQ,,0930N 07358W,
CO,COAYC,Ayacucho,Ayacucho,,---4----,RQ,,,
CO,COAYA,Ayapel,Ayapel,,--3-----,RQ,,0819N 07508W,
CO,COBHF,Bahía Cupica,Bahia Cupica,CHO,---4----,RL,,0633N 07720W,
CO,COBSC,Bahia Solano,Bahia Solano,CHO,---4----,RQ,,0614N 07725W,
CO,COBAL,Balboa,Balboa,CAU,1-------,RL,,0202N 07713W,
CO,COBAR,Baranoa,Baranoa,ATL,--3-----,RL,,1047N 07455W,
CO,COBAA,Barbosa,Barbosa,ANT,--3-----,RL,,0626N 07519W,
CO,COBAC,Barranca de Upia,Barranca de Upia,CAS,---4----,RQ,,0435N 07258W,
