country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
CR,CRABG,Abangares,Abangares,G,1----6--,RL,,1017N 08457W,
CR,CRABA,Abangaritos,Abangaritos,P,--3-----,RQ,,1007N 08501W,
CR,CRAZA,Aguas Zarcas,Aguas Zarcas,A,--3--6--,RL,,1023N 08421W,
CR,CRAGU,Aguas Zarcas,Aguas Zarcas,L,--3--6--,RL,,0954N 08308W,
CR,CRAJU,Alajuela,Alajuela,A,-23-----,RL,,1001N 08413W,
CR,CRALI,Alajuelita,Alajuelita,SJ,--3-----,RQ,,0954N 08406W,
CR,CRATM,Altamira,Altamira,A,--3--6--,RL,,1028N 08421W,
CR,CRAJZ,Aranjuez,Aranjuez,P,--3-----,RQ,,1004N 08447W,
CR,CRATE,Atenas,Atenas,A,--3-----,RQ,,0959N 08423W,
CR,CRBAG,Bagaces,Bagaces,G,--3--6--,RL,,1032N 08515W,
CR,CRBBD,Barbudal,Barbudal,G,--3-----,RL,,1013N 08507W,
CR,CRBCL,Barra del Colorado,Barra del Colorado,L,---4----,RL,,1046N 08335W,
CR,CRBNC,Barranca,Barranca,A,--3--6--,RL,,1010N 08422W,
CR,CRBAR,Barranca,Barranca,P,-23--6--,RL,,0959N 08443W,
CR,CRBRL,Barrial,Barrial,H,--3--6--,RL,,0959N 08408W,
CR,CRBAV,Barva,Barva,H,-----6--,RQ,,1010N 08480W,
CR,CRBAT,Batan,Batan,L,1-------,RQ,,,
CR,CRBLN,Belén,Belen,G,--3-----,RL,,1024N 08536W,
CR,CRBVT,Bella Vista,Bella Vista,A,--3-----,RL,,1012N 08426W,
CR,CRBIJ,Bijagual,Bijagual,P,--3-----,RL,,0926N 08403W,
CR,CRBAL,Boca Arenal,Boca Arenal,A,-----6--,RQ,,1032N 08429W,
CR,CRBBA,Boca Barranca,Boca Barranca,P,--3-----,RL,,0958N 08444W,
CR,CRBRI,Bri Bri,Bri Bri,L,--3-----,RL,,0938N 08250W,
CR,CRBAI,Buenos Aires,Buenos Aires,,---4----,RQ,,0852N 08330W,
CR,CRBSA,Buenos Aires,Buenos Aires,A,--3-----,RL,,1040N 08451W,
CR,CRBFL,Búffalo,Buffalo,L,-----6--,RL,,1001N 08310W,
CR,CRCAB,Cabo Blanco,Cabo Blanco,P,1-3--6--,RL,,0956N 08500W,
CR,CRCBU,Cabuya Cobano,Cabuya Cobano,P,--3-----,RL,,0936N 08506W,
CR,CRCCI,Cachí,Cachi,C,--3-----,RL,,0950N 08348W,
CR,CRCHT,Cahuita,Cahuita,L,--3-----,RL,,0944N 08251W,
CR,CRCAI,Caimital,Caimital,G,1-3--6--,RL,,1004N 08528W,
CR,CRCAL,Caldera,Caldera,P,123-----,RL,,0957N 08443W,
CR,CRCAE,Calle Blancos,Calle Blancos,SJ,-----6--,RQ,,0957N 08404W,
CR,CRCSC,Canas,Canas,,---4----,RQ,,,
CR,CRCAS,Cañas,Canas,G,--3-----,RL,,1025N 08506W,
CR,CRCJL,Canjel,Canjel,G,--3-----,RL,,0959N 08512W,
CR,CRCNG,Caño Negro,Cano Negro,A,--3-----,RL,,1031N 08425W,
CR,CRCAN,Canoas,Canoas,P,--3-----,RL,,0832N 08250W,
CR,CRCAP,Capulín,Capulin,P,--3-----,RL,,0949N 08435W,
CR,CRCIA,Cariari,Cariari,,--3--6--,RQ,,1013N 08200W,
CR,CRCBL,Cariblanco,Cariblanco,A,--3-----,AM,,1016N 08411W,
CR,CRRIK,Carrillo,Carrillo,G,---4----,RL,,0952N 08529W,
CR,CRCAZ,Carrizal,Carrizal,P,--3-----,RL,,0959N 08444W,
CR,CRCAR,Cartago,Cartago,C,-23-----,RL,,0952N 08355W,
CR,CRCJS,Cascajal,Cascajal,A,--3-----,RL,,0954N 08438W,
CR,CRCZR,Cerro Cortez,Cerro Cortez,A,--3-----,RL,,1020N 08422W,
CR,CRCCC,Cervantes,Cervantes,C,-----6--,RL,,0953N 08348W,
CR,CRCHA,Chachagua,Chachagua,A,--3-----,RL,,1024N 08437W,
CR,CRCOM,Chomes,Chomes,P,1-3--6--,RL,,1003N 08455W,
CR,CRCNA,Cinchona,Cinchona,A,--3-----,RL,,1013N 08411W,
CR,CRCIR,Ciruelas,Ciruelas,A,1-3--6--,RL,,1030N 08521W,
CR,CRCBN,Cobano,Cobano,P,--3-----,RL,,0941N 08507W,
CR,CRCOC,Coco,Coco,G,--3-----,RL,,1033N 08542W,
CR,CRCLN,Colón,Colon,SJ,--3--6--,RL,,0955N 08415W,
CR,CRCOR,Coronado,Coronado,P,--3-----,RL,,0903N 08337W,
CR,CRCRL,Corralillo,Corralillo,C,--3-----,RL,,0948N 08402W,
CR,CROTR,Coto 47,Coto 47,P,---4----,RL,,0836N 08258W,
CR,CRCYL,Coyol,Coyol,A,123--6--,RL,,1000N 08415W,
CR,CRCYR,Coyolar,Coyolar,A,-----6--,RL,,0954N 08434W,
CR,CRCRR,Curridabat,Curridabat,SJ,1----6--,RL,,0955N 08402W,
CR,CRCUB,Curubandé,Curubande,G,--3-----,RL,,1043N 08525W,
CR,CRCUT,Cutris,Cutris,A,1-3-----,RL,,1041N 08422W,
CR,CRDE2,Desamparados,Desamparados,SJ,--3-----,RL,,0954N 08404W,
CR,CRDOM,Dominical,Dominical,P,--3-----,RL,,0915N 08352W,
CR,CRELS,El Silencio,El Silencio,G,--3-----,RL,,1029N 08455W,
CR,CRESC,Escazú,Escazu,SJ,--3-----,RL,,0955N 08408W,
