country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
CU,CUANT,Antilla,Antilla,,-23-----,RL,,2050N 07551W,
CU,CUBHO,Bahía Honda,Bahia Honda,,1-------,RL,,2254N 08310W,
CU,CUBAN,Banes,Banes,,123-----,RL,,2058N 07543W,
CU,CUBCA,Baracoa,Baracoa,,1--4----,AI,,,
CU,CUBYM,Bayamo,Bayamo,,---4----,AI,,,
CU,CUBOG,Boca Grande,Boca Grande,,1-------,RL,,2135N 07840W,
CU,CUBOQ,Boqueron,Boqueron,,-23-----,RL,,2210N 07901W,
CU,CUBUF,Bufadero,Bufadero,,123-----,RL,,2134N 07714W,
CU,CUCAB,Cabañas,Cabanas,,1-------,RL,,2259N 08255W,
CU,CUCAI,Caibarién,Caibarien,,1-------,RL,,2231N 07928W,
CU,CUCMW,Camagüey,Camaguey,,1--4----,AI,,2123N 07755W,
CU,CUCAR,Cárdenas,Cardenas,,123-----,RL,,2302N 08112W,
CU,CUCAS,Casilda,Casilda,,1-3-----,RL,,2146N 08000W,
CU,CUCCC,Cayo Coco,Cayo Coco,,---4----,RL,,2230N 07830W,
CU,CUCYO,Cayo Largo del Sur,Cayo Largo del Sur,,---4----,RQ,,2137N 08133W,
CU,CUCEI,Ceiba Hueca,Ceiba Hueca,,1-3-----,RL,,2013N 07720W,
CU,CUCFG,Cienfuegos,Cienfuegos,,1--4----,AI,,,
CU,CUQCO,Colon,Colon,,1-34----,RL,,,
CU,CUGIB,Gibara,Gibara,,123--6--,RL,,2106N 07608W,
CU,CUGUB,Guantanamo Bay,Guantanamo Bay,,1-3-----,RQ,,,
CU,CUNBW,Guantanamo Nas Apt,Guantanamo Nas Apt,,---4----,AI,,,
CU,CUGYB,Guayabal,Guayabal,,1-------,AI,,,
CU,CUHOG,Holguin,Holguin,,---4----,AI,,,
CU,CUIDS,Isabela de Sagua,Isabela de Sagua,,1-------,RQ,,,
CU,CUJUC,Júcaro,Jucaro,,123-----,RL,,2138N 07851W,
CU,CULCL,La Coloma,La Coloma,,---4----,RL,,2220N 08338W,
CU,CUHAV,La Habana,La Habana,3,12345---,AI,,2307N 08221W,
CU,CUBWW,Las Brujas,Las Brujas,,---4----,RL,,2337N 01779W,
CU,CUVTU,Las Tunas,Las Tunas,10,-234----,AI,,2057N 07657W,
CU,CUGAO,Los Canos Apt/Guantanamo,Los Canos Apt/Guantanamo,,---4----,AI,,,
CU,CUMZO,Manzanillo,Manzanillo,,1--4----,AI,,,
