country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
CV,CVASS,Assomada,Assomada,CA,--3-----,RL,,1506N 02341W,
CV,CVBVC,Boa Vista,Boa Vista,,---4----,RQ,,0250N 06041W,
CV,CVBVR,Brava,Brava,,---4----,RL,,3140S 05635W,
CV,CVSID,Ilha do Sal,Ilha do Sal,SL,---4----,AI,,1645N 02255W,
CV,CVMMO,Maio,Maio,,---4----,AI,,,
CV,CVMIN,Mindelo,Mindelo,SV,1-3-----,RL,,1653N 02500W,
CV,CVMTI,Mosteiros,Mosteiros,,---4----,AI,,,
CV,CVPAL,Palmeira,Palmeira,,0-------,RQ,,,
CV,CVPLM,Pedra de Lume,Pedra de Lume,,0-------,RQ,,,
CV,CVGRA,Porto Grande,Porto Grande,SV,1-------,RL,,1652N 02500W,
CV,CVPOI,Porto Inglez,Porto Inglez,MA,--3-----,RL,,1508N 02313W,
CV,CVPON,Porto Novo,Porto Novo,,0-------,RQ,,,
CV,CVPOP,Porto Preguica,Porto Preguica,,0-------,RQ,,,
CV,CVRAI,Praia,Praia,,1--4----,AI,,,
CV,CVSAR,Sal Rei,Sal Rei,,0-------,RQ,,,
CV,CVSAM,Santa Maria,Santa Maria,,0-------,RQ,,,
CV,CV4SM,Santiago,Santiago,MA,--3-----,RL,,1508N 02332W,
CV,CVNTO,Santo Antao,Santo Antao,,---4----,RQ,,,
CV,CVSFL,Sao Filipe,Sao Filipe,SF,---4----,AI,,1454N 02431W,
CV,CVSNE,Sao Nicolau,Sao Nicolau,,---4----,AI,,,
CV,CVVXE,Sao Vicente,Sao Vicente,,1--45---,AI,,,
CV,CVTAR,Tarrafal,Tarrafal,,0-------,RQ,,,
