country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
CW,CWBUB,Bullenbaai,Bullenbaai,,1-------,RL,,1210N 06900W,
CW,CWCRB,Caracas Baai,Caracas Baai,,1-------,AI,,1204N 06851W,
CW,CWCUR,Curaçao,Curacao,,1--45---,AI,,1210N 06900W,
CW,CWDGT,Dominguito,Dominguito,,-----6--,RL,,1206N 06854W,
CW,CWEMM,Emmastad,Emmastad,,--3-----,RL,,1208N 06855W,
CW,CWFUI,Fuikbaai,Fuikbaai,,1-------,AI,,1203N 06849W,
CW,CWGBG,Grote Berg,Grote Berg,,-----6--,RL,,1211N 06859W,
CW,CWOTB,Otrobanda,Otrobanda,,--3-----,RL,,1208N 06857W,
CW,CWPUN,Punda,Punda,,--3-----,RL,,1206N 06855W,
CW,CWSTR,Santa Rosa,Santa Rosa,,--3-----,RL,,1207N 06853W,
CW,CWSMB,Sint Michielsbaai,Sint Michielsbaai,,1-------,RL,,1209N 06859W,
CW,CWSFF,Suffisant Dorp,Suffisant Dorp,,-----6--,RL,,1209N 06855W,
CW,CWWIL,Willemstad,Willemstad,,1-------,AI,,1206N 06855W,
CW,CWZEE,Zeelandia,Zeelandia,,-----6--,RL,,1207N 06854W,
