country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks,UNLogNumber
CZ,CZAMV,Adamov,Adamov,,--3-----,RL,,4919N 01640E,,
CZ,CZADP,Adrspach,Adrspach,KA,--3-----,RL,,5037N 01606E,,
CZ,CZALB,Albrechtice,Albrechtice,LI,--3-----,RL,,5045N 01518E,,
CZ,CZKAL,Antoninuv Dul,Antoninuv Dul,KR,-----6--,RL,,5035N 01515E,,
CZ,CZASA,As,As,,#NAME?,AA,,,,
CZ,CZATN,Asten,Asten,OL,--3-----,RL,,4813N 01425E,,
CZ,CZBBC,Babice,Babice,JM,1-3-----,RQ,,4859N 01624E,,
CZ,CZBAB,Babice,Babice,ZL,-----6--,RL,,4907N 01729E,,
CZ,CZBAJ,Bakov nad Jizerou,Bakov nad Jizerou,ST,-23-----,RL,,5029N 01456E,,
CZ,CZBAN,Bánov,Banov,,--3-----,AA,,4859N 01743E,,
CZ,CZBAR,Bartosovice,Bartosovice,MO,1-3-----,RL,,4940N 01803E,,
CZ,CZBSK,Baska,Baska,MO,--3-----,RL,,4939N 01822E,,
CZ,CZBTV,Batelov,Batelov,JM,--3-----,RQ,,4919N 01524E,,
CZ,CZBAT,Batnovice,Batnovice,KR,--3-----,RL,,5031N 01603E,,
CZ,CZBAV,Bavorov,Bavorov,JC,--3-----,RL,,4907N 01405E,,
CZ,CZTPZ,Bechovice,Bechovice,ST,-----6--,RQ,,5005N 01437E,,
CZ,CZBEE,Bechyne,Bechyne,JC,--3-----,RL,,4918N 01429E,,
CZ,CZBVR,Becváry,Becvary,ST,--3-----,RL,,4957N 01504E,,
CZ,CZBDH,Bedihost,Bedihost,OL,-----6--,RQ,,4927N 01709E,,
CZ,CZBNR,Bela nad Radbuzou,Bela nad Radbuzou,PL,-----6--,RL,,4936N 01243E,,
CZ,CZBPB,Belá pod Bezdezem,Bela pod Bezdezem,ST,--3-----,RL,,5030N 01448E,,
CZ,CZBPK,Belá pod Kozákovem,Bela pod Kozakovem,LI,--3-----,RL,,5035N 01511E,,
CZ,CZBPP,Belá pod Pradedem,Bela pod Pradedem,OL,--3-----,RL,,5010N 01711E,,
CZ,CZBLH,Belohrad,Belohrad,20,--3-----,RL,,4942N 01412E,,
CZ,CZBEL,Belotín,Belotin,OL,--3-----,RL,,4935N 01749E,,
CZ,CZBNJ,Benátky nad Jizerou,Benatky nad Jizerou,ST,-23-----,RL,,5017N 01450E,,
CZ,CZBEN,Benesov,Benesov,,-23-----,AA,,,,
