country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
DE,DEAAC,Aach,Aach,BW,--3-----,RL,,4750N 00851E,
DE,DEA2H,Aach,Aach,RP,--3-----,RL,,4947N 00636E,
DE,DEAAH,Aachen,Aachen,NW,1234-6--,AA,,5046N 00605E,
DE,DEAAL,Aalen,Aalen,BW,-23-----,AF,,,
DE,DEAAR,Aarbergen,Aarbergen,HE,--3-----,AF,,,
DE,DEAAF,Aasbüttel,Aasbuttel,,--3-----,RL,,5404N 00926E,
DE,DEABH,Abbehausen,Abbehausen,NI,1-3-----,AF,,5329N 00826E,
DE,DEA3H,Abbendorf,Abbendorf,BB,--3-----,RL,,5254N 01154E,
DE,DEABF,Abbenfleth,Abbenfleth,NI,1-3-----,AF,,5340N 00929E,
DE,DEABB,Abbenrode,Abbenrode,NI,--3-----,RL,,5215N 01044E,
DE,DEA4H,Abbenrode,Abbenrode,ST,--3-----,RL,,5155N 01037E,
DE,DEAB2,Abberode,Abberode,ST,--3-----,RL,,5137N 01117E,
DE,DEABL,Abbesbüttel,Abbesbuttel,NI,123-----,RL,,5221N 01034E,
DE,DEABR,Abenberg,Abenberg,BY,1-3-----,RQ,,,
DE,DEABD,Abend,Abend,SN,--3-----,RL,,5108N 01316E,
DE,DEABE,Abensberg,Abensberg,BY,-23-----,AF,,,
DE,DEAB3,Abentheuer,Abentheuer,RP,--3-----,RL,,4939N 00706E,
DE,DEAB4,Absberg,Absberg,BY,--3-----,RL,,4909N 01053E,
DE,DEABA,Abstatt,Abstatt,BW,--3-----,RL,,4904N 00917E,
DE,DEAB5,Abtlöbnitz,Abtlobnitz,ST,--3-----,RL,,5105N 01143E,
DE,DEAB6,Abtsbessingen,Abtsbessingen,TH,--3-----,RL,,5115N 01046E,
DE,DEAB7,Abtsdorf,Abtsdorf,ST,--3-----,RL,,5154N 01243E,
DE,DEAGD,Abtsgmünd,Abtsgmund,BW,-----6--,RL,,4854N 01000E,
DE,DEABX,Abtsteinach,Abtsteinach,HE,--3-----,RL,,4932N 00847E,
DE,DEABT,Abtswind,Abtswind,BY,--3-----,AF,,,
DE,DEAB9,Abtweiler,Abtweiler,RP,--3-----,RL,,4945N 00739E,
DE,DEAC2,Achberg,Achberg,BW,--3-----,RL,,4738N 00943E,
DE,DEAC3,Achen,Achen,BY,--3-----,RL,,4802N 01217E,
DE,DEACB,Achenbach,Achenbach,NW,--3-----,RL,,5052N 00758E,
