country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
DO,DOAZU,Azua,Azua,2,1-3--6--,RL,,1827N 07044W,
DO,DOBAN,Baní,Bani,,1-3-----,RL,,1817N 07020W,
DO,DOBRX,Barahona,Barahona,,1--4----,AI,,,
DO,DOBQL,Barcequillo,Barcequillo,21,1-------,RL,,1826N 07002W,
DO,DOBAV,Bavaro,Bavaro,18,1-------,RL,,1843S 06827W,
DO,DOBCC,Boca Chica,Boca Chica,,1-------,AI,,,
DO,DOBNO,Bonao,Bonao,28,-----6--,RL,,1856N 07024W,
DO,DOCBJ,Cabo Rojo,Cabo Rojo,,1--4----,AI,,,
DO,DOCDC,Casa de Campo,Casa de Campo,12,1-------,RL,,1824N 06854W,
DO,DOCAI,Catalina Island,Catalina Island,12,1-------,RL,,1822N 06900W,
DO,DOCAU,Caucedo,Caucedo,1,1-3--6--,RL,,1825N 06938W,
DO,DOCAL,Cayo Levantado,Cayo Levantado,20,1-------,RL,,1912N 06919W,
DO,DOLVC,Constanza,Constanza,13,-----6--,RL,,1855N 07045W,
DO,DOCTI,Cotuí,Cotui,24,--3-----,RL,,1903N 07009W,
DO,DODAJ,Dajabón,Dajabon,,--3-----,RL,,1933N 07142W,
DO,DOEPS,El Portillo/Samana,El Portillo/Samana,20,---4----,RL,,1920N 06930W,
DO,DOEPI,Ensanche Piantini,Ensanche Piantini,32,--3-----,RL,,1828N 06957W,
DO,DOESP,Esperanza,Esperanza,,------7-,RQ,,1834N 07131W,
DO,DOGAZ,Gaspar Hernandez,Gaspar Hernandez,9,--3-----,RL,,1937S 07017W,
DO,DOGYB,Guayubín,Guayubin,15,-2------,RL,,1937S 07119W,
DO,DOGRA,Guerra,Guerra,1,-----6--,RL,,1833N 06942W,
DO,DOGRB,Gurabo,Gurabo,25,--3-----,RL,,1920S 07047W,
DO,DOINA,Haina,Haina,,1-------,RL,,1825N 06959W,
DO,DOSDD,Hainamosa,Hainamosa,32,-----6--,RL,,1831N 06950W,
DO,DOHDY,Hato del Yaque,Hato del Yaque,,-----6--,RQ,,1928N 07046W,
DO,DOHMR,Hato Mayor del Rey,Hato Mayor del Rey,30,--3-----,AM,,1846S 06915W,
DO,DOHAN,Hato Nuevo,Hato Nuevo,29,--3-----,RL,,1847N 06943W,
DO,DOJQB,Higuero,Higuero,1,---4----,RL,,1834N 06959W,
DO,DOHIG,Higüey,Higuey,21,1-------,RL,,1827N 07016W,
DO,DOJBC,Jarabacoa,Jarabacoa,13,-----6--,RL,,1907N 07038W,
DO,DOJIM,Jimaní,Jimani,,--3-----,RL,,1829N 07151W,
DO,DOJDL,Juan Dolio,Juan Dolio,,-----6--,RL,,1825N 06925W,
DO,DOLRM,La Romana,La Romana,,1-------,AI,,,
DO,DOLAV,La Vega,La Vega,,------7-,RL,,1913N 07031W,
DO,DOLCS,Las Calderas,Las Calderas,17,-----6--,RL,,1813N 07030W,
DO,DOSLT,Las Terrenas,Las Terrenas,20,--3-----,RL,,1919N 06932W,
DO,DOLCY,Licey,Licey,25,-----6--,RQ,,1927N 07038W,
DO,DOLAL,Los Alcarrizos,Los Alcarrizos,,------7-,RL,,1831N 07010W,
DO,DOLGY,Los Guayabos,Los Guayabos,17,--3-----,RL,,1836N 07031W,
DO,DOLPD,Los Prados,Los Prados,32,--3-----,RL,,1828N 06957W,
DO,DOLUP,Luperon,Luperon,18,-----6--,RL,,1954N 07057W,
DO,DOMAN,Manzanillo,Manzanillo,,123-----,RL,,1942N 07145W,
DO,DOMAO,Mao,Mao,27,-----6--,RL,,1934N 07150W,
DO,DOMTZ,Matanza,Matanza,25,--3-----,RL,,1924N 07040W,
DO,DOMCA,Moca,Moca,,-----6--,RQ,,1923N 07031W,
DO,DOMPT,Monte Plata,Monte Plata,29,--3-----,RL,,1848N 06947W,
DO,DONAG,Nagua,Nagua,,-----6--,RQ,,1923N 06950W,
DO,DONEI,Neiba,Neiba,3,-23-----,RL,,1829N 07125W,
DO,DONGA,Nigua,Nigua,,-----6--,RQ,,1822N 07003W,
DO,DOOCO,Ocoa Bay,Ocoa Bay,,1-------,RL,,1837N 07065W,
DO,DOPLB,Palabe,Palabe,1,--3-----,RL,,1829N 07004W,
DO,DOPDR,Pedernales,Pedernales,,1-------,AI,,,
DO,DOPDB,Pedro Brand,Pedro Brand,1,-----6--,RL,,1832N 07006W,
DO,DOPIA,Piedra Blanca,Piedra Blanca,28,--3-----,RL,,1850S 07018W,
DO,DOPIL,Piloto,Piloto,15,-----6--,RQ,,1936N 07112W,
DO,DOPIM,Pimentel,Pimentel,,-23--6--,RL,,1911N 07006W,
DO,DOPUD,Puerto Duarte,Puerto Duarte,,0-------,RQ,,,
DO,DOPUO,Puerto Libertador,Puerto Libertador,,1-------,QQ,,,
DO,DOPAL,Puerto Palenque,Puerto Palenque,,1-3-----,RL,,1814N 07009W,
DO,DOPOP,Puerto Plata,Puerto Plata,,1-------,AI,,,
DO,DOPVA,Puerto Viejo de Azua,Puerto Viejo de Azua,,1-------,RL,,1820N 07050W,
DO,DOPCN,Punta Cana,Punta Cana,22,--3-----,RL,,1848N 07134W,
DO,DOPUJ,Punta Cana Apt,Punta Cana Apt,,--34----,RL,,1834N 06821W,
DO,DOHAI,Rio Haina,Rio Haina,,1-------,QQ,,,
DO,DOSNX,Sabana de la Mar,Sabana de la Mar,,1--4----,AI,,1904N 06923W,
DO,DOSAL,Salcedo,Salcedo,,--3-----,RQ,,1925N 07023W,
DO,DOAZS,Samana International Apt,Samana International Apt,20,---4----,RL,,1916N 06944W,
DO,DOSCL,San Carlos,San Carlos,,-----6--,RL,,1829N 06954W,
DO,DOSCR,San Cristobal,San Cristobal,,--3-----,RQ,,,
DO,DOSFP,San Felipe,San Felipe,1,--3-----,RL,,1835N 06955W,
DO,DOMCR,San Fernando de Monte Cristi,San Fernando de Monte Cristi,,--3-----,RL,,1951N 07139W,
DO,DOSFN,San Francisco de Macorís,San Francisco de Macoris,,1-------,RL,,1918N 07015W,
DO,DOSIS,San Ignacio Sabaneta,San Ignacio Sabaneta,,--3-----,RQ,,1928N 07120W,
DO,DOSIO,San Isidro,San Isidro,1,-----6--,RL,,1832N 06946W,
DO,DOSJO,San José de Ocoa,San Jose de Ocoa,17,--3-----,RL,,1833N 07030W,
DO,DOSJM,San Juan de la Maguana,San Juan de la Maguana,,--3-----,RL,,1848N 07113W,
DO,DOSPM,San Pedro de Macorís,San Pedro de Macoris,,1-------,AI,,1827N 06918W,
DO,DOSNZ,Sánchez,Sanchez,,123-----,RL,,1914N 06937W,
DO,DOSAM,Santa Bárbara de Samaná,Santa Barbara de Samana,,--3-----,RL,,1912N 06919W,
DO,DOSTI,Santiago de los Caballeros,Santiago de los Caballeros,,1-3-----,RL,,,
DO,DOSDQ,Santo Domingo,Santo Domingo,1,1-345---,AI,,1828N 06954W,
DO,DOSSU,Sosúa,Sosua,18,--3-----,RL,,1945N 07031W,
DO,DOTDR,Tamboril,Tamboril,25,--3-----,RL,,1929N 07036W,
DO,DOVAL,Villa Altagracia,Villa Altagracia,21,1-3-----,RL,,1840N 07010W,
DO,DOVGZ,Villa Gonzalez,Villa Gonzalez,25,-----6--,RQ,,1932N 07047W,
DO,DOVML,Villa Mella,Villa Mella,1,-----6--,RL,,1833N 06954W,
DO,DOVVA,Villa Vásquez,Villa Vasquez,15,--3-----,RL,,1945N 07127W,
