country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
DZ,DZAZR,Adrar,Adrar,1,---4----,RQ,,2752N 00017W,
DZ,DZQBP,Ain Beida,Ain Beida,4,--3-----,RL,,3156N 00635E,
DZ,DZA8L,Ain Benian,Ain Benian,42,--3-----,RL,,3648N 00255E,
DZ,DZAIN,'Aïn Benian,'Ain Benian,42,-----6--,RL,,3648N 00255E,
DZ,DZADA,Aïn Defla,Ain Defla,44,--3-----,RL,,3616N 00158E,
DZ,DZBUJ,Ain Eddis Apt/Bou Saada,Ain Eddis Apt/Bou Saada,28,---4----,RL,,3519N 00421E,
DZ,DZQEH,'Ain El Hadjar,'Ain El Hadjar,,--3-----,RL,,3446N 00090E,
DZ,DZQIM,Ain M'Lila,Ain M'Lila,4,--3-----,RL,,3602N 00634E,
DZ,DZATY,Ain Taya,Ain Taya,16,-----6--,RQ,,3647N 00317E,
DZ,DZTCT,Ain Temouchent,Ain Temouchent,,--3-----,RL,,3517N 00108W,
DZ,DZATT,Ain Touta,Ain Touta,5,--3-----,RL,,3522N 00553E,
DZ,DZAZO,Aïn Zaouia,Ain Zaouia,15,--3-----,RL,,3632N 00353E,
DZ,DZALG,Alger (Algiers),Alger (Algiers),16,123456--,AI,,3645N 00303E,
DZ,DZAAE,Annaba (ex Bone),Annaba (ex Bone),,1--4----,AI,,,
DZ,DZAZW,Arzew,Arzew,,123-----,RL,,3552N 00019W,
DZ,DZZZA,Azazga,Azazga,15,--3-----,RL,,3645N 00422E,
DZ,DZEZZ,Bab Ezzouar,Bab Ezzouar,16,--3-----,RL,,3643N 00311E,
DZ,DZBRK,Baraki,Baraki,42,--3-----,RL,,3640N 00305E,
DZ,DZZZB,Barika,Barika,5,--3-----,RL,,3523N 00523E,
DZ,DZBLJ,Batna,Batna,5,---4----,RQ,,3533N 00610E,
DZ,DZCBH,Bechar,Bechar,8,---4----,RQ,,3137N 00213W,
DZ,DZBJA,Bejaia (ex Bougie),Bejaia (ex Bougie),,1--4----,AI,,,
DZ,DZBMR,Beni Mered,Beni Mered,,-----6--,RL,,3631N 00251E,
DZ,DZBSF,Benisaf,Benisaf,,1-------,RL,,3517N 00123W,
DZ,DZZBI,Berriane,Berriane,,---4----,RL,,3250N 00346E,
DZ,DZBHA,Bethioua,Bethioua,31,1-------,RL,,3548N 00016W,
DZ,DZBTA,Bethoula,Bethoula,,1-------,AI,,,
DZ,DZQBT,Bettioua,Bettioua,31,--3-----,RL,,3548N 00015W,
DZ,DZD2H,Bir Mourad Rais,Bir Mourad Rais,16,--3-----,RL,,3644N 00302E,
DZ,DZBIM,Bir Mourad Raïs,Bir Mourad Rais,42,--3-----,RL,,3644N 00302E,
DZ,DZG2H,Birkhadem,Birkhadem,16,--3-----,RL,,3643N 00303E,
DZ,DZBIR,Birtouta,Birtouta,42,--3-----,RL,,3639N 00300E,
DZ,DZBSK,Biskra,Biskra,,---4----,RQ,,3451N 00544E,
DZ,DZBLD,Blida,Blida,9,-----6--,RL,,3628N 00249E,
DZ,DZBMW,Bordj Badj Mokthar,Bordj Badj Mokthar,,---4----,RQ,,,
DZ,DZBOR,Bordj Bou Arreridj,Bordj Bou Arreridj,34,-23--6--,RL,,3604N 00446E,
DZ,DZBEK,Bordj El Kiffan,Bordj El Kiffan,16,--3-----,RL,,3644N 00311E,
DZ,DZBOM,Bordj Menaïel,Bordj Menaiel,,-23-----,RL,,3644N 00342E,
DZ,DZZAB,Bou Kadir,Bou Kadir,2,--3-----,RL,,3604N 00107E,
DZ,DZQFD,Boufarik,Boufarik,9,--3-----,RL,,3633N 00252E,
DZ,DZBNN,Bouinan,Bouinan,9,--3-----,RL,,3631N 00259E,
DZ,DZBIU,Bouinane,Bouinane,9,1-3-----,RQ,,,
DZ,DZQBZ,Bouira,Bouira,,--3-----,RL,,3623N 00354E,
DZ,DZBOU,Boumerdas,Boumerdas,35,--3-----,RL,,3646N 00328E,
DZ,DZCAN,Canastel,Canastel,31,--3-----,RL,,3545N 00033W,
DZ,DZCEA,Cheghoum-el-Aid,Cheghoum-el-Aid,43,--3-----,RL,,3609N 00609E,
DZ,DZF4U,Cheraga,Cheraga,16,--3-----,RL,,3646N 00257E,
DZ,DZCHE,Cherchell,Cherchell,,1-3-----,RL,,3636N 00212E,
DZ,DZCTN,Chetouane,Chetouane,13,--3-----,RL,,3455N 00117W,
DZ,DZCHF,Chiffa,Chiffa,9,-----6--,RL,,3627N 00244E,
DZ,DZCLF,Chlef,Chlef,2,--3--6--,RL,,3609N 00120E,
DZ,DZCOL,Collo,Collo,,1-3-----,RL,,3701N 00633E,
DZ,DZCZL,Constantine,Constantine,,---4----,AI,,,
DZ,DZDEB,Dar el Beïda,Dar el Beida,16,--3-----,RL,,3642N 00312E,
DZ,DZDEL,Dellys,Dellys,,1-3-----,RL,,3655N 00353E,
DZ,DZDJG,Djanet,Djanet,33,---4----,RQ,,2433N 00928E,
DZ,DZQDJ,Djelfa,Djelfa,17,--3-----,RL,,3440N 00315E,
DZ,DZDJE,Djen-Djen,Djen-Djen,,1-------,AI,,,
DZ,DZDEM,Draa el Mizan,Draa el Mizan,,--3-----,RL,,3632N 00349E,
DZ,DZDRA,Draria,Draria,42,--3-----,RL,,3644N 00300E,
DZ,DZQAS,Ech Cheliff,Ech Cheliff,,--3-----,RL,,3613N 00120E,
DZ,DZEBH,El Bayadh,El Bayadh,32,---4----,RL,,3341N 00100E,
DZ,DZZAE,El Eulma,El Eulma,19,--3-----,RL,,3609N 00541E,
DZ,DZELG,El Golea,El Golea,,---4----,RQ,,,
DZ,DZELH,El Hamiz,El Hamiz,16,-----6--,RL,,3644N 00314E,
DZ,DZQLK,El Kala,El Kala,36,--3-----,RL,,3645N 00826E,
DZ,DZORX,El Kerma,El Kerma,31,--3-----,RL,,3536N 00034W,
DZ,DZEMD,El Madania,El Madania,16,--3-----,RL,,3645N 00304E,
DZ,DZEMR,El Merdja,El Merdja,34,-----6--,RL,,3600N 00422E,
DZ,DZELM,El Milia,El Milia,25,--3-----,RL,,3622N 00635E,
DZ,DZEMU,El Mouradia,El Mouradia,16,-----6--,RL,,3645N 00303E,
DZ,DZELU,El Qued,El Qued,39,---4----,RQ,,3319N 00652E,
DZ,DZSEN,Es Senia,Es Senia,31,-----6--,RL,,3539N 00038W,
DZ,DZGBB,Gara Djebilet,Gara Djebilet,37,---4----,RL,,2609N 00721E,
DZ,DZGHA,Ghardaïa,Ghardaia,,1-34----,RL,,3229N 00340E,
DZ,DZGHZ,Ghazaouet,Ghazaouet,13,123-----,RL,QVX,3506N 00151W,
DZ,DZGLL,Guellal,Guellal,19,-----6--,RQ,,3602N 00520E,
DZ,DZQGE,Guelma,Guelma,24,--3-----,RL,,3628N 00726E,
DZ,DZHAE,Hammedi,Hammedi,35,--3-----,RL,,3640N 00316E,
DZ,DZHME,Hassi Messaoud,Hassi Messaoud,,--34----,RL,,3140N 00608E,
DZ,DZRME,Hassi R'Mel,Hassi R'Mel,3,--3-----,RL,,3255N 00316E,
DZ,DZHDR,Hydra,Hydra,16,-----6--,RQ,,3645N 00301E,
DZ,DZVVZ,Illizi,Illizi,33,---4----,RL,,2628N 00828E,
DZ,DZIAM,In Amenas,In Amenas,33,---4----,RQ,,2803N 00938E,
DZ,DZINZ,In Salah,In Salah,11,---4----,RQ,,2715N 00231E,
DZ,DZINA,I-N-Amenas,I-N-Amenas,33,--3--6--,RL,,2803N 00933E,
