country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
EC,ECATF,Ambato,Ambato,,--34----,RL,,,
EC,ECARE,Arenillas,Arenillas,O,--3-----,RL,,0333S 08004W,
EC,ECATI,Atuntaqui,Atuntaqui,I,--3-----,RL,,0020N 07813W,
EC,ECBBA,Baba,Baba,R,--3-----,RL,,0147S 07940W,
EC,ECBYO,Babahoyo,Babahoyo,R,--3-----,RQ,,,
EC,ECBHA,Bahía de Caráquez,Bahia de Caraquez,M,1--4----,AI,,0033S 08030W,
EC,ECEBL,Balao,Balao,,1-------,AI,,,
EC,ECBAL,Balzar,Balzar,G,--3-----,RL,,0122S 07954W,
EC,ECBAS,Banos,Banos,T,--3-----,RL,,0124S 07825W,
EC,ECBLI,Bartolome Island,Bartolome Island,W,1-------,RQ,,0017S 09033W,
EC,ECEQB,Bucay,Bucay,G,-----6--,RL,,0241S 07940W,
EC,ECBUF,Buena Fe,Buena Fe,R,--3-----,RL,,0054S 07929W,
EC,ECCAT,Caleta Tagus,Caleta Tagus,W,1-------,RL,,0015S 09122W,
EC,ECCNT,Canuto,Canuto,M,--3-----,RL,,0048S 08007W,
EC,ECCTM,Catarama,Catarama,R,--3-----,RL,,0135S 07928W,
EC,ECCAY,Cayambe,Cayambe,P,--3-----,RL,,0030N 07808W,
EC,ECCRT,Cerecita,Cerecita,G,--3-----,RL,,0221S 08017W,
EC,ECCHM,Chambo,Chambo,H,-----6--,RL,,0144N 07835W,
EC,ECCHA,Chanduy,Chanduy,G,--3-----,RL,,0225S 08040W,
EC,ECEQC,Chone,Chone,M,-----6--,RL,,0041S 08006W,
EC,ECCHG,Chongón,Chongon,G,--3--6--,RL,,0214S 08004W,
EC,ECCLE,Clementina,Clementina,R,--3-----,AM,,0147S 07928W,
EC,ECOCC,Coca,Coca,N,1-34-6--,RQ,,0029S 07658W,
EC,ECCMM,Coronel Marcelino Mariduena,Coronel Marcelino Mariduena,G,--3-----,RL,,0212S 07925W,
EC,ECCTI,Cotacachi,Cotacachi,I,-----6--,RL,,0018N 07816W,
EC,ECCUE,Cuenca,Cuenca,A,--34----,AI,,0253S 07859W,
EC,ECCHI,Cumandá,Cumanda,H,--3-----,RL,,0212S 07908W,
EC,ECCUA,Cumbaya,Cumbaya,P,--3-----,RL,,0012S 07826W,
EC,ECDAL,Daule,Daule,,--3-----,RQ,,0150S 07956W,
EC,ECDUN,Durán,Duran,G,1-------,RL,,0212S 07950W,
