country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
EE,EEAAR,Aaravete,Aaravete,52,--3-----,RL,,5908N 02545E,
EE,EEAEB,Aasmäe,Aasmae,37,-----6--,RL,,5914N 02430E,
EE,EEAAV,Aaviku,Aaviku,37,--3-----,RL,,,
EE,EEABJ,Abaja Sadam,Abaja Sadam,74,1-------,AA,,5822N 02201E,
EE,EEAPL,Abja-Paluoja,Abja-Paluoja,84,--3-----,RL,,5807N 02523E,
EE,EEABR,Abruka,Abruka,74,1-------,AA,,5810N 02232E,
EE,EEADV,Admirali Väikesadam,Admirali Vaikesadam,68,1-------,AA,,5832N 02341E,
EE,EEAEN,Aegna,Aegna,37,1-------,AA,,5934N 02445E,
EE,EEAHJ,Ahja,Ahja,64,--3-----,RL,,5812N 02704E,
EE,EEAHO,Ahoi Jõesadam,Ahoi Joesadam,74,1-------,AA,,5813N 02222E,
EE,EEALJ,Alajõe,Alajoe,45,0-------,AA,,5901N 02726E,
EE,EEAKS,Alajõe Kalasadam,Alajoe Kalasadam,45,1-------,AA,,5900N 02726E,
EE,EEAEC,Alatskivi,Alatskivi,79,-----6--,RL,,5835N 02708E,
EE,EEALU,Alliku,Alliku,37,-23-----,AA,,5921N 02433E,
EE,EEAMB,Ambla,Ambla,52,--3-----,RL,,5911N 02550E,
EE,EEANT,Antsla,Antsla,87,--3-----,RL,,5750N 02631E,
EE,EEARD,Ardu,Ardu,37,--3-----,RL,,5906N 02522E,
EE,EEARK,Arkna,Arkna,45,--3-----,RL,,5934N 02622E,
EE,EEARU,Aruküla,Arukula,37,--3-----,RQ,,5911N 02428E,
EE,EEASE,Aseri,Aseri,45,1-3-----,RL,,5927N 02652E,
EE,EEASV,Aseri Väikesadam,Aseri Vaikesadam,60,1-------,AA,,5927N 02652E,
EE,EEATL,Atla,Atla,74,1-------,AA,,5818N 02154E,
EE,EEAUD,Audru,Audru,68,--3-----,RL,,5824N 02422E,
EE,EEBEK,Bekkeri,Bekkeri,37,1------B,AA,,5927N 02439E,
EE,EEDIR,Dirhami,Dirhami,56,1------B,AA,,5913N 02330E,
EE,EEDOB,Doberani,Doberani,68,0-------,AA,,5823N 02422E,
EE,EEEBA,Ebavere,Ebavere,59,--3-----,RQ,,5907N 02614E,
EE,EEEIS,Eisma,Eisma,60,1-------,RL,,5934N 02618E,
EE,EEELV,Elva,Elva,79,--3-----,RL,,5814N 02625E,
EE,EEERV,Ervu,Ervu,79,-----6--,RL,,,
EE,EEHNE,Haabneeme,Haabneeme,37,--3-----,RL,,5931N 02448E,
EE,EEHAA,Haapsalu,Haapsalu,56,123-----,RL,,5856N 02332E,
EE,EEHVV,Haapsalu Veskiviigi,Haapsalu Veskiviigi,56,1-------,AA,,5858N 02332E,
EE,EEHLD,Haldi,Haldi,39,1-------,AA,,5848N 02227E,
EE,EEHLA,Halinga,Halinga,68,--3-----,RL,,5835N 02432E,
EE,EEHJA,Haljala,Haljala,60,--3-----,RL,,5925N 02616E,
EE,EEHAK,Hänike,Hanike,,-----6--,RL,,,
EE,EEHAN,Hanila,Hanila,56,--3-----,RL,,5836N 02333E,
EE,EEHRS,Hara Sadam,Hara Sadam,37,1-------,AA,,5935N 02537E,
EE,EEHRA,Hara Sadam,Hara Sadam,56,1-------,AA,,5905N 02332E,
EE,EEHRJ,Harju,Harju,39,--3-----,RL,,5844N 02238E,
