country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
EG,EGTRC,10th of Ramadan City,10th of Ramadan City,,--3--6--,RL,,3018N 03145E,
EG,EGSOC,6th October,6th October,GZ,--3--6--,RL,,2949N 03103E,
EG,EGAGN,Abu Ghosoun,Abu Ghosoun,,--3-----,RL,,,
EG,EGAKI,Abu Kir,Abu Kir,,1-------,RQ,,,
EG,EGAUE,Abu Rudeis,Abu Rudeis,,1--4----,AI,,,
EG,EGABS,Abu Simbel,Abu Simbel,,---4----,AI,,,
EG,EGAZA,Abu Zenimah,Abu Zenimah,JS,1-------,RL,,2903N 03306E,
EG,EGAIS,Ain Sukhna,Ain Sukhna,,1-------,RQ,,,
EG,EGADA,Al Adabiyah,Al Adabiyah,,123-----,RL,,2952N 03228E,
EG,EGDBB,Al Alamein International Apt/Daaba City,Al Alamein International Apt/Daaba City,MT,---4----,RL,,3055N 02827E,
EG,EGABE,Al Bahr El Ahmer,Al Bahr El Ahmer,,-----6--,RQ,,,
EG,EGYYU,Al Fayyum,Al Fayyum,,--3-----,RQ,,2918N 03050E,
EG,EGAHM,Al Haram,Al Haram,GZ,-----6--,RL,,2927N 03110E,
EG,EGAGZ,Al Jizah (Giza),Al Jizah (Giza),GZ,1-3-----,RL,,3000N 03113E,
EG,EGALM,Al Mansurah,Al Mansurah,DK,-23-----,RL,,3102N 03122E,
EG,EGQEM,Al Manzilah,Al Manzilah,DK,--3-----,RL,,3109N 03156E,
EG,EGMIN,Al Minya,Al Minya,GZ,1----6--,RQ,,2944N 03117E,
EG,EGAMA,Al Monofiya,Al Monofiya,,-----6--,RQ,,,
EG,EGELK,Al Qantarah El Sharqiyya,Al Qantarah El Sharqiyya,SIN,--3-----,RL,,3051N 03218E,
EG,EGAQU,Al Qusayr,Al Qusayr,BA,1-3-----,RL,,2606N 03417E,a.k.a El Kosseir
EG,EGAWE,Al Wadi El Gedeed,Al Wadi El Gedeed,,-----6--,RQ,,,
EG,EGALA,Almazah,Almazah,C,--3-----,RL,,3005N 03121E,
EG,EG6HB,An Nubariyah,An Nubariyah,BH,--3-----,RL,,3039N 03004E,
EG,EGEEG,An Nukhaylah,An Nukhaylah,AST,1-------,RQ,,2701N 03121E,
EG,EGSUZ,As Suways (Suez),As Suways (Suez),SUZ,1-3-----,RL,,2958N 03231E,
EG,EGATZ,Assiut,Assiut,,---4----,RQ,,2711N 03111E,
EG,EGASW,Aswan,Aswan,,1--4----,AI,,,
EG,EGAST,Asyut,Asyut,AST,123-----,RL,,2711N 03111E,
EG,EGBGB,Atakka Dry Port,Atakka Dry Port,SUZ,1-------,RL,,3206N 03300E,
EG,EGQZZ,Az Zaqaziq,Az Zaqaziq,SHR,--3-----,RL,,3035N 03130E,
EG,EGBDR,Badr,Badr,C,-----6--,RQ,,3008N 03143E,
EG,EGBAH,Bahtim,Bahtim,,-----6--,RL,,3008N 03116E,
EG,EGBEN,Beni Suef,Beni Suef,,1----6--,RQ,,2904N 03105E,
EG,EGBBS,Bilbays,Bilbays,SHR,--3-----,RL,,3025N 03134E,
EG,EGHBE,Burj al Arab,Burj al Arab,,--34-6--,RL,,3054N 02933E,
EG,EGDAK,Dakhla,Dakhla,,---4----,RL,,2524N 02900E,
EG,EGDMN,Damanhour,Damanhour,,---4----,RQ,,,
EG,EGDAM,Dumyat (Damietta),Dumyat (Damietta),,1234----,RL,QDX,3125N 03149E,
EG,EGBEH,El Beheirah,El Beheirah,,1----6--,RQ,,3065N 03028E,
EG,EGEDK,El Dekheila,El Dekheila,,1-------,RQ,,,
EG,EGEDA,El Dekhela,El Dekhela,,-----6--,RQ,,,
EG,EGALY,El Iskandariya (Alexandria),El Iskandariya (Alexandria),ALX,1--45---,AI,,3111N 02955E,
EG,EGQEK,El Mahalla El Kobra,El Mahalla El Kobra,GH,--3-----,RL,,3059N 03110E,
