country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
ES,ESAXO,A Baiuca,A Baiuca,,1-3-----,RL,,4318N 00830W,
ES,ESA2C,A Cañiza,A Caniza,PO,-----6--,AA,,4212N 00828W,
ES,ESUAR,A Guarda,A Guarda,PO,--3-----,RQ,,4154N 00852W,
ES,ESAM2,A Merca,A Merca,OR,--3-----,RL,,4213N 00754W,
ES,ESAPR,A Pobra de Trives,A Pobra de Trives,,--3-----,RL,,4219N 00718W,
ES,ESAPV,A Pontenova,A Pontenova,LU,--3-----,RL,,4321N 00711W,
ES,ESRVD,A Rua de Valdeorras,A Rua de Valdeorras,OR,--3-----,RL,,4224N 00706W,
ES,ESPTI,A Rua Petin,A Rua Petin,OR,--3-----,RQ,,4222N 00707W,
ES,ESAT8,A Teixeira,A Teixeira,OR,--3-----,RL,,4223N 00728W,
ES,ESA2Z,A Zamorana,A Zamorana,OR,--3-----,AA,,4218N 00748W,
ES,ESJAB,Abadiano Celayeta,Abadiano Celayeta,BI,-----6--,RL,,4309N 00236W,
ES,ESABA,Abadiano-Zelaieta,Abadiano-Zelaieta,BI,-23-----,RL,,4309N 00236W,
ES,ESABL,Ábalos,Abalos,,--3-----,RL,,4234N 00242W,
ES,ESAJA,Abanilla,Abanilla,,--3-----,RQ,,,
ES,ESAN9,Abanqueiro,Abanqueiro,C,--3-----,RL,,4239N 00853W,
ES,ESABH,Abanto,Abanto,,1-------,RQ,,4319N 00430W,
ES,ESZZA,Abanto y Ciérvana-Abanto Zierbena,Abanto y Ciervana-Abanto Zierbena,BI,--3-----,RL,,4318N 00419W,
ES,ESAEB,Abarán,Abaran,,--3-----,RL,,3812N 00124W,
ES,ESNVV,Abartzuza,Abartzuza,,-----6--,AA,,4243N 00201W,
ES,ESGON,Abegondo,Abegondo,C,--3-----,RL,,4313N 00817W,
ES,ESABJ,Abejar,Abejar,SO,--3-----,RL,,4148N 00246W,
ES,ESDY7,Abeleda,Abeleda,OR,--3-----,RL,,4224N 00727W,
ES,ESAIB,Abenójar,Abenojar,CR,--3-----,RL,,3853N 00421W,
ES,ESA3N,Aberin,Aberin,,--3-----,RL,,4237N 00200W,
ES,ESNZ3,Ablitas,Ablitas,,--3-----,RL,,4158N 00138W,
ES,ESAB9,Abono,Abono,O,--3-----,RL,,4334N 00543W,
ES,ESABE,Abrera,Abrera,B,--3-----,RL,,4131N 00153E,
ES,ESABR,Abronigal,Abronigal,,0-------,RQ,,,
ES,ESCEB,Acebo,Acebo,CC,--3-----,RQ,,4012N 00643W,
ES,ESANX,Acerinox,Acerinox,,0-------,RQ,,,
ES,ESACH,Aceuchal,Aceuchal,BA,1-------,RQ,,,
ES,ESACU,Acula,Acula,GR,--3-----,RQ,,3705N 00348W,
ES,ESUES,Adahuesca,Adahuesca,HU,--3-----,RL,,4209N 00010W,
ES,ESA8C,Adamuz,Adamuz,CO,--3-----,RL,,3802N 00431W,
ES,ESAEJ,Adeje,Adeje,TF,--3-----,RL,,2807N 01643W,
ES,ESMUZ,Ademuz,Ademuz,V,--3-----,RQ,,4004N 00117W,
ES,ESVV5,Ador,Ador,V,-----6--,AA,,3855N 00013W,
ES,ESADR,Adra,Adra,,1-3-----,RL,,3645N 00301W,
ES,ESAD8,Adrada de Aza,Adrada de Aza,BU,--3-----,RL,,4136N 00349W,
ES,ESADU,Aduna,Aduna,SS,-23--6--,RL,,4316N 00203W,
ES,ESATZ,Adzaneta de Albaida,Adzaneta de Albaida,V,--3-----,RQ,,3850N 00029W,
ES,ESAGA,Agaete,Agaete,GC,1-------,AA,,2807N 01542W,
ES,ESACO,Agoncillo,Agoncillo,,--3-----,RQ,,,
ES,ESAGO,Agost,Agost,V,--3-----,RL,,3826N 00038W,
ES,ESAGR,Agramunt,Agramunt,L,--3-----,RL,,4147N 00105E,
ES,ESGRE,Agreda,Agreda,SO,--3-----,RQ,,4151N 00156W,
ES,ESAES,Agres,Agres,V,--3-----,RQ,,3846N 00030W,
ES,ESAAG,Agua Amarga,Agua Amarga,,--3-----,RL,,,
ES,ESAGE,Aguadulce,Aguadulce,AL,-----6--,RQ,,3649N 00234W,
ES,ESARD,Aguarda,Aguarda,,--3--6--,RL,,4317N 00718W,
ES,ESAUR,Aguarón,Aguaron,Z,--3-----,RL,,4120N 00116W,
ES,ESUDO,Agudo,Agudo,CR,--3-----,RQ,,3859N 00452W,
ES,ESACM,Aguilar de Campóo,Aguilar de Campoo,P,--3-----,RL,,4248N 00415W,
ES,ESADF,Aguilar de la Frontera,Aguilar de la Frontera,,--3-----,RL,,3731N 00439W,
ES,ESA6U,Aguilar del Rio Alhama,Aguilar del Rio Alhama,LO,-----6--,RL,,4157N 00200W,
ES,ESAGU,Aguilas,Aguilas,,1-------,RL,,3724N 00135W,
ES,ESAGS,Agüimes,Aguimes,GC,--3-----,RL,,2754N 01527W,
ES,ESAGI,Aguinaga,Aguinaga,,--3-----,RL,,4313N 00219W,
ES,ESAGT,Agullent,Agullent,,0-------,RQ,,,
ES,ESQAG,Agurain,Agurain,VI,--3--6--,RL,,4251N 00223E,
ES,ESAHL,Ahigal,Ahigal,CC,--3-----,RQ,,4011N 00611W,
ES,ESAHJ,Ahín,Ahin,,--3-----,RL,,3954N 00020W,
ES,ESAI8,Aia,Aia,SS,--3-----,RL,,4314N 00208W,
ES,ESAMF,Aielo de Malferit,Aielo de Malferit,V,--3-----,RL,,3852N 03531W,
ES,ESAAR,Aiguafreda,Aiguafreda,,-23-----,RL,,4146N 00215E,
ES,ESAVA,Aiguaviva,Aiguaviva,GI,--3-----,RL,,4156N 00246E,
ES,ESROO,Ainsa,Ainsa,HU,--3-----,RL,,4224N 00009E,
ES,ESAZN,Ainzón,Ainzon,Z,--3-----,RL,,4149N 00131W,
ES,ESAZB,Aizarnazábal,Aizarnazabal,,--3-----,RL,,4316N 00214W,
ES,ESAII,Aizoáin,Aizoain,,--3-----,RL,,4251N 00138W,
ES,ESAJV,Ajalvir,Ajalvir,M,--3-----,RL,,4032N 00329W,
ES,ESAJM,Ajamil,Ajamil,LO,--3-----,RL,,4210N 00229W,
ES,ESJAO,Ajo,Ajo,S,--3-----,RQ,,4329N 00337W,
ES,ESAJF,Ajofrin,Ajofrin,TO,--3-----,RQ,,3945N 00359W,
ES,ESAIP,Alacuas,Alacuas,,0-------,RQ,,,
ES,ESAQS,Alacuás,Alacuas,,--3-----,RL,,3927N 00027W,
ES,ESAJO,Alaejos,Alaejos,VA,--3-----,RQ,,4119N 00513W,
ES,ESAAN,Alagón,Alagon,,--3-----,RL,,4146N 00107W,
ES,ESGTO,Alagon del Caudillo,Alagon del Caudillo,CC,--3-----,RQ,,3959N 00616W,
ES,ESAM3,Alameda,Alameda,MA,--3-----,RL,,3712N 00439W,
ES,ESAL8,Alameda de Cervera,Alameda de Cervera,CR,--3-----,RL,,3927N 00313W,
ES,ESADS,Alameda de La Sagra,Alameda de La Sagra,TO,1-------,RQ,,,
ES,ESNAG,Alange,Alange,BA,--3-----,RL,,3847N 00615W,
ES,ESRLA,Alar del Rey,Alar del Rey,P,--3-----,RQ,,4240N 00418W,
ES,ESAFN,Alarcón,Alarcon,,--3-----,RL,,3933N 00205W,
ES,ESORL,Alaro,Alaro,PM,-----6--,RQ,,3942N 00247E,
ES,ESAVQ,Alava,Alava,O,--3--6--,RQ,,4322N 00612W,
ES,ESALY,Alayor,Alayor,PM,--3-----,RQ,,3956N 00408E,
ES,ESTQI,Alba De Tormes,Alba De Tormes,SA,--3-----,RL,,4049N 00531W,
ES,ESATM,Alba Tormes,Alba Tormes,SA,--3-----,RQ,,4049N 00531W,
ES,ESALB,Albacete,Albacete,AB,-23-----,RL,,3859N 00152W,
ES,ESAGL,Albages,Albages,L,--3-----,RL,,4127N 00045E,
ES,ESAHF,Albaida,Albaida,,--3-----,RQ,,,
ES,ESAA2,Albaida del Aljarafe,Albaida del Aljarafe,SE,--3-----,AA,,3726N 00610W,
ES,ESAJB,Albal,Albal,,0-------,RQ,,,
ES,ESAAL,Albala,Albala,CC,--3-----,RQ,,3915N 00611W,
ES,ESAEI,Albalat de la Ribera,Albalat de la Ribera,,--3-----,RL,,3912N 00023W,
ES,ESAJT,Albalat de Segart,Albalat de Segart,,--3-----,RL,,3942N 00020W,
ES,ESAJL,Albalat dels Sorells,Albalat dels Sorells,,--3-----,RL,,3932N 00021W,
ES,ESACD,Albalate de Cinca,Albalate de Cinca,HU,--3-----,RL,,4144N 00009E,
ES,ESADO,Albalate del Arzobispo,Albalate del Arzobispo,TE,--3-----,RL,,4107N 00031W,
ES,ESALH,Albanchez,Albanchez,AL,--3-----,RQ,,3717N 00211E,
ES,ESAL2,Albarellos,Albarellos,OR,--3-----,RL,,4224N 00811W,
ES,ESACY,Albarracín,Albarracin,,--3-----,RL,,4024N 00127W,
ES,ES3C2,Albatarrech,Albatarrech,L,--3-----,RL,,4134N 00036E,
ES,ESAJE,Albatera,Albatera,,--3-----,RQ,,,
ES,ESZBL,Albelda de Iregua,Albelda de Iregua,LO,-----6--,RL,,4222N 00228W,
ES,ESABD,Albendin,Albendin,CO,--3-----,RQ,,3740N 00415W,
ES,ESDCL,Alberche del Caudillo,Alberche del Caudillo,TO,--3-----,RL,,3954N 00455W,
ES,ESZAA,Alberic,Alberic,V,-----6--,RL,,3907N 00031W,
ES,ESAJQ,Alberique,Alberique,,--3-----,RQ,,,
ES,ESALE,Alberite,Alberite,LO,--3-----,RL,,4224N 00226W,
ES,ESAB3,Albeta,Albeta,Z,--3-----,RL,,4150N 00130W,
ES,ESABI,Albí,Albi,L,--3-----,RL,,4125N 00056E,
ES,ESAAA,Albiztur,Albiztur,SS,--3-----,RL,,4308N 00208W,
ES,ESAQC,Albocácer,Albocacer,,--3-----,RL,,4021N 00002E,
ES,ESAB2,Albolodúy,Alboloduy,AL,--3-----,RL,,3702N 00237W,
ES,ESACB,Albolote,Albolote,,--3-----,RQ,,,
ES,ESAQH,Alborache,Alborache,,0-------,RQ,,,
ES,ESALR,Alboraya,Alboraya,,--3-----,RQ,,,
ES,ESAL3,Alborea,Alborea,AB,--3-----,RL,,3917N 00123W,
ES,ESZBU,Albox,Albox,AL,-----6--,RL,,3723N 00208W,
ES,ESAIU,Albudeite,Albudeite,,--3-----,RQ,,,
ES,ESAXC,Albuixech,Albuixech,,0-------,RQ,,,
ES,ESABQ,Alburqueque,Alburqueque,BA,-----6--,RQ,,3913N 00700W,
ES,ESBBO,Alcabon,Alcabon,TO,--3-----,RL,,4000N 00422W,
ES,ESAQE,Alcácer,Alcacer,,--3-----,RL,,3922N 00026W,
ES,ESAQI,Alcalá de Chivert,Alcala de Chivert,CS,--3-----,RL,,4018N 00014E,
