country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
ET,ETADD,Addis Ababa,Addis Ababa,,---45---,AI,,,
ET,ETAMH,Arba Mintch,Arba Mintch,,---4----,AI,,,
ET,ETASO,Asosa,Asosa,,---4----,AI,,,
ET,ETALK,Assella,Assella,OR,--3-----,RL,,0757N 03908E,
ET,ETAWA,Awassa,Awassa,,---4----,AI,,,
ET,ETAXU,Axum,Axum,,---4----,AI,,,
ET,ETBJR,Bahar Dar,Bahar Dar,,---4----,AI,,,
ET,ETBED,Bedele,Bedele,OR,--3-----,RL,,0827N 03621E,
ET,ETBEI,Beica,Beica,,---4----,RQ,,0923N 03432E,
ET,ETBCY,Bulchi,Bulchi,,---4----,AI,,,
ET,ETDBM,Debra Marcos,Debra Marcos,,---4----,AI,,,
ET,ETDBT,Debra Tabor,Debra Tabor,,---4----,RQ,,1151N 03800E,
ET,ETDEM,Dembidollo,Dembidollo,,---4----,AI,,,
ET,ETDSE,Dessie,Dessie,,---4----,AI,,,
ET,ETDIR,Dire Dawa,Dire Dawa,,---45---,AI,,,
ET,ETDAD,Dolo Odo,Dolo Odo,SO,--3-----,RL,,0411N 04204E,
ET,ETSEM,Dubti,Dubti,AF,-----6--,RL,,1144N 04105E,
ET,ETDKM,Dukem,Dukem,OR,--3-----,RL,,0848N 03854E,
ET,ETGMB,Gambela,Gambela,,---4----,AI,,,
ET,ETETE,Genda Wuha,Genda Wuha,,---4----,RQ,,,
ET,ETGNN,Ghinnir,Ghinnir,,---4----,RQ,,0715N 04043E,
ET,ETGIB,Gibe,Gibe,OR,--3-----,RL,,0745N 03711E,
ET,ETGZA,Giza,Giza,TI,--3-----,RL,,1341N 03930E,
ET,ETGOB,Goba,Goba,,---4----,AI,,,
ET,ETGDE,Gode,Gode,,---4----,RQ,,0554N 04337E,
ET,ETGDQ,Gondar,Gondar,,---4----,AI,,,
ET,ETGOR,Gore,Gore,,---4----,AI,,,
ET,ETHAR,Harar,Harar,HA,--3-----,RL,,0918N 04207E,
ET,ETHRT,Hartishek,Hartishek,SO,--3-----,AM,,0909N 04321E,
ET,ETHOG,Holeta Genet,Holeta Genet,OR,--3-----,RL,,0903N 03830E,
ET,ETHUE,Humera,Humera,,---4----,AI,,,
ET,ETJIJ,Jijiga,Jijiga,,--3-----,RQ,,0921N 04248E,
ET,ETJIM,Jimma,Jimma,,---4----,AI,,,
ET,ETBCO,Jinka,Jinka,,---4----,RQ,,,
ET,ETABK,Kabri Dar,Kabri Dar,,---4----,RQ,,0644N 04415E,
ET,ETLFO,K'elafo,K'elafo,,---4----,AI,,0537N 04408E,
ET,ETOKA,Kembolcha,Kembolcha,OR,-----6--,RL,,0730N 04111E,
ET,ETKOA,Kombolcha,Kombolcha,AM,--3-----,RL,,1105N 03944E,
ET,ETLLI,Lalibela,Lalibela,,---4----,RQ,,1202N 03902E,
ET,ETMQX,Makale,Makale,,---4----,AI,,,
ET,ETMKS,Mekane Selam,Mekane Selam,,---4----,AI,,,
ET,ETMEK,Mekele,Mekele,TI,--3-----,RL,,1329N 03928E,
ET,ETMZX,Mena,Mena,,---4----,AI,,,
ET,ETMTF,Mizan Teferi,Mizan Teferi,,---4----,AI,,,
ET,ETMOJ,Mojo,Mojo,OR,-----6--,RL,,0836N 03907E,
ET,ETMDP,Mojo Dry Port,Mojo Dry Port,OR,-----6--,RL,,0834N 03908E,
ET,ETOTA,Mot'a,Mot'a,,---4----,AI,,1105N 03752E,
ET,ETMYS,Moyale,Moyale,,---4----,RQ,,0328N 03905E,
ET,ETMUJ,Mui,Mui,,---4----,AI,,,
ET,ETNZR,Nazret,Nazret,,--3-----,RL,,0833N 03916E,
ET,ETW8N,Nefas Mewch'a,Nefas Mewch'a,AM,--3-----,RL,,1144N 03828E,
ET,ETEGL,Neghelli,Neghelli,,---4----,RQ,,0516N 03943E,
ET,ETPGN,Pugnido,Pugnido,GA,--3-----,AM,,0738N 03415E,
ET,ETSEB,Sebeta,Sebeta,OR,--3-----,RL,,0855N 03837E,
ET,ETS3M,Semera,Semera,AF,--3-----,RL,,1147N 04100E,
ET,ETS7O,Shashemene,Shashemene,OR,--3-----,RL,,0712N 03836E,
ET,ETSRE,Shire,Shire,TI,--3-----,RL,,1408N 03824E,
ET,ETSXU,Soddu,Soddu,,---4----,AI,,,
ET,ETSOD,Sodo,Sodo,,--3-----,RL,,0835N 03549E,
ET,ETTIE,Tippi,Tippi,,---4----,AI,,,
ET,ETWAC,Waca,Waca,,---4----,AI,,,
