country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
FI,FIAAN,Äänekoski,Aanekoski,8,--3-----,AF,,,
FI,FIAVS,Aavasaksa,Aavasaksa,10,#NAME?,AC,,,
FI,FITKU,Åbo (Turku),Abo (Turku),19,1-34----,AI,,6027N 02217E,
FI,FIATS,Äetsä,Aetsa,11,-23-----,RL,,6117N 02241E,
FI,FIATI,Ähtäri,Ahtari,,--3-----,RQ,,,
FI,FIAJO,Ajos,Ajos,,1-------,RL,,6540N 02434E,
FI,FILSA,Akaa,Akaa,11,--3-----,RL,,6110N 02352E,
FI,FIAPK,Äkäslompolo,Akaslompolo,10,--3-----,AA,,6736N 02409E,
FI,FIAJI,Alajärvi,Alajarvi,3,--3-----,AF,,6300N 02348E,
FI,FIFAB,Alastaro,Alastaro,19,-----6--,RL,,6057N 02251E,
FI,FIALE,Alaveteli,Alaveteli,14,--3-----,RL,,6342N 02320E,
FI,FIALA,Alavieska,Alavieska,,--3-----,RL,,6410N 02418E,
FI,FIALV,Alavus,Alavus,3,--3-----,AF,,,
FI,FIAHL,Alholmen,Alholmen,,1-------,RL,,6342N 02242E,
FI,FIANK,Anjala,Anjala,9,--3-----,AA,,6041N 02650E,
FI,FIANJ,Anjalankoski,Anjalankoski,,--3-----,RL,,6045N 02649E,
FI,FIANT,Antskog,Antskog,18,--3-----,RL,,6009N 02334E,
FI,FIATL,Anttila Oy,Anttila Oy,17,--3-----,RL,,6129N 02345E,
FI,FIATT,Anttola,Anttola,4,--3-----,AA,,6135N 02739E,
FI,FIKRI,Arkkukari,Arkkukari,15,--3-----,RL,,6436N 02424E,
FI,FIAOK,Arrakoski,Arrakoski,16,--3-----,RL,,6124N 02511E,
FI,FIAKK,Asikkala,Asikkala,4,1----6--,RL,,6203N 02826E,
FI,FIASK,Askola,Askola,16,--3-----,AA,,6031N 02536E,
FI,FIAUR,Aura,Aura,19,-23-----,RL,,6036N 02233E,
FI,FIBAS,Bäcksbacka,Backsbacka,12,--3-----,RL,,6327N 02307E,
FI,FIBAR,Baronsalmi,Baronsalmi,,1-------,RL,,5958N 02352E,
FI,FIBEN,Bennäs,Bennas,12,--3-----,RQ,,6336N 02248E,
FI,FIPIR,Birkala (Pirkkala),Birkala (Pirkkala),11,#NAME?,AC,,6128N 02338E,
FI,FIBJO,Björkholma,Bjorkholma,12,--3-----,RL,,6320N 02243E,
FI,FIPOR,Björneborg (Pori),Bjorneborg (Pori),17,1-34----,AI,,6129N 02148E,
FI,FIPRV,Borgå (Porvoo),Borga (Porvoo),18,1-------,AI,,6024N 02540E,
FI,FIBOS,Bosund,Bosund,12,--3-----,RL,,6349N 02252E,
FI,FIRAA,Brahestad (Raahe),Brahestad (Raahe),14,1-------,AI,,6441N 02429E,
FI,FIBRA,Brändö,Brando,1,1-------,AF,,6025N 02103E,
FI,FIBRO,Bromarv,Bromarv,18,1-3-----,RL,,5959N 02302E,
FI,FIDAK,Dagsmark,Dagsmark,12,--3-----,RL,,6214N 02138E,
