country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
FJ,FJBFJ,Ba,Ba,,---4----,AI,,,
FJ,FJBXL,Blue Lagoon,Blue Lagoon,,---4----,AI,,,
FJ,FJBVF,Bua,Bua,,---4----,AI,,,
FJ,FJCST,Castaway,Castaway,,---4----,AI,,,
FJ,FJICI,Cicia,Cicia,,---4----,AI,,,
FJ,FJDEN,Denarau,Denarau,11,1-3--6--,RL,,1746S 17723E,
FJ,FJELL,Ellington Wharf,Ellington Wharf,,1-------,RL,,1721S 17813E,
FJ,FJKDV,Kandavu,Kandavu,,0-------,AI,,,
FJ,FJKXF,Koro Island,Koro Island,,0-------,AI,,,
FJ,FJKVU,Korolevu,Korolevu,,0-------,AI,,,
FJ,FJLBS,Labasa,Labasa,7,1--4----,RL,,1625S 17923E,
FJ,FJLKB,Lakeba,Lakeba,,0-------,AI,,,
FJ,FJLUC,Laucala Is,Laucala Is,,0-------,AI,,,
FJ,FJLTK,Lautoka,Lautoka,1,123-----,RL,,1737S 17727E,
FJ,FJMAL,Malau (Labasa),Malau (Labasa),,1-3-----,RL,,1622S 17923E,
FJ,FJPTF,Malolo Lailai Island,Malolo Lailai Island,W,--3-----,AI,,1747S 17712E,
FJ,FJMNF,Mana Island,Mana Island,,0-------,AI,,,
FJ,FJMFJ,Moala,Moala,,0-------,AI,,,
FJ,FJMOM,Momi,Momi,,123-----,RL,,1755S 17717E,
FJ,FJNAN,Nadi,Nadi,,---45---,AI,,,
FJ,FJNAM,Nambouwalu,Nambouwalu,,1-3-----,RL,,1659S 17842E,
FJ,FJNTA,Natadola,Natadola,,0-------,AI,,,
FJ,FJNGI,Ngau Island,Ngau Island,,0-------,AI,,,
FJ,FJONU,Ono-i-Lau,Ono-i-Lau,E,--3-----,AI,,2040S 17843W,
FJ,FJPHR,Pacific Harbor,Pacific Harbor,,0-------,AI,,,
FJ,FJRBI,Rabi,Rabi,,0-------,AI,,,
FJ,FJRTA,Rotuma,Rotuma,,1--4----,AI,,,
FJ,FJAQS,Saqani,Saqani,,0-------,AI,,,
FJ,FJSVU,Savusavu,Savusavu,,1--4----,AI,,,
FJ,FJSIN,Singatoka,Singatoka,,1-3-----,RL,,1810S 17731E,
FJ,FJSUV,Suva,Suva,12,1--45---,AI,,1808S 17827E,
FJ,FJTVU,Taveuni,Taveuni,,0-------,AI,,,
FJ,FJTTL,Turtle Island,Turtle Island,,0-------,AI,,,
FJ,FJVBV,Vanua Mbalavu,Vanua Mbalavu,E,--3-----,AI,,1714S 17857W,
FJ,FJVAT,Vatia Wharf,Vatia Wharf,,1-3-----,RL,,1724S 17746E,
FJ,FJVAU,Vatukoula,Vatukoula,,0-------,AI,,,
FJ,FJVTF,Vatulele,Vatulele,,0-------,AI,,,
FJ,FJVUD,Vuda,Vuda,,1-------,RL,,1736S 17730E,
FJ,FJWAI,Wairiki,Wairiki,,1-------,RL,,1655S 17840E,
FJ,FJKAY,Wakaya Island,Wakaya Island,,0-------,AI,,,
FJ,FJYAS,Yasawa Island,Yasawa Island,,0-------,AI,,,
