country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
FM,FMTKK,Chuuk (ex Truk),Chuuk (ex Truk),,1--4----,AI,,,
FM,FMEAU,Eauripik Atoll,Eauripik Atoll,YAP,1-------,RQ,,0642N 14304E,
FM,FMFSI,Faisi,Faisi,,1-------,QQ,,,
FM,FMGAF,Gaferut Atoll,Gaferut Atoll,YAP,1-------,RQ,,0914N 14523E,
FM,FMIFA,Ifalik Atoll,Ifalik Atoll,YAP,1-------,RQ,,0714N 14427E,
FM,FMKSA,Kosrae (ex Kusaie),Kosrae (ex Kusaie),,1--4----,AI,,,
FM,FMLUK,Lukunor Atoll,Lukunor Atoll,TRK,1-------,RQ,,0531N 15346E,
FM,FMNGA,Ngatik,Ngatik,PNI,1-------,RQ,,0548N 15716E,
FM,FM9PA,Palau,Palau,YAP,--3-----,RL,,0934N 13809E,
FM,FMPNI,Pohnpei (ex Ponape),Pohnpei (ex Ponape),,1--4----,AI,,,
FM,FMPUL,Pulap Island,Pulap Island,TRK,1-------,RQ,,0735N 14925E,
FM,FMPLW,Puluwat,Puluwat,TRK,1-------,RQ,,0721N 14911E,
FM,FMSAT,Satawal,Satawal,YAP,1-------,RQ,,0721N 14702E,
FM,FMSOR,Sorol Atoll,Sorol Atoll,YAP,1-------,RQ,,0808N 14023E,
FM,FMULI,Ulithi,Ulithi,,0-------,AI,,,
FM,FMWOL,Woleai Atoll,Woleai Atoll,YAP,1-------,RQ,,0721N 14352E,
FM,FMYAP,Yap,Yap,,1--4----,AI,,,
