country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
FO,FOEDI,Eidi,Eidi,,1-------,RQ,,6218N 00705W,
FO,FOFAE,Færøø Islands-Vagar Apt,Faroo Islands-Vagar Apt,,---4----,AI,,,
FO,FOFUG,Fuglafjørdur,Fuglafjordur,,1-------,RL,,,
FO,FOGLY,Glyvrar,Glyvrar,,-23-----,RL,,6208N 00643W,
FO,FOHYV,Hoyvik,Hoyvik,,1-3-----,RL,,6202N 00645W,
FO,FOHUS,Husevig,Husevig,,1-------,RL,,,
FO,FOKVI,Klaksvik,Klaksvik,,1-------,RL,,,
FO,FOKOL,Kollafjördur,Kollafjordur,,1-3-----,RL,,6207N 00653W,
FO,FOLOP,Lopra,Lopra,,1-------,RQ,,,
FO,FONLS,Nólsoy,Nolsoy,,1-3-----,RL,,6201N 00640W,
FO,FONSK,Norÿskáli,Noryskali,,1-------,RL,,6213N 00700W,
FO,FORVK,Runavík,Runavik,,1-3-----,RL,,6207N 00643W,
FO,FOSJO,Sjovar havn,Sjovar havn,,1-------,RQ,,6206N 00645W,
FO,FOSKA,Skáli,Skali,,1-3-----,RL,,6209N 00646W,
FO,FOSMJ,Solmundefjord,Solmundefjord,,1-------,RQ,,,
FO,FOSRV,Sorvágur,Sorvagur,,1-------,RL,,6204N 00718W,
FO,FOSTR,Strendur,Strendur,,1-------,RQ,,6207N 00645W,
FO,FOSYN,Streymnes,Streymnes,,1-3-----,RL,,6212N 00701W,
FO,FOTHO,Thorshavn,Thorshavn,,1-------,RL,,6201N 00646W,
FO,FOTOF,Toftir,Toftir,,1-------,RQ,,6206N 00644W,
FO,FOTOR,Tórshavn,Torshavn,,1----6--,RL,,6210N 06460W,
FO,FOTVO,Tvoroyri,Tvoroyri,,1-------,RL,,6133N 00648W,
FO,FOVID,Vadair,Vadair,,1-------,RQ,,,
FO,FOVAG,Vágur,Vagur,,1-3-----,RL,,6128N 00649W,
FO,FOVAZ,Vágur,Vagur,,--3-----,RL,,6213N 00635W,
FO,FOVBR,Velbastadur,Velbastadur,,-----6--,RL,,6159N 00651W,
FO,FOVES,Vestmanhavn,Vestmanhavn,,1-------,RL,,,
