country,locode,name,name_wo,sub_division,function,status,iata,coordinates,remarks
FR,FRACO,Abancourt,Abancourt,60,--3-----,RL,,4942N 00146E,
FR,FRABB,Abbeville,Abbeville,80,12-4----,AF,XAB,5006N 00150E,
FR,FRWAH,Abeilhan,Abeilhan,34,-----6--,RL,,4327N 00318E,
FR,FRPW4,Abergement-le-Grand,Abergement-le-Grand,39,--3-----,RL,,4655N 00541E,
FR,FRTXY,Abergement-le-Petit,Abergement-le-Petit,39,--3-----,RL,,4654N 00542E,
FR,FRABD,Abidos,Abidos,64,--3-----,RL,,4324N 00037W,
FR,FRAB2,Abilly,Abilly,37,--3-----,RL,,4656N 00043E,
FR,FRAII,Abitain,Abitain,64,-23-----,RL,,4325N 00059W,
FR,FRAOP,Ablaincourt-Pressoir,Ablaincourt-Pressoir,80,--3-----,RL,,4950N 00250E,
FR,FRABL,Ablis,Ablis,78,--3-----,RL,,4831N 00150E,
FR,FRQLO,Ablon,Ablon,14,-23-----,RL,,4924N 00018E,
FR,FRXAB,Abondance,Abondance,74,--3-----,RL,,4616N 00643E,
FR,FR6AB,Abos,Abos,64,--3-----,RL,,4321N 00034W,
FR,FRFR9,Abreschviller,Abreschviller,57,--3-----,RL,,4838N 00706E,
FR,FREBT,Abrest,Abrest,3,-----6--,RL,,4606N 00326E,
FR,FRAZA,Abzac,Abzac,33,--3-----,RL,,4501N 00008W,
FR,FRAKS,Accous,Accous,64,--3-----,RL,,4258N 00036W,
FR,FRA3M,Achenheim,Achenheim,67,--3-----,RL,,4834N 00737E,
FR,FRACH,Achères,Acheres,78,-23-----,RL,,4858N 00204E,
FR,FRA86,Achery,Achery,2,1-3-----,RL,,4941N 00323E,
FR,FRAXV,Acheux-en-Vimeu,Acheux-en-Vimeu,80,--3-----,RL,,5004N 00141E,
FR,FRACI,Achicourt,Achicourt,62,--3-----,RL,,5016N 00246E,
FR,FRJGD,Achiet-le-Grand,Achiet-le-Grand,62,-----6--,RL,,5008N 00247E,
FR,FRAPI,Achiet-le-Petit,Achiet-le-Petit,62,--3-----,RL,,5007N 00245E,
FR,FRHYX,Achy,Achy,60,--3-----,RL,,4934N 00157E,
FR,FRYGY,Acigné,Acigne,35,-----6--,RL,,4808N 00132W,
FR,FRACQ,Acquigny,Acquigny,27,--3-----,RL,,4910N 00111E,
FR,FRAYQ,Acy-Romance,Acy-Romance,8,--3-----,RL,,4930N 00420E,
FR,FRL8N,Adelans,Adelans,70,--3-----,RL,,4742N 00624E,
FR,FRWLL,Adilly,Adilly,79,-----6--,RL,,4641N 00019W,
FR,FRWSN,Adissan,Adissan,34,-----6--,RL,,4332N 00326E,
FR,FRD86,Adriers,Adriers,86,--3-----,RL,,4615N 00047E,
FR,FRAGD,Agde,Agde,34,--3-----,RL,,4319N 00328E,
FR,FRWGL,Agel,Agel,34,-----6--,RL,,4320N 00251E,
FR,FRAGF,Agen,Agen,47,12-4----,AF,,4412N 00037E,
FR,FRAH3,Aghione,Aghione,2B,-----6--,RL,,4206N 00924E,
FR,FRIU4,Agincourt,Agincourt,54,--3-----,RL,,4844N 00614E,
FR,FRAM9,Agmé,Agme,47,--3-----,RL,,4429N 00020E,
FR,FRWGX,Agneaux,Agneaux,50,-----6--,RL,,4907N 00106W,
FR,FRAG2,Agnetz,Agnetz,60,-----6--,RL,,4923N 00223E,
FR,FRADV,Agnières-en-Dévoluy,Agnieres-en-Devoluy,5,--3-----,RL,,4442N 00553E,
FR,FRAXI,Agnin,Agnin,38,--3-----,RL,,4519N 00451E,
FR,FR2AG,Agnos,Agnos,64,--3-----,RL,,4310N 00037W,
FR,FRAGC,Agonac,Agonac,24,--3-----,RL,,4517N 00045E,
FR,FRAOV,Agon-Coutainville,Agon-Coutainville,50,--3-----,RL,,4903N 00134W,
FR,FRADL,Agos-Vidalos,Agos-Vidalos,65,--3-----,RL,,4302N 00004W,
FR,FRZBH,Agris,Agris,16,-----6--,RL,,4547N 00020E,
FR,FRAGU,Aguessac,Aguessac,12,--3-----,RL,,4409N 00306E,
FR,FRAGR,Aguilcourt,Aguilcourt,2,--3-----,RL,,4924N 00358E,
FR,FRP8A,Ahetze,Ahetze,64,--3-----,RL,,4324N 00134W,
FR,FRAHN,Ahun,Ahun,23,-23-----,RL,,4605N 00203E,
FR,FRAYO,Ahuy,Ahuy,21,--3-----,RL,,4722N 00502E,
FR,FRAMH,Aïcirits-Camou-Suhast,Aicirits-Camou-Suhast,64,--3-----,RL,,4320N 00101W,
FR,FRAFF,Aiffres,Aiffres,79,-----6--,RL,,4617N 00025W,
FR,FRAIU,Aiglun,Aiglun,6,--3-----,RL,,4351N 00655E,
FR,FRAGB,Aignan,Aignan,32,--3-----,RL,,4341N 00004E,
FR,FRALD,Aignay-le-Duc,Aignay-le-Duc,21,--3-----,RL,,4739N 00444E,
FR,FRAG6,Aigne,Aigne,34,-----6--,RL,,4320N 00249E,
FR,FRAIW,Aigné,Aigne,72,--3-----,RL,,4804N 00007E,
FR,FRAIG,Aigre,Aigre,16,--3-----,RL,,4554N 00001E,
FR,FRA2D,Aigrefeuille-d'Aunis,Aigrefeuille-d'Aunis,17,--3-----,RL,,4607N 00056W,
FR,FRAFM,Aigrefeuille-sur-Maine,Aigrefeuille-sur-Maine,44,--3-----,RL,,4704N 00124W,
FR,FRAG9,Aigremont,Aigremont,30,-----6--,RL,,4358N 00407E,
FR,FRAXZ,Aiguebelle,Aiguebelle,73,-----6--,RL,,4532N 00618E,
FR,FRAIB,Aigueblanche,Aigueblanche,73,--3-----,RL,,4530N 00631E,
FR,FRAFE,Aiguefonde,Aiguefonde,81,-----6--,RL,,4329N 00220E,
FR,FRAGP,Aigueperse,Aigueperse,69,--3-----,RL,,4617N 00426E,
FR,FRIAU,Aigues-Mortes,Aigues-Mortes,30,--3-----,RL,,4334N 00411E,
FR,FRAGV,Aigues-Vives,Aigues-Vives,11,--3-----,RL,,4314N 00232E,
FR,FRAS2,Aigues-Vives,Aigues-Vives,34,-----6--,RL,,4320N 00249E,
FR,FRAGL,Aiguillon,Aiguillon,47,--3-----,RL,,4418N 00020E,
