country,code,name,name_wo,sub_division,function,status,iata,coordinates,remarks,locode
AD,ALV,Andorra la Vella,Andorra la Vella,,--34-6--,AI,,4230N 00131E,,ADALV
AD,CAN,Canillo,Canillo,,--3-----,RL,,4234N 00135E,,ADCAN
AD,ENC,Encamp,Encamp,,--3-----,RL,,4232N 00134E,,ADENC
AD,ESC,Escaldes-Engordany,Escaldes-Engordany,,--3-----,RL,,4231N 00133E,,ADESC
AD,EAC,Escàs,Escas,4,--3-----,RL,,4233N 00131E,,ADEAC
AD,FMO,La Farga de Moles,La Farga de Moles,,#NAME?,RQ,,,,ADFMO
AD,LMA,La Massana,La Massana,,--3-----,RL,,4234N 00129E,,ADLMA
AD,ORD,Ordino,Ordino,,--3-----,RL,,4233N 00131E,,ADORD
AD,PAS,Pas de la Casa,Pas de la Casa,,#NAME?,RL,,4233N 00144E,,ADPAS
AD,SJL,Sant Julià de Lòria,Sant Julia de Loria,,--3-----,RL,,4228N 00130E,,ADSJL
AD,SCO,Santa Coloma,Santa Coloma,,--3-----,RL,,4230N 00130E,,ADSCO
AE,ABU,Abu al Bukhoosh,Abu al Bukhoosh,,1-------,RL,,2529N 05308E,,AEABU
AE,AUH,Abu Dhabi,Abu Dhabi,AZ,1-345---,AI,,2428N 05422E,,AEAUH
AE,AMU,Abu Musa,Abu Musa,,1-------,RL,,2552N 05501E,,AEAMU
AE,ARP,Ahmed Bin Rashid Port,Ahmed Bin Rashid Port,AZ,1-------,RL,,2532N 05533E,,AEARP
AE,AJM,Ajman,Ajman,,1-3-----,RL,QAJ,,,AEAJM
AE,AAN,Al Ain,Al Ain,,---4----,AI,,,,AEAAN
AE,ALB,Al Barsha,Al Barsha,DU,--3-----,RL,,2506N 05511E,,AEALB
AE,DHF,Al Dhafra,Al Dhafra,,--34----,AI,,2414N 05432E,,AEDHF
AE,FJR,Al Fujayrah,Al Fujayrah,FU,1--4----,AI,,2507N 05620E,,AEFJR
AE,HAM,Al Hamriyah,Al Hamriyah,,--3-----,RL,,2529N 05530E,,AEHAM
AE,JAZ,Al Jazeera Port,Al Jazeera Port,RK,1-------,RL,,2543N 05548E,,AEJAZ
AE,AJP,Al Jeer Port,Al Jeer Port,RK,1-3-----,RL,,2602N 05603E,,AEAJP
AE,DBI,Al Mafraq,Al Mafraq,AZ,--3-----,RL,,2418N 05436E,,AEDBI
AE,ALQ,Al Quoz,Al Quoz,DU,--3-----,RL,,2507N 05513E,,AEALQ
AE,ALS,Al Sufouh,Al Sufouh,DU,--3-----,RL,,2507N 05511E,,AEALS
AE,RUW,Ar Ruways,Ar Ruways,,1-------,RL,,2407N 05244E,,AERUW
AE,ARZ,Arzanah Island,Arzanah Island,,0-------,RQ,,,,AEARZ
